lemma	suffix	tokens	mw_etym	dhatu_strip	auto_confirmed	chapter_ref	text	sentence	adjudicated_genuine_krt	note
svadana	ana	1	0	1	1	RājNigh, Rogādivarga	Rājanighaṇṭu	balbhanam aśanaṃ svadanaṃ nighasāhārau ca nigaraṇaṃ nyādaḥ		
dhūmāvalokana	ana	1	0	0	0	ĀK, 2, 1	Ānandakanda	dhūmāvalokanācchīrṣapīḍā saṃjāyate jvaraḥ		
jantuhanana	ana	1	0	0	0	MPālNigh, 2	Madanapālanighaṇṭu	viḍaṅgaṃ jantuhananaṃ kṛmighnaṃ kṣudrataṇḍulā		
ajavāhana	ana	1	0	0	0	LiPur, 1, 66	Liṅgapurāṇa	bhalandanasya vikrānto rājāsīd ajavāhanaḥ		
ujjhana	ana	1	0	0	0	NāSmṛ, 2, 5	Nāradasmṛti	guhyāṅgasparśanocchiṣṭaviṇmūtragrahaṇojjhanam		
bhaktimahimavarṇana	ana	1	0	0	0	LiPur, 1, 78	Liṅgapurāṇa	iti śrīliṅgamahāpurāṇe pūrvabhāge bhaktimahimavarṇanaṃ nāmāṣṭasaptatitamo 'dhyāyaḥ		
garuḍāsana	ana	1	0	0	0	GherS, 2	Gheraṇḍasaṃhitā	jānūpari karayugmaṃ garuḍāsanam ucyate		
sātana	ana	1	0	0	0	ArthaŚ, 2, 11	Arthaśāstra	candanaṃ sātanaṃ raktaṃ bhūmigandhi		
ujjayana	ana	1	0	0	0	MBh, 13, 4	Mahābhārata	ārāddhir nāmayaś caiva cāmpeyojjayanau tathā		
sāṃvaureśvaratīrthamāhātmyavarṇana	ana	1	0	0	0	SkPur (Rkh), Revākhaṇḍa, 164	Skandapurāṇa (Revākhaṇḍa)	iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama āvantyakhaṇḍe revākhaṇḍe sāṃvaureśvaratīrthamāhātmyavarṇanaṃ nāma catuḥṣaṣṭyuttaraśatatam		
vyakṣaraṇidhana	ana	1	0	0	0	PB, 11, 5	Pañcaviṃśabrāhmaṇa	saṃhitaṃ bhavati vyakṣaraṇidhanaṃ pratiṣṭhāyai pratiṣṭhāyaiva sattram āsate		
atistana	ana	1	0	0	0	KauṣB, 13, 2	Kauṣītakibrāhmaṇa	yadā vai vardhate 'tistano vai tadā		
kumāreśvaratīrthamāhātmyavarṇana	ana	1	0	0	0	SkPur (Rkh), Revākhaṇḍa, 63	Skandapurāṇa (Revākhaṇḍa)	iti śrīskānde mahāpurāṇa ekāśītisāhasryāṃ saṃhitāyāṃ pañcama āvantyakhaṇḍe revākhaṇḍe kumāreśvaratīrthamāhātmyavarṇanaṃ nāma triṣaṣṭitamo 'dhyāyaḥ		
tapasvin	in	458	0	0	0	AgniPur, 18	Agnipurāṇa	ūruḥ puruḥ śatadyumnastapasvī satyavākkaviḥ		
kāmarūpin	in	130	0	0	0	BhāgPur, 3, 2	Bhāgavatapurāṇa	prayuktān bhojarājena māyinaḥ kāmarūpiṇaḥ		
avalambin	in	55	0	0	0	AmarŚās, 1	Amaraughaśāsana	jayanty alambusā caikā bṛhacchākhāvalambinī		
stambhin	in	12	0	0	0	AHS, Sū., 15	Aṣṭāṅgahṛdayasaṃhitā	yonidoṣaharaḥ stambhī varṇyo viṣavināśanaḥ		
cirajīvin	in	8	0	0	0	AṣṭNigh, 1	Aṣṭāṅganighaṇṭu	parabhūr balibhug dhvāṅkṣaścirajīvī ca vāyasaḥ		
atiśayin	in	7	0	0	0	Kir, 10	Kirātārjunīya	śriyam atiśayinīṃ sametya jagmur guṇamahatāṃ mahate guṇāya yogaḥ		
valayin	in	7	0	0	0	BhāgPur, 3, 23	Bhāgavatapurāṇa	niṣkagrīvaṃ valayinaṃ kūjatkāñcananūpuram		
anuśāyin	in	5	0	0	0	AHS, Nidānasthāna, 11	Aṣṭāṅgahṛdayasaṃhitā	sarve vā raktayuktā vā mahāsroto'nuśāyinaḥ		
utkledin	in	5	0	0	0	AHS, Sū., 5	Aṣṭāṅgahṛdayasaṃhitā	raktapittakaphotkledi śuktaṃ vātānulomanam		
doṣin	in	4	0	0	0	AHS, Cikitsitasthāna, 10	Aṣṭāṅgahṛdayasaṃhitā	grahaṇīdoṣiṇāṃ takraṃ dīpanagrāhilāghavāt		
asaṃvibhāgin	in	3	0	0	0	Ca, Śār., 4	Carakasaṃhitā	āhārakāmam atiduḥkhaśīlācāropacāram asūyakam asaṃvibhāginam atilolupam akarmaśīlaṃ praitaṃ vidyāt		
paropakārin	in	3	0	0	0	KSS, 5, 1	Kathāsaritsāgara	nāmnā paropakārīti purā rājā paraṃtapaḥ		
śrotrasvin	in	3	0	0	0	TB, 3, 1, 5	Taittirīyabrāhmaṇa	śrotrasvināv abadhirau syāveti		
pratirāgin	in	2	0	0	0	ArthaŚ, 2, 13	Arthaśāstra	hasticchavikaḥ saharitaḥ pratirāgī vikrayahitaḥ		
viśrambhin	in	2	0	0	0	Ca, Sū., 8	Carakasaṃhitā	nādhīro nātyucchritasattvaḥ syāt nābhṛtabhṛtyaḥ nāviśrabdhasvajanaḥ naikaḥ sukhī na duḥkhaśīlācāropacāraḥ na sarvaviśrambhī na sarvābhiśaṅkī na sarvak		
āśaṃsin	in	1	0	0	0	ĀśvGS, 1, 23	Āśvalāyanagṛhyasūtra	āpo me hotra āśaṃsinya iti hotrakān		
gṛhavāsin	in	1	0	0	0	RājNigh, Siṃhādivarga	Rājanighaṇṭu	aṣṭāṅghrir aṣṭapādaśca gṛhavāsī ca kṛṣṇakaḥ		
raṇapakṣin	in	1	0	0	0	RājNigh, Siṃhādivarga	Rājanighaṇṭu	raṇapakṣī picchabāṇaḥ sthūlanīlo bhayaṃkaraḥ		
muravijayin	in	1	0	0	0	Haṃsadūta, 1	Haṃsadūta	bhavān draṣṭā hemollikhitadaśamaskandhacaritair lasadbhittiprāntaṃ muravijayinaḥ kelinilayam		
parikartin	in	1	0	0	0	AHS, Cikitsitasthāna, 1	Aṣṭāṅgahṛdayasaṃhitā	koṣṭhe vibaddhe saruji pibet tu parikartini		
chandasvin	in	1	0	0	0	LalVis, 12	Lalitavistara	evaṃ laṅghite prāgval lipimudrāgaṇanāsaṃkhyasālambhadhanurvede javite plavite taraṇe iṣvastre hastigrīvāyāmaśvapṛṣṭhe rathe dhanuṣkalāpe sthairyasthām		
anābhayin	in	1	0	0	0	ṚV, 8, 2	Ṛgveda	idam vaso sutam andhaḥ pibā su pūrṇam udaram anābhayin rarima te		
vibandhin	in	1	0	0	0	ĀK, 1, 17	Ānandakanda	ūnātimātraviṣṭambhivibandhyuṣṇakharāṇi ca		
kauṇḍapāyin	in	1	0	0	0	ŚāṅkhŚS, 13, 24	Śāṅkhāyanaśrautasūtra	māsaṃ dīkṣāḥ kauṇḍapāyinām ayanam		
sātyakin	in	1	0	0	0	MBh, 3, 22	Mahābhārata	sātyakī raukmiṇeyaś ca cārudeṣṇaś ca vīryavān		
nisarpin	in	1	0	0	0	Ca, Indr., 8	Carakasaṃhitā	śyāvā śuṣkāthavā śūnā pretajihvā nisarpiṇī		
suvikrāntavikrāmin	in	1	0	0	0	SDhPS, 1	Saddharmapuṇḍarīkasūtra	tadyathā bhadrapālena ca ratnākareṇa ca susārthavāhena ca naradattena ca guhyaguptena ca varuṇadattena ca indradattena ca uttaramatinā ca viśeṣamatinā		
gati	ti	2608	1	1	1	AbhCint, 2	Abhidhānacintāmaṇi	ayane dve gatirudagdakṣiṇārkasya vatsaraḥ		
mūrti	ti	753	0	0	0	ACint, 1	Abhinavacintāmaṇi	vilasitakaustubhadāmaṃ maṅgalamūrtiṃ bhaje rāmam		
ekāśīti	ti	248	0	0	0	BhāgPur, 11, 2	Bhāgavatapurāṇa	karmatantrapraṇetāra ekāśītir dvijātayaḥ		
yuvati	ti	162	0	0	0	AB, 4, 20	Aitareyabrāhmaṇa	sahasrasāḥ śatasā asya raṃhir na smā varante yuvatiṃ na śaryām ity āśiṣam evaitenāśāsta ātmane ca yajamānebhyaś ca		
vīti	ti	119	0	0	0	AB, 1, 16	Aitareyabrāhmaṇa	pra devam deva vītaye bharata vasu vittamam iti prahriyamāṇāya abhirūpā		
srakti	ti	76	1	1	1	AĀ, 2, 3, 6	Aitareya-Āraṇyaka	navasraktim iti bṛhatī saṃpadyamānā navasraktiḥ		
māruti	ti	53	0	0	0	AgniPur, 9	Agnipurāṇa	śatayojanavistīrṇaṃ pupluve 'bdhiṃ sa mārutiḥ		
jagatīpati	ti	44	0	0	0	BhāgPur, 4, 8	Bhāgavatapurāṇa	iti devarṣiṇā proktaṃ viśrutya jagatīpatiḥ		
viṣṭuti	ti	39	0	0	0	GB, 1, 5, 24	Gopathabrāhmaṇa	audumbaryāṃ sāmaghoṣeṇa tāvat saviṣṭutibhiś ca stomaiḥ chandasā		
avasthiti	ti	29	0	0	0	BhāgPur, 3, 13	Bhāgavatapurāṇa	somas tu retaḥ savanāny avasthitiḥ saṃsthāvibhedās tava deva dhātavaḥ		
acitti	ti	22	0	0	0	AVŚ, 2, 6	Atharvaveda (Śaunaka)	ati niho ati sṛdho 'ty acittīr ati dviṣaḥ		
namaukti	ti	16	0	0	0	BaudhŚS, 6, 30	Baudhāyanaśrautasūtra	yuyodhy asmaj juhurāṇam eno bhūyiṣṭhāṃ te namauktiṃ vidhema svāheti		
tati	ti	11	0	1	1	AB, 6, 20	Aitareyabrāhmaṇa	abhi taṣṭeva dīdhayā manīṣām ity achāvāko 'har ahaḥ śaṃsaty abhivat tatyai rūpam		
gaurīpati	ti	7	0	0	0	BhāMañj, 13	Bhāratamañjarī	sumeruśṛṅge bhagavānsthito gaurīpatiḥ purā		
citpati	ti	7	0	0	0	KūPur, 1, 31	Kūrmapurāṇa	aliṅgamālokavihīnarūpaṃ svayaṃprabhaṃ citpatimekarudram		
arthaprāpti	ti	5	0	0	0	Ca, Vim., 8	Carakasaṃhitā	imāni tu khalu padāni bhiṣagvādamārgajñānārthamadhigamyāni bhavanti tadyathāvādaḥ dravyaṃ guṇāḥ karma sāmānyaṃ viśeṣaḥ samavāyaḥ pratijñā sthāpanā pra		
mitrābṛhaspati	ti	3	0	0	0	ŚBM, 5, 3, 2	Śatapathabrāhmaṇa	hvalati vā eṣa yo yajñapathād ety eti vā eṣa yajñapathādyadayajñiyān yajñena prasajaty ayajñiyānvā etadyajñena prasajati śūdrāṃs tvad yāṃs tvan mitrāb		
ananyagati	ti	3	0	0	0	BhāgPur, 1, 6	Bhāgavatapurāṇa	mayyātmaje 'nanyagatau cakre snehānubandhanam		
sambhrānti	ti	3	0	0	0	AHS, Cikitsitasthāna, 7	Aṣṭāṅgahṛdayasaṃhitā	yāvad dṛṣṭer na saṃbhrāntir yāvan na kṣobhate manaḥ		
parisruti	ti	3	0	0	0	AHS, Utt., 25	Aṣṭāṅgahṛdayasaṃhitā	raktatvaṃ pāṇḍutā kārṣṇyaṃ pūtipūyaparisrutiḥ		
tīrabhukti	ti	2	0	0	0	TriKŚ, 2	Trikāṇḍaśeṣa	prāgjyotiṣaḥ kāmarūpe tīrabhuktistu nicchaviḥ		
tantrayukti	ti	2	0	0	0	Su, Utt., 65	Suśrutasaṃhitā	athātastantrayuktimadhyāyaṃ vyākhyāsyāmaḥ		
tānti	ti	1	0	0	0	KokSam, 1	Kokilasaṃdeśa	tāvatkālaṃ tava ca hṛdayaṃ tāntimetīti śaṅke dīnāpannapraṇayaghaṭane dīrghasūtretarasya		
prāgāhuti	ti	1	0	0	0	ŚāṅkhGS, 1, 3	Śāṅkhāyanagṛhyasūtra	prāk prāgāhuteḥ samidham eke		
avipakti	ti	1	0	0	0	Su, Utt., 39	Suśrutasaṃhitā	avipaktiṃ prasekaṃ ca śophaṃ kāsamarocakam		
śivasvāti	ti	1	0	0	0	ViPur, 4, 24	Viṣṇupurāṇa	hālāhalāt palalakas tataḥ pulindasenas tataḥ sundaras tataḥ śātakarṇis tataḥ śivasvātis tataś ca gomatiputras tatputro 'limān		
añjinīpati	ti	1	0	0	0	AKośa, 1	Amarakośa	ino bhago bhāmanidhiś cāṃśumāly añjinīpatiḥ		
