whitney_no,root,homonym,gloss,ryad_derived,ryad_conf,z_series,z_set,set_derived,z_url,ryad_1978,ryad_1978_basis,openness_1978,polnoizm_1978,polnoizm_1978_basis
875,snā,,bathe,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=227,A₂,§66-rule,open,defective,§67-A2-list
888,sphā,,fatten,A₂,medium,A2,aniṭ,,https://samskrtam.ru/z/verb.php?id=228,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
905,svād,,,A₂,medium,A2,veṭ,,https://samskrtam.ru/z/verb.php?id=229,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
911,hā,1,leave,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=230,A₂,§66-rule,open,full,§67-A2-list
912,hā,2,go forth,A₂,medium,A2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=231,A₂,§66-rule,open,full,§67-A2-list
913,hās,,go emulously,A₂,medium,A2,,,https://samskrtam.ru/z/verb.php?id=232,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
931,hrād,,make a noise,A₂,medium,A2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=233,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
935,hlād,,refresh,A₂,medium,A2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=234,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
78,ej,,stir,I₁,low,I0,veṭ,,https://samskrtam.ru/z/verb.php?id=830,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
52,īṣ,,move,I₂,high,I0,seṭ,,https://samskrtam.ru/z/verb.php?id=831,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
302,tāy,,stretch,A₂,medium,I0,seṭ,,https://samskrtam.ru/z/verb.php?id=832,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
344,day,,share,A₁,medium,I0,seṭ,,https://samskrtam.ru/z/verb.php?id=833,A₁,§66-rule,closed,defective,§67-A1-default
756,vyā,,envelop,A₂,medium,I0,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=836,A₂,§66-rule,open,full,§67-A2-list
789,śī,2,lie,I₂,high,I0,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=837,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
921,hū,,call,U₂,high,I0,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=838,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
755,vyay,,expend,A₁,medium,I0,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=123,A₁,§66-rule,closed,defective,§67-A1-default
79,edh,,thrive,I₁,low,I0,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=235,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
153,kṣvel,,play,I₁,low,I0,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=236,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
164,khel,,stagger,I₁,low,I0,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=237,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
236,ceṣṭ,,stir,I₁,low,I0,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=238,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
224,cāy,,"note, observe",A₂,medium,I0,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=239,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
268,jeh,,"loll, pant",I₁,low,I0,veṭ,,https://samskrtam.ru/z/verb.php?id=240,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
434,ned,,flow,I₁,low,I0,veṭ,,https://samskrtam.ru/z/verb.php?id=241,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
451,pāy,,to void excrement,A₂,medium,I0,,,https://samskrtam.ru/z/verb.php?id=242,A₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
537,bhreṣ,,totter,I₁,low,I0,,,https://samskrtam.ru/z/verb.php?id=243,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
590,mreḍ,,gratify,I₁,low,I0,seṭ,,https://samskrtam.ru/z/verb.php?id=244,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
664,rej,,tremble,I₁,low,I0,,,https://samskrtam.ru/z/verb.php?id=245,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
748,ven,,long,I₁,low,I0,seṭ,,https://samskrtam.ru/z/verb.php?id=246,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
749,vell,,stagger,I₁,low,I0,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=247,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
750,veṣṭ,,,I₁,low,I0,seṭ,,https://samskrtam.ru/z/verb.php?id=248,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
856,sev,,attend upon,I₁,low,I0,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=249,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
928,heṣ,,,I₁,low,I0,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=250,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
934,hreṣ,,neigh,I₁,low,I0,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=251,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
732,vindh,,lack,I₁,high,I1,,,https://samskrtam.ru/z/verb.php?id=256,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
733,vip,,tremble,I₁,high,I1,veṭ,,https://samskrtam.ru/z/verb.php?id=257,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
734,viś,,enter,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=258,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
735,viṣ,,be active,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=259,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
784,śiñj,,twang,I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=260,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
786,śim,,,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=261,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
787,śiṣ,,leave,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=262,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
811,śri,,resort,I₁,high,I1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=263,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
820,śliṣ,,clasp,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=264,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
824,śvit,,be bright,I₁,high,I1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=265,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
841,sic,,pour out,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=266,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
842,sidh,1,repel,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=267,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
843,sidh,2,succeed,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=268,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
865,stigh,,mount,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=269,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
866,stim,,be stiff,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=270,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
876,snih,,be sticky,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=271,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
893,smi,,smile,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=272,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
897,sridh,,blunder,I₁,high,I1,,,https://samskrtam.ru/z/verb.php?id=273,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
906,svid,,sweat,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=274,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
915,hiṃs,,injure,I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=275,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
914,hi,,impel,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=276,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
916,hikk,,sob,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=277,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
917,hiṇḍ,,roam,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=278,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
31,iṅg,,stir,I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=280,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
35,idh,,kindle,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=281,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
41,il,,be quiet,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=282,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
42,iṣ,1,"seek, desire",I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=283,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
43,iṣ,2,send,I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=284,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
130,klid,,be wet,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=285,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
131,kliś,,distress,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=286,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
141,kṣi,1,possess,I₁,high,I1,aniṭ,,https://samskrtam.ru/z/verb.php?id=287,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
142,kṣi,2,destroy,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=288,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
143,kṣip,,throw,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=289,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
152,kṣvid,,hum,I₁,high,I1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=291,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
162,khid,,tear,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=292,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
225,ci,1,gather,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=293,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
226,ci,2,"note, observe",I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=294,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
227,cit,,"perceive, know, appear",I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=295,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
228,cint,,think,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=296,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
242,chid,,cut off,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=297,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
258,ji,1,conquer,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=298,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
259,ji,2,quicken,I₁,high,I1,,aniṭ,https://samskrtam.ru/z/verb.php?id=299,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
259,ji,2,quicken,I₁,high,I1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=300,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
272,jri,,go,I₁,high,I1,aniṭ,,https://samskrtam.ru/z/verb.php?id=301,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
305,tij,,be sharp,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=302,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
306,tim,,be quiet,I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=303,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
333,tviṣ,,be stirred up,I₁,high,I1,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=304,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
356,diś,,point,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=305,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
357,dih,,smear,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=306,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
388,dviṣ,,hate,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=307,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
397,dhi,,,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=308,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
423,niṃs,,kiss,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=309,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
424,nikṣ,,pierce,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=310,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
425,nij,,wash,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=311,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
426,nind,,revile,I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=312,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
453,pinv,,fatten,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=313,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
454,pibd,,be firm,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=314,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
455,piś,,adorn,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=315,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
456,piṣ,,crush,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=316,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
457,pis,,stretch,I₁,high,I1,,,https://samskrtam.ru/z/verb.php?id=317,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
520,bhikṣ,,beg,I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=318,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
521,bhid,,split,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=319,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
553,mi,2,damage,I₁,high,I1,aniṭ,,https://samskrtam.ru/z/verb.php?id=320,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
561,mī,,damage,I₂,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=321,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
554,mikṣ,,mix,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=322,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
556,mith,,"alternate, altercate",I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=323,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
558,mil,,combine,I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=325,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
559,miṣ,,wink,I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=326,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
560,mih,,urinate,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=327,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
35,idh,,kindle,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=839,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
588,mrit,,dissolve,I₁,high,I1,,,https://samskrtam.ru/z/verb.php?id=328,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
191,gṛ,2,swallow,R₁,high,I1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=840,R₁,§66-rule,open,full,§67-RMN-default(majority)
397,dhi,,,I₁,high,I1,,,https://samskrtam.ru/z/verb.php?id=841,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
642,rikh,,scratch,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=330,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
426,nind,,revile,I₁,high,I1,aniṭ,seṭ,https://samskrtam.ru/z/verb.php?id=842,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
452,pi,,"swell, fatten",I₁,high,I1,,,https://samskrtam.ru/z/verb.php?id=843,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
644,ric,,leave,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=332,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
448,pā,1,drink,A₂,medium,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=844,A₂,§66-rule,open,full,§67-A2-list
645,rip,,smear,I₁,high,I1,veṭ,,https://samskrtam.ru/z/verb.php?id=333,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
646,riph,,snarl,I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=334,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
647,ribh,,sing,I₁,high,I1,seṭ,,https://samskrtam.ru/z/verb.php?id=335,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
588,mrit,,dissolve,I₁,high,I1,,,https://samskrtam.ru/z/verb.php?id=847,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
648,riś,,tear,I₁,high,I1,veṭ,,https://samskrtam.ru/z/verb.php?id=336,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
641,ri,,flow,I₁,high,I1,aniṭ,,https://samskrtam.ru/z/verb.php?id=848,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
649,riṣ,,be hurt,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=337,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
650,rih,,lick,I₁,high,I1,veṭ,,https://samskrtam.ru/z/verb.php?id=338,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
727,vij,,tremble,I₁,high,I1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=850,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
681,likh,,scratch,I₁,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=339,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
767,śak,,be able,A₁,medium,I1,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=851,A₁,§66-rule,closed,defective,§67-A1-default
682,lip,,smear,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=340,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
796,śū,,swell,U₂,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=852,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
683,liś,,tear,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=341,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
820,śliṣ,,clasp,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=853,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
684,lih,,lick,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=342,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
796,śū,,swell,U₂,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=854,U₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
725,vic,1,sift,I₁,high,I1,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=343,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
918,hīḍ,,be hostile,I₂,high,I1,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=855,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
728,vid,1,know,I₁,high,I1,veṭ,seṭ,https://samskrtam.ru/z/verb.php?id=252,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
729,vid,2,find,I₁,high,I1,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=253,I₁,§66-rule,closed,full,§67-rule-1 (closed short i/u + C)
730,vidh,1,worship,I₁,high,I1,,,https://samskrtam.ru/z/verb.php?id=254,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
731,vidh,2,,I₁,high,I1,aniṭ,,https://samskrtam.ru/z/verb.php?id=255,I₁,§66-rule,closed,defective,§67-rule-2 (heavy closed)
45,īkṣ,,see,I₂,high,I2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=344,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
177,gā,2,sing,A₂,medium,I2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=856,A₂,§66-rule,open,full,§67-A2-list
46,īṅkh,,swing,I₂,high,I2,seṭ,,https://samskrtam.ru/z/verb.php?id=345,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
280,ṭīk,,trip,I₂,high,I2,,,https://samskrtam.ru/z/verb.php?id=857,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
78,ej,,stir,I₁,low,I2,veṭ,,https://samskrtam.ru/z/verb.php?id=346,A₂,"§66-special(e/o/ai/au→ā-line, §70)",closed,defective,§67-rule-2 (heavy closed)
765,vlī,,crush,I₂,high,I2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=858,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
48,īḍ,,praise,I₂,high,I2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=347,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
523,bhī,,fear,I₂,high,I2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=859,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
49,īr,,set in motion,I₂,high,I2,seṭ,,https://samskrtam.ru/z/verb.php?id=348,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
888,sphā,,fatten,A₂,medium,I2,aniṭ,,https://samskrtam.ru/z/verb.php?id=860,A₂,§66-rule,open,fluctuating,§67-A2-unlisted (ряд корней колеблется)
50,īrṣy,,be jealous,I₂,high,I2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=349,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
51,īś,,be master,I₂,high,I2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=350,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
52,īṣ,,move,I₂,high,I2,seṭ,,https://samskrtam.ru/z/verb.php?id=351,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
53,īh,,be eager,I₂,high,I2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=352,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
120,krī,,buy,I₂,high,I2,aniṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=353,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
121,krīḍ,,play,I₂,high,I2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=354,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
260,jīv,,live,I₂,high,I2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=355,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
284,ḍī,,fly,I₂,high,I2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=356,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
358,dī,1,fly,I₂,high,I2,,,https://samskrtam.ru/z/verb.php?id=357,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
359,dī,2,shine,I₂,high,I2,,,https://samskrtam.ru/z/verb.php?id=358,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
360,dīkṣ,,be consecrated,I₂,high,I2,seṭ,seṭ,https://samskrtam.ru/z/verb.php?id=359,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
362,dīp,,shine,I₂,high,I2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=360,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
363,dīv,1,play,I₂,high,I2,seṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=361,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
364,dīv,2,lament,I₂,high,I2,seṭ,,https://samskrtam.ru/z/verb.php?id=362,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
398,dhī,,think,I₂,high,I2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=363,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
427,nī,,lead,I₂,high,I2,veṭ,aniṭ,https://samskrtam.ru/z/verb.php?id=364,I₂,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
452,pi,,"swell, fatten",I₁,high,I2,,,https://samskrtam.ru/z/verb.php?id=365,I₁,§66-rule,open,full,§67-rule-1 (open i/ī/u/ū)
460,pīḍ,,press,I₂,high,I2,seṭ,,https://samskrtam.ru/z/verb.php?id=366,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
461,pīy,,abuse,I₂,high,I2,seṭ,,https://samskrtam.ru/z/verb.php?id=367,I₂,§66-rule,closed,defective,§67-rule-2 (heavy closed)
