L_id	k1	hom	headword_iast	base_slp1	base_iast	cue	base_type	deriv_kind	suffix	citation
144	akOSala		akauśala	akuSala	akuśala	von	nominal	denominal-other		P. 7,3,30
146	akta		akta	aYc	añc	von	nominal	denominal-other		
147	aktA		aktā	akta	akta	von	nominal	denominal-other		ṚV. 1,62,8
148	aktu		aktu	aYj	añj	von	root	krt		ṚV. 3,17,1
149	akna		akna	aYc	añc	von	nominal	denominal-other		ŚAT. BR. 3,2,1,5
150	akra		akra	a	a	von	prefix	prefixed		ṚV. 1,120,2
150	akra		akra	kar	kar	von	nominal	denominal-other		ṚV. 1,120,2
151	akra		akra	aYc	añc	von	nominal	denominal-other		ṚV. 1,143,7
158	akrILant		akrīLant	krIq	krīḍ	von	root	krt		ṚV. 10,79,6
159	akrIyamARa		akrīyamāṇa	kar	kar	von	nominal	denominal-other		
167	akza	2	akṣa	akza	akṣa	von	nominal	denominal-other		ŚĀNT. 2,12
168	akza	3	akṣa	akza	akṣa	von	nominal	denominal-other		AK. 3,4,223
169	akzaka		akṣaka	akza	akṣa	von	nominal	taddhita	ka	RATNAM.
172	akzaRvant		akṣaṇvant	akzan	akṣan	von	nominal	denominal-other		P. 6,1,176
180	akzadrugDa		akṣadrugdha	druh	druh	von	root	krt		AV. 5,18,2
184	akzan		akṣan	akzi	akṣi	Stamm	root	krt		P. 7,1,75
194	akzamAlin		akṣamālin	akzamAlA	akṣamālā	von	nominal	taddhita	in	MBH. 12,10374
198	akzayatva		akṣayatva	akzaya	akṣaya	von	nominal	taddhita	tva	HIT. Pr. 4
201	akzayiRI		akṣayiṇī	kzayin	kṣayin	von	nominal	denominal-other		RĀJA-TAR. 1,349
204	akzaraka		akṣaraka	akzara	akṣara	von	nominal	taddhita	ka	ŚRUT. 29
219	akzaraSas		akṣaraśas	akzara	akṣara	von	nominal	taddhita	Sas	AIT. BR. 6,2
223	akzarya		akṣarya	akzara	akṣara	von	nominal	taddhita	ya	ṚV. PRĀTIŚ. 18,3
224	akzavant		akṣavant	akza	akṣa	von	nominal	denominal-other		AK. 2,10,45
225	akzavAwa		akṣavāṭa	akza	akṣa	von	nominal	denominal-other		TRIK. 2,8,58
252	akziyant		akṣiyant	kzi	kṣi	von	root	krt		ṚV. 4,17,13
257	akzIyamARa		akṣīyamāṇa	kzi	kṣi	von	root	krt		ṚV. 1,154,4
268	akzEtrajYya		akṣaitrajñya	akzetrajYa	akṣetrajña	von	nominal	denominal-other		P. 7,3,30
276	akzRa	1	akṣṇa	aYc	añc	Von	nominal	denominal-other		ŚAT. BR. 3,5,4,13
285	aKanant		akhanant	Kan	khan	von	root	krt		ṚV. 10,101,11
287	aKAta		akhāta	Kan	khan	von	root	krt		AV. 5,13,2
291	aKilena		akhilena	aKila	akhila	von	nominal	denominal-other		M. 1,107
294	aKeditva		akheditva	aKedin	akhedin	von	nominal	denominal-other		ARHANT
303	agata		agata	gam	gam	von	root	krt		AV. 11,12,16
304	agatika		agatika	a	a	von	prefix	prefixed		YĀJÑ. 1,345
307	agadaMkAra		agadaṃkāra	agada	agada	von	nominal	denominal-other		P. 6,3,70
308	agady		agady	agada	agada	von	nominal	denominal-other		
311	agamyAgamana		agamyāgamana	agamya	agamya	von	nominal	denominal-other		
312	agamyAgamanIya		agamyāgamanīya	agamyAgamana	agamyāgamana	von	nominal	taddhita	Iya	M. 11,169
315	agarhita		agarhita	garh	garh	von	root	krt		M. 9,109
319	agastI		agastī	agastya	agastya	von	nominal	denominal-other		P. 6,4,149
320	agastIya		agastīya	agastya	agastya	von	nominal	denominal-other		P. 6,4,149
332	agirOkas		agiraukas	gir	gir	von	root	krt		ṚV. 1,135,9
337	agUQaganDa		agūḍhagandha	guh	guh	von	root	krt		H. ś. 102
341	agotA		agotā	ago	ago	von	nominal	taddhita	tA	ṚV. 3,16,5
344	agohya		agohya	guh	guh	von	root	krt		ṚV. 8,87,4
347	agnAyI		agnāyī	agni	agni	von	nominal	denominal-other		NIR. 7,8
349	agni		agni	aj	aj	von	root	krt		AK. 1,1,1,48
350	agnika		agnika	agni	agni	von	nominal	taddhita	ika	H. 1209
353	agnikaSyapIya		agnikaśyapīya	agni	agni	von	nominal	denominal-other		P. 4,3,88
368	agnicit		agnicit	ci	ci	von	root	krt		P. 6,1,169
370	agnicitvant		agnicitvant	agnicit	agnicit	von	nominal	denominal-other		P. 8,2,10
382	agnitapta		agnitapta	tap	tap	von	root	krt		ṚV. 7,104,5
383	agnitA		agnitā	agni	agni	von	nominal	taddhita	tA	ŚAT. BR. 2,2,4,2
389	agnidagDa		agnidagdha	dah	dah	von	root	krt		R. 4,59,19
396	agnidIpta		agnidīpta	dIp	dīp	von	root	krt		KULL.
399	agnidevA		agnidevā	agni	agni	von	nominal	denominal-other		H. 109
405	agninunna		agninunna	nud	nud	von	root	krt		SV. II, 9,3,8,2
414	agnipraRayanIya		agnipraṇayanīya	agnipraRayana	agnipraṇayana	von	nominal	taddhita	Iya	SĀY.
419	agniBu		agnibhu	agni	agni	von	nominal	denominal-other		VEDA-P.
424	agnimant		agnimant	agni	agni	von	nominal	denominal-other		P. 6,1,176
427	agnimanTanIya		agnimanthanīya	agnimanTana	agnimanthana	von	nominal	taddhita	Iya	ĀŚV. ŚR. 2,16
428	agnimaya		agnimaya	agni	agni	von	nominal	taddhita	maya	AIT. BR. 2,11
431	agnimAruti		agnimāruti	agni	agni	von	nominal	denominal-other		TRIK. 1,1,89
433	agniminDa		agnimindha	agni	agni	von	nominal	denominal-other		ṚV. 1,162,5
435	agnimUQa		agnimūḍha	muh	muh	von	root	krt		AV. 6,67,2
436	agniyuta		agniyuta	yu	yu	von	root	krt		ṚV. 10,116
442	agniruhA		agniruhā	ruha	ruha	von	nominal	denominal-other		RĀJAN.
444	agniretasa		agniretasa	agni	agni	von	nominal	denominal-other		ŚAT. BR. 3,2,4,8
446	agnivant		agnivant	agni	agni	von	nominal	denominal-other		ṚV. 7,104,2
460	agnivESya		agnivaiśya	agniveSa	agniveśa	von	nominal	denominal-other		MADHUS.
461	agnivESyAyana		agnivaiśyāyana	agnivESya	agnivaiśya	von	nominal	denominal-other		AVAD. ŚAT.
472	agnizwut		agniṣṭut	stu	stu	von	root	krt		P. 8,3,82
476	agnizvAtta		agniṣvātta	svad	svad	von	root	krt		ṚV. 10,15,11
481	agnisAkzika		agnisākṣika	agni	agni	von	nominal	denominal-other		R. 1,1,59
495	agnihotrin		agnihotrin	agnihotra	agnihotra	von	nominal	taddhita	in	H. 835
496	agnihotrocCizwa		agnihotrocchiṣṭa	Siz	śiṣ	von	root	krt		ŚAT. BR. 2,3,1,39
503	agnIya		agnīya	agni	agni	von	nominal	taddhita	Iya	
507	agnIzomIya		agnīṣomīya	agnIzoma	agnīṣoma	von	nominal	taddhita	Iya	P. 4,2,32
508	agnIzomIyatva		agnīṣomīyatva	agnIzomIya	agnīṣomīya	von	nominal	taddhita	tva	SUŚR. 1,43,18
511	agnyAtmaka		agnyātmaka	agni	agni	von	nominal	denominal-other		ŚAṂK.
515	agnyAhita		agnyāhita	DA	dhā	von	root	krt		P. 2,2,37
520	agra	1	agra	samagra	samagra	von	nominal	denominal-other		UṆ. 2,29
535	agratas		agratas	agra	agra	von	nominal	taddhita	tas	AK. 3,5,7
537	agradAnin		agradānin	agra	agra	von	nominal	denominal-other		BRAHMAV. P.
540	agraparRI		agraparṇī	agra	agra	von	nominal	denominal-other		RATNAM.
558	agrasArA		agrasārā	agra	agra	von	nominal	denominal-other		LALIT. 141
566	agrAyaRIya		agrāyaṇīya	agrAyaRa	agrāyaṇa	von	nominal	taddhita	Iya	H. 247
570	agrima		agrima	agra	agra	von	nominal	denominal-other		H. 614
571	agriya		agriya	agra	agra	von	nominal	denominal-other		ṚV. 6,16,48
572	agrIya		agrīya	agra	agra	von	nominal	taddhita	Iya	P. 4,4,117
575	agrega		agrega	agra	agra	von	nominal	denominal-other		ṚV. 9,86,45
583	agreBrU		agrebhrū	Bram	bhram	von	root	krt		
589	agropaharaRIya		agropaharaṇīya	agropaharaRa	agropaharaṇa	von	nominal	taddhita	Iya	SUŚR. 1,14,16
590	agrya		agrya	agra	agra	von	nominal	taddhita	ya	P. 4,4,116
596	aGay		aghay	aGa	agha	von	nominal	denominal-other		DHĀT. 35,84
598	aGala		aghala	aGa	agha	von	nominal	denominal-other		AV. 8,8,10
599	aGavant		aghavant	aGa	agha	von	nominal	denominal-other		VOP. 3,149
606	aGAy		aghāy	aGa	agha	von	nominal	denominal-other		ṚV. 1,131,7
607	aGAyu		aghāyu	aGAy	aghāy	von	nominal	denominal-other		P. 7,4,37
617	aGozamahAprARaprayatnavant		aghoṣamahāprāṇaprayatnavant	aGozamahAprARa	aghoṣamahāprāṇa	von	nominal	denominal-other		P. 8,4,61
618	aGozavant		aghoṣavant	aGoza	aghoṣa	von	nominal	denominal-other		UPAL. 6
620	aGnant		aghnant	han	han	von	root	krt		ṚV. 8,25,12
621	aGnya		aghnya	han	han	von	root	krt		NAIGH. 2,11
623	aGreya		aghreya	GrA	ghrā	von	root	krt		M. 11,67
625	aNka		aṅka	aYc	añc	von	nominal	denominal-other		AK. 3,4,4
630	aNkana		aṅkana	aNkay	aṅkay	von	nominal	denominal-other		NIR. 3,8
633	aNkapAlikA		aṅkapālikā	aNkapAli	aṅkapāli	von	nominal	denominal-other		ŚABDAM.
636	aNkay		aṅkay	aNka	aṅka	von	nominal	denominal-other		MBH. 3,14853
642	aNkin		aṅkin	aNka	aṅka	von	nominal	taddhita	in	ṚV. 3,45,4
648	aNkuraka		aṅkuraka	aNkura	aṅkura	von	nominal	taddhita	ka	ŚABDAM.
649	aNkurita		aṅkurita	aNkura	aṅkura	von	nominal	denominal-other		VIKR. 12
653	aNkuSita		aṅkuśita	aNkuSa	aṅkuśa	von	nominal	denominal-other		ŚRUT. 37
654	aNkuSin		aṅkuśin	aNkuSa	aṅkuśa	von	nominal	taddhita	in	ṚV. 10,34,7
662	aNkolikA		aṅkolikā	aNkapAlikA	aṅkapālikā	von	nominal	denominal-other		ŚABDAM.
664	aNkya	1	aṅkya	aNka	aṅka	von	nominal	taddhita	ya	AK. 1,1,7,5
665	aNkya	2	aṅkya	aNkay	aṅkay	von	nominal	denominal-other		M. 9,240
668	aNga	1	aṅga	aNga	aṅga	von	nominal	denominal-other		ṚV. 10,146,4
679	aNgatva		aṅgatva	aNga	aṅga	von	nominal	taddhita	tva	NALOD. 1,23
682	aNgana		aṅgana	aNg	aṅg	von	root	krt		H. an. 3,354
683	aNganA		aṅganā	aNga	aṅga	von	nominal	denominal-other		VOP. 7,32
710	aNgahInatva		aṅgahīnatva	aNgahIna	aṅgahīna	von	nominal	taddhita	tva	M. 11,50
713	aNgAraka		aṅgāraka	aNgAra	aṅgāra	von	nominal	taddhita	ka	H. an. 4,1
715	aNgArakita		aṅgārakita	aNgAraka	aṅgāraka	von	nominal	denominal-other		
719	aNgAraparipAcita		aṅgāraparipācita	pac	pac	von	root	krt		ŚABDAC.
730	aNgAri		aṅgāri	aNgAra	aṅgāra	von	nominal	denominal-other		JAṬĀDH.
731	aNgArikA		aṅgārikā	aNgAra	aṅgāra	von	nominal	denominal-other		H. an. 4,1
732	aNgAriRI		aṅgāriṇī	aNgAra	aṅgāra	von	nominal	denominal-other		MED. ṇ. 90
732	aNgAriRI		aṅgāriṇī	aNgArin	aṅgārin	von	nominal	denominal-other		MED. ṇ. 90
733	aNgArita		aṅgārita	aNgAra	aṅgāra	von	nominal	denominal-other		H. an. 4,95
734	aNgArIya		aṅgārīya	aNgAra	aṅgāra	von	nominal	taddhita	Iya	P. 5,1,12
735	aNgAryA		aṅgāryā	aNgAra	aṅgāra	von	nominal	denominal-other		
736	aNgikA		aṅgikā	aNga	aṅga	von	nominal	denominal-other		H. 674
737	aNgin		aṅgin	aNga	aṅga	von	nominal	taddhita	in	PAT.
740	aNgiras		aṅgiras	ANgirasa	āṅgirasa	von	nominal	denominal-other		UṆ. 4,235
740	aNgiras		aṅgiras	aNg	aṅg	von	root	krt		UṆ. 4,235
742	aNgirasAmayana		aṅgirasāmayana	aNgiras	aṅgiras	von	nominal	denominal-other		KĀTY. ŚR. 24,4,10
743	aNgirastama		aṅgirastama	aNgiras	aṅgiras	von	nominal	taddhita	tama	ṚV. 1,75,2
744	aNgirasvat		aṅgirasvat	aNgiras	aṅgiras	von	nominal	taddhita	vat	ṚV. 1,45,3
745	aNgirasvant		aṅgirasvant	aNgiras	aṅgiras	von	nominal	denominal-other		ṚV. 2,11,20
746	aNgIkar		aṅgīkar	svIkar	svīkar	von	nominal	denominal-other		HIT. 122,12
747	aNgIkAra		aṅgīkāra	aNgIkar	aṅgīkar	von	nominal	denominal-other		AK. 1,1,4,14
749	aNgIkfti		aṅgīkṛti	aNgIkar	aṅgīkar	von	nominal	denominal-other		AK. 3,4,32,15
750	aNgIya		aṅgīya	aNga	aṅga	von	nominal	taddhita	Iya	
754	aNgurIya		aṅgurīya	aNguri	aṅguri	von	nominal	taddhita	Iya	BHARATA
755	aNgurIyaka		aṅgurīyaka	aNgurIya	aṅgurīya	von	nominal	taddhita	ka	MUKUṬA
756	aNgula		aṅgula	aNguli	aṅguli	von	nominal	denominal-other		RAMĀṆ.
757	aNgulaka		aṅgulaka	aNgula	aṅgula	von	nominal	taddhita	ka	YĀJÑ. 2,106
767	aNgulI		aṅgulī	aNguli	aṅguli	von	nominal	denominal-other		AK. 2,6,2,33
770	aNgulIya		aṅgulīya	aNguli	aṅguli	von	nominal	taddhita	Iya	P. 4,3,62
771	aNgulIyaka		aṅgulīyaka	aNgulIya	aṅgulīya	von	nominal	taddhita	ka	ŚKDR.
772	aNgulIsaMBUta		aṅgulīsaṃbhūta	BU	bhū	von	root	krt		RĀJAN.
774	aNguzWya		aṅguṣṭhya	aNguzWa	aṅguṣṭha	von	nominal	taddhita	ya	KĀTY. ŚR. 7,2,8
776	aNgezWA		aṅgeṣṭhā	aNga	aṅga	von	nominal	denominal-other		AV. 6,111,1
778	aNgya		aṅgya	aNga	aṅga	von	nominal	taddhita	ya	ṚV. 1,191,7
785	aNGrinAmaka		aṅghrināmaka	aNGri	aṅghri	von	nominal	denominal-other		AK. 2,4,1,12
788	aNGriparRI		aṅghriparṇī	aNGri	aṅghri	von	nominal	denominal-other		RAMĀN.
794	acakzuzka		acakṣuṣka	a	a	von	prefix	prefixed		BṚH. ĀR. UP. 3,8,8
796	acaRqI		acaṇḍī	caRqa	caṇḍa	von	nominal	denominal-other		AK. 2,9,71
799	acarant		acarant	car	car	von	root	krt		ṚV. 1,185,2
802	acalakIlA		acalakīlā	acala	acala	von	nominal	denominal-other		ŚABDAR.
821	aciram		aciram	acira	acira	von	nominal	denominal-other		BRĀHMAṆ. 1,22
824	acirAt		acirāt	acira	acira	von	nominal	denominal-other		M. 7,111
826	acireRa		acireṇa	acira	acira	von	nominal	denominal-other		M. 7,134
830	acetAna		acetāna	cit	cit	von	root	krt		ṚV. 7,4,7
832	acezwatA		aceṣṭatā	acezwa	aceṣṭa	von	nominal	taddhita	tA	H. 307
837	acCandasam		acchandasam	a	a	von	prefix	prefixed		KĀTY. ŚR. 25,12,8
840	acCAvAka		acchāvāka	vac	vac	von	root	krt		ŚAT. BR. 3,6,2,12
842	acCAvAkIya		acchāvākīya	acCAvAka	acchāvāka	von	nominal	taddhita	Iya	AIT. BR. 2,37
843	acCidyamAna		acchidyamāna	Cid	chid	von	root	krt		ṚV. 2,32,4
848	acCidroDnI		acchidrodhnī	acCidra	acchidra	von	nominal	denominal-other		ṚV. 10,133,7
849	acCinna		acchinna	Cid	chid	von	root	krt		AV. 6,122,1
852	acCupta		acchupta	Cup	chup	von	nominal	denominal-other		H. 240
853	acCeta		accheta	i	i	von	root	krt		VS. 8,54
854	acCedika		acchedika	a	a	von	prefix	prefixed		P. 6,2,155
858	acyuta	1	acyuta	cyu	cyu	von	root	krt		H. an. 3,239
861	acyutakzit		acyutakṣit	kzi	kṣi	von	root	krt		VS. 5,13
862	acyutacyut		acyutacyut	cyu	cyu	von	root	krt		ṚV. 2,12,9
872	aja	1	aja	aj	aj	von	root	krt		AV. 18,2,22
874	ajaka		ajaka	aja	aja	von	nominal	taddhita	ka	HARIV. 1423
876	ajakarRaka		ajakarṇaka	ajakarRa	ajakarṇa	von	nominal	taddhita	ka	RĀJAN.
877	ajakA		ajakā	ajA	ajā	von	nominal	denominal-other		P. 7,3,47
880	ajakUlA		ajakūlā	aja	aja	von	nominal	denominal-other		R. GORR. 2,70,15
882	ajaga		ajaga	ajagava	ajagava	von	nominal	denominal-other		P. 5,2,110
884	ajaganDikA		ajagandhikā	ajaganDa	ajagandha	von	nominal	denominal-other		AK. 2,4,5,5
885	ajaganDinI		ajagandhinī	ajaganDa	ajagandha	von	nominal	denominal-other		RATNAM.
888	ajagava		ajagava	ajaga	ajaga	von	nominal	denominal-other		MATSYA-P.
891	ajaGnivaMs		ajaghnivaṃs	han	han	von	root	krt		ṚV. 8,56,15
895	ajatva		ajatva	ajA	ajā	von	nominal	denominal-other		P. 6,3,64
897	ajadaRqI		ajadaṇḍī	aja	aja	von	nominal	denominal-other		RĀJAN.
899	ajana	1	ajana	aj	aj	von	root	krt		NIR. 9,24
902	ajanAmaka		ajanāmaka	aja	aja	von	nominal	denominal-other		H. 1054
903	ajani		ajani	aj	aj	von	root	krt		NIR. 4,13
917	ajamIQa		ajamīḍha	mih	mih	von	root	krt		ṚV. 4,43
921	ajamodikA		ajamodikā	ajamodA	ajamodā	von	nominal	denominal-other		VAIDY.
928	ajarant		ajarant	jar	jar	von	root	krt		VS. 21,5
936	ajalomI		ajalomī	aja	aja	von	nominal	denominal-other		SUŚR. 2,170,3
941	ajaSfNgI		ajaśṛṅgī	aja	aja	von	nominal	denominal-other		AK. 2,4,4,7
944	ajahatsvArTA		ajahatsvārthā	hA	hā	von	root	krt		ŚKDR.
946	ajahA		ajahā	ajaqA	ajaḍā	von	nominal	denominal-other		SVĀMIN
947	ajAkfpaRIya		ajākṛpaṇīya	ajA	ajā	von	nominal	denominal-other		P. 5,3,106
951	ajAjI		ajājī	ajAji	ajāji	von	nominal	denominal-other		AK. 2,9,37
953	ajAta		ajāta	jan	jan	von	root	krt		M. 8,99
958	ajAtva		ajātva	ajA	ajā	von	nominal	taddhita	tva	P. 6,3,64
960	ajAdanI		ajādanī	aja	aja	von	nominal	denominal-other		RĀJAN.
968	ajAmitA		ajāmitā	ajAmi	ajāmi	von	nominal	taddhita	tA	ŚAT. BR. 1,3,2,8
969	ajAyamAna		ajāyamāna	jan	jan	von	root	krt		VS. 31,19
970	ajAvika		ajāvika	aja	aja	von	nominal	denominal-other		ŚAT. BR. 4,5,5,4
974	ajikA		ajikā	ajA	ajā	von	nominal	denominal-other		P. 7,3,47
975	ajita		ajita	ji	ji	von	root	krt		H. an. 3,238
977	ajitabalA		ajitabalā	ajita	ajita	von	nominal	denominal-other		H. 44
981	ajina		ajina	aja	aja	von	nominal	denominal-other		HARIV. 83
982	ajinapatrA		ajinapatrā	ajina	ajina	von	nominal	denominal-other		AK. 2,5,26
983	ajinapatrikA		ajinapatrikā	ajinapatrA	ajinapatrā	von	nominal	denominal-other		H. 1336
984	ajinapatrI		ajinapatrī	ajina	ajina	von	nominal	denominal-other		RĀJAN.
985	ajinaPalA		ajinaphalā	ajina	ajina	von	nominal	denominal-other		VOP. 4,15
987	ajinavAsin		ajinavāsin	ajina	ajina	von	nominal	denominal-other		ŚAT. BR. 3,9,1,12
989	ajira		ajira	aj	aj	von	root	krt		ṚV. 1,134,3
990	ajiravatI		ajiravatī	ajira	ajira	von	nominal	denominal-other		P. 6,3,119
990	ajiravatI		ajiravatī	ajiravant	ajiravant	von	nominal	denominal-other		P. 6,3,119
993	ajirAy		ajirāy	ajira	ajira	von	nominal	denominal-other		ṚV. 8,14,10
994	ajirIya		ajirīya	ajira	ajira	von	nominal	taddhita	Iya	
1000	ajIta		ajīta	jyA	jyā	von	root	krt		ĀŚV. GṚHY. 1,14
1002	ajIti		ajīti	jyA	jyā	von	root	krt		ṚV. 9,97,30
1004	ajIrRin		ajīrṇin	ajIrRa	ajīrṇa	von	nominal	taddhita	in	SUŚR. 2,133,4
1025	ajYakA		ajñakā	ajYA	ajñā	von	nominal	denominal-other		P. 7,3,47
1035	ajma		ajma	aj	aj	von	root	krt		ṚV. 8,41,20
1036	ajman		ajman	aj	aj	von	root	krt		ṚV. 1,65,5
1039	ajra	1	ajra	ajrA^H	ajrā^ḥ	von	nominal	denominal-other		ṚV. 10,59,3
1041	ajrya		ajrya	ajra	ajra	von	nominal	taddhita	ya	ṚV. 10,69,6
1042	ajvin		ajvin	aj	aj	von	root	krt		ĀŚV. ŚR. 6,5
1048	aYcana		añcana	aYc	añc	von	nominal	denominal-other		NIR. 4,3
1055	aYjana	2	añjana	aYj	añj	von	root	krt		KĀTY. ŚR. 20,1,8
1056	aYjanaka		añjanaka	aYjana	añjana	von	nominal	taddhita	ka	SUŚR. 2,108,18
1057	aYjanakeSI		añjanakeśī	aYjana	añjana	von	nominal	denominal-other		AK. 2,4,4,18
1058	aYjananAmikA		añjananāmikā	aYjana	añjana	von	nominal	denominal-other		SUŚR. 2,320,10
1062	aYjanAvatI		añjanāvatī	aYjanAvant	añjanāvant	von	nominal	denominal-other		AK. 1,1,2,6
1062	aYjanAvatI		añjanāvatī	aYjana	añjana	von	nominal	denominal-other		AK. 1,1,2,6
1063	aYjanika		añjanika	aYjana	añjana	von	nominal	taddhita	ika	H. 1298
1064	aYjanI		añjanī	aYj	añj	von	root	krt		H. an. 3,355
1064	aYjanI		añjanī	aYjana	añjana	von	nominal	denominal-other		H. an. 3,355
1067	aYjalika		añjalika	aYjali	añjali	von	nominal	taddhita	ika	JAṬĀDH.
1071	aYjas		añjas	aYj	añj	von	root	krt		ṚV. 1,132,2
1072	aYjasa		añjasa	aYj	añj	von	root	krt		H. 375
1073	aYjasA		añjasā	aYjas	añjas	von	nominal	denominal-other		ṚV. 1,139,4
1075	aYjasIna		añjasīna	aYjasa	añjasa	von	nominal	denominal-other		ṚV. 10,32,7
1078	aYji	1	añji	aYj	añj	von	root	krt		ṚV. 1,36,13
1081	aYjimant		añjimant	aYji	añji	von	nominal	denominal-other		ṚV. 5,57,5
1082	aYjiva		añjiva	aYji	añji	von	nominal	denominal-other		AV. 8,6,9
1083	aYjizWa		añjiṣṭha	aYji	añji	von	nominal	denominal-other		UṆ. 4,2
1085	aYjihizA		añjihiṣā	aMh	aṃh	von	root	krt		BHAṬṬ. 3,25
1088	awa		aṭa	aw	aṭ	von	root	krt		BHAṬṬ. 2,30
1089	awaka		aṭaka	aw	aṭ	von	root	krt		TRIK. 3,5,23
1091	awana		aṭana	aw	aṭ	von	root	krt		M. 9,13
1098	awavika		aṭavika	awavi	aṭavi	von	nominal	taddhita	ika	PAÑCAT. 156,19
1100	awavI		aṭavī	aw	aṭ	von	root	krt		AK. 2,4,1,1
1101	awA		aṭā	aw	aṭ	von	root	krt		RATNAK.
1103	awAwyA		aṭāṭyā	aw	aṭ	von	root	krt		AK. 2,7,35
1104	awAy		aṭāy	awA	aṭā	von	nominal	denominal-other		
1108	awwaka		aṭṭaka	awwa	aṭṭa	von	nominal	taddhita	ka	HĀR. 159
1115	awwahAsaka		aṭṭahāsaka	awwahAsa	aṭṭahāsa	von	nominal	taddhita	ka	RĀJAN.
1116	awwahAsin		aṭṭahāsin	awwahAsa	aṭṭahāsa	von	nominal	taddhita	in	H. 197
1118	awwA		aṭṭā	aww	aṭṭ	von	nominal	denominal-other		
1120	awwAy		aṭṭāy	awwA	aṭṭā	von	nominal	denominal-other		
1123	awwAlikA		aṭṭālikā	awwAla	aṭṭāla	von	nominal	denominal-other		JAṬĀDH.
1128	awyA		aṭyā	aw	aṭ	von	root	krt		H. 1501
1139	aRakIya		aṇakīya	aRaka	aṇaka	von	nominal	taddhita	Iya	
1140	aRavya		aṇavya	a/Ru	a/ṇu	von	nominal	denominal-other		P. 5,2,4
1143	aRiman	1	aṇiman	aRu	aṇu	von	nominal	denominal-other		AIT. BR. 2,35
