L_id	headword_slp1	headword	base_slp1	base	suffix	suffix_class	lex	n_citations	dcs_tokens	dcs_attested	citations
7567	asmitA	asmitā	asmi	asmi	tA	абстракт	f.	0	24	True	
82520	yogyatA	yogyatā	yogya	yogya	tA	абстракт	f.	19	24	True	TRIK. 3,3,322; R. 1,22,2; YOGAS. 2,53; KATHĀS. 46,104; RĀJA-TAR. 2,39; Spr. 2178; BHĀG. P. 3,31,45. fg.; MĀRK. P. 113,9
22696	gurutA	gurutā	guru	guru	tA	абстракт	f.	6	20	True	SUŚR. 1,98,14; ŚĀK. 35; SĀH. D. 38,12; R. 2,27,22; ŚIŚ. 9,22; KATHĀS. 19,75
51779	banDutA	bandhutā	banDu	bandhu	tA	абстракт	f.	9	19	True	P. 4,2,43; VOP. 7,35; AK. 2,6,1,35; H. 1422; AIT. BR. 2,4; ṚV. 3,60,1; TS. 1,5,1,4; ŚAT. BR. 3,1,3,12
38855	nityatA	nityatā	nitya	nitya	tA	абстракт	f.	4	18	True	BHĀṢĀP. 101; MBH. 3,12531; SUŚR. 1,336,8; MĀRK. P. 30,25
105253	samatva	samatva	sama	sama	tva	абстракт	n.	14	17	True	KĀTY. ŚR. 1,4,18; VS. PRĀT. 1,3; Spr. (II) 4613; GOL. TRIPR. 6; VARĀH. BṚH. 12,3; KATHĀS. 44,146; MBH. 13,1840; Spr. (II) 1137
3556	anyaTAtva	anyathātva	anyaTA	anyathā	tva	абстракт	n.	1	15	True	KĀVYA-PR. 124,13
41839	patitva	patitva	pati	pati	tva	абстракт	n.	4	14	True	ṚV. 1,119,5; MBH. 3,2140; RAGH. 16,24; HARIV. 9646
43821	paSutva	paśutva	paSu	paśu	tva	абстракт	n.	3	14	True	RĀJA-TAR. 3,334; PRAB. 59,11; R. GORR. 1,63,7
15434	kartavyatA	kartavyatā	kartavya	kartavya	tA	абстракт	f.	1	13	True	YĀJÑ. 1,330
30938	tritva	tritva	tri	tri	tva	абстракт	n.	2	12	True	MBH. 14,2617; BHĀG. P. 1,15,42
1789	adyatana	adyatana	adya	adya	tana	абстракт	adj.	6	11	True	NIR. 1,6; VOP. 7,111; PAÑCAT. 5,6; KĀŚ.; P. 1,2,57; P. 3,2,111
21260	Kecaratva	khecaratva	Kecara	khecara	tva	абстракт	n.	1	11	True	KATHĀS. 3,49
12650	uzRatA	uṣṇatā	uzRa	uṣṇa	tA	абстракт	f.	1	11	True	MBH. 3,15101
93827	vizayatva	viṣayatva	vizaya	viṣaya	tva	абстракт	n.	4	11	True	SARVADARŚANAS. 47,14; PAT.; P. 1,1,6; SARVADARŚANAS. 47,6
6212	alpatA	alpatā	alpa	alpa	tA	абстракт	f.	4	10	True	SUŚR. 1,75, ult. 76,3; MṚCCH. 114,4; PAÑCAT. II, 169; HIT. III, 12
3546	anyatA	anyatā	anya	anya	tA	абстракт	f.	1	10	True	ŚIŚ. 4,55
79275	pratyakzatA	pratyakṣatā	pratyakza	pratyakṣa	tA	абстракт		1	10	True	SARVADARŚANAS. 5,5
114056	sTiratA	sthiratā	sTira	sthira	tA	абстракт	f.	7	10	True	SUŚR. 1,117,17; Spr. (II) 5902; KATHĀS. 111,58; SĀH. D. 63,20; PAÑCAT. 97,14; MBH. 3,14748; ŚĀK. 90
82115	yuktatva	yuktatva	yukta	yukta	tva	абстракт	n.	2	10	True	KĀTY. ŚR. 25,13; VEDĀNTAS. (Allah.) No. 103
1904	aDastana	adhastana	aDas	adhas	tana	абстракт	adj.	1	9	True	H. 581
85764	laGutA	laghutā	laGu	laghu	tA	абстракт	f.	15	9	True	MBH. 7,4654. fg.; MĀRK. P. 19,15; SUŚR. 1,43,20; ṚT. 3,4; Verz. d. Oxf. H. 237,a, No. 568; VARĀH. BṚH. S. 104,57; Ind. St. 8,223; MBH. 13,7145
60511	miTyAtva	mithyātva	miTyA	mithyā	tva	абстракт	n.	7	9	True	NĪLAK. 171; KAP. 1,41; Verz. d. B. H. 187,13; VYUTP. 55; Verz. d. Oxf. H. 397,a,9; ŚATR. 14,341; H. 73
88899	vaSyatA	vaśyatā	vaSya	vaśya	tA	абстракт	f.	11	9	True	R. 2,30,32; YOGAS. 2,55; VP.; SARVADARŚANAS. 177,17; MBH. 1,1613; HARIV. 3689; Spr. 2868; CHANDOM. 92
2486	anAgAstva	anāgāstva	anAgAs	anāgās	tva	абстракт	n.	1	8	True	ṚV. 1,104,6
82696	raktatA	raktatā	rakta	rakta	tA	абстракт	f.	2	8	True	MBH. 3,11247; ŚĀRṄG. SAṂH. 1,6,6
4253	aprajastA	aprajastā	aprajas	aprajas	tA	абстракт	f.	1	7	True	AV. 9,2,3
117798	hyastana	hyastana	hyas	hyas	tana	абстракт	adj.	7	7	True	P. 4,2,105; VOP. 7,10; ŚABDAM.; ŚKDR.; MBH. 5,7270; HALĀY. 5,23; KĀTANTRA 3,1,23
106395	sayatva	sayatva	saya	saya	tva	абстракт	n.	3	7	True	TS. 6,6,4,6; TBR. 1,2,3,2; KĀṬH. 24,10
10692	uccEstva	uccaistva	uccEs	uccais	tva	абстракт	n.	1	7	True	P. 1,4,1
100603	SUnyatva	śūnyatva	SUnya	śūnya	tva	абстракт	n.	6	7	True	Spr. (II) 5441; PRATĀPAR. 52,a,7; RĀJA-TAR. 4,236; WEBER, RĀMAT. UP. 287; SARVADARŚANAS. 61,4; SARVADARŚANAS. 15,14
508	agnIzomIyatva	agnīṣomīyatva	agnIzomIya	agnīṣomīya	tva	абстракт	n.	1	6	True	SUŚR. 1,43,18
52868	budDatva	buddhatva	budDa	buddha	tva	абстракт	n.	4	6	True	VYUTP. 159; AŚOKĀV. 17; BODHICĀRYĀV. 17; KATHĀS. 28,11
18865	kfzRatA	kṛṣṇatā	kfzRa	kṛṣṇa	tA	абстракт	f.	1	6	True	SUŚR. 1,33,20
87259	vakzyamARatva	vakṣyamāṇatva	vakzyamARa	vakṣyamāṇa	tva	абстракт	n.	1	6	True	P. 1,2,48
99646	SivatA	śivatā	Siva	śiva	tA	абстракт	f.	1	6	True	SARVADARŚANAS. 85,6
968	ajAmitA	ajāmitā	ajAmi	ajāmi	tA	абстракт		1	5	True	ŚAT. BR. 1,3,2,8
35374	drutatva	drutatva	druta	druta	tva	абстракт	n.	1	5	True	SĀH. D. 38
61271	mUrtatva	mūrtatva	mUrta	mūrta	tva	абстракт	n.	4	5	True	KAP. 1,50; BHĀṢĀP. 24; MĀRK. P. 26,19; VOP. 4,17
45493	pItatA	pītatā	pIta	pīta	tA	абстракт	f.	2	5	True	MBH. 3,11251; BHĀṢĀP. 127
110665	suptatA	suptatā	supta	supta	tA	абстракт	f.	1	5	True	SUŚR. 1,98,14
114903	svatA	svatā	sva	sva	tA	абстракт	f.	3	5	True	ŚĀK. 35; ŚĀK. CH. 136,12; RAGH. 7,31
108257	sADyatA	sādhyatā	sADya	sādhya	tA	абстракт	f.	2	5	True	Spr. (II) 1309; SUŚR. 1,82,19
87716	vaDyatA	vadhyatā	vaDya	vadhya	tA	абстракт		1	5	True	MBH. 3,2304
93132	viviktatA	viviktatā	vivikta	vivikta	tA	абстракт	f.	5	5	True	H. 71; RĀJA-TAR. 5,354; SUŚR. 1,313,2; SUŚR. 2,219,8; ŚĀRṄG. SAṂH. 3,6,10
62672	agretana	agretana	agre	agre	tana	абстракт	adj.	1	4	True	VS. PRĀT. 3,21
74142	janakatva	janakatva	janaka	janaka	tva	абстракт	n.	1	4	True	SARVADARŚANAS. 11,8
45146	piRqatva	piṇḍatva	piRqa	piṇḍa	tva	абстракт	n.	1	4	True	KATHĀS. 11,44
7837	AkulatA	ākulatā	Akula	ākula	tA	абстракт	f.	4	4	True	SĀH. D. 64,13. fgg.; BALLANTYNE; MBH. 3,401; AMAR. 72
2055	aDunAtana	adhunātana	aDunA	adhunā	tana	абстракт	adj.	1	3	True	ŚAT. BR. 7,1,1,2
2046	aDInatva	adhīnatva	aDIna	adhīna	tva	абстракт	n.	1	3	True	VOP. 7,85
3172	anfRatA	anṛṇatā	anfRa	anṛṇa	tA	абстракт	f.	2	3	True	PAÑCAT. 70,14; R. 2,94,17
56014	BrAjizRutA	bhrājiṣṇutā	BrAjizRu	bhrājiṣṇu	tA	абстракт	f.	1	3	True	SUŚR. 1,313,4
52835	bIBatsatA	bībhatsatā	bIBatsa	bībhatsa	tA	абстракт	f.	2	3	True	MBH. 3,17207. fg.; PRAB. 72,15
33943	duzwatA	duṣṭatā	duzwa	duṣṭa	tA	абстракт	f.	3	3	True	R. 4,1,31; MṚCCH. 2,5; SĀH. D. 3,3
34234	dfQatA	dṛḍhatā	dfQa	dṛḍha	tA	абстракт	f.	2	3	True	PRAB. 13,7; KĀM. NĪTIS. 4,31
117826	hrasvatA	hrasvatā	hrasva	hrasva	tA	абстракт	f.	1	3	True	R. 5,9,44
69381	kawutA	kaṭutā	kawu	kaṭu	tA	абстракт	f.	4	3	True	Spr. 1470; BHĀG. 1,69; AUFRECHT, HALĀY. Ind.; HARIV. 1022
20801	KaYjatA	khañjatā	KaYja	khañja	tA	абстракт	f.	2	3	True	SUŚR. 1,348,15; SĀH. D. 7,19
18569	kfcCratA	kṛcchratā	kfcCra	kṛcchra	tA	абстракт	f.	1	3	True	SUŚR. 2,138,20
62383	mlAnatA	mlānatā	mlAna	mlāna	tA	абстракт	f.	1	3	True	DHŪRTAS. in LA. 72,11
40395	nIcatA	nīcatā	nIca	nīca	tA	абстракт	f.	3	3	True	SĀH. D. 36,15; RATNĀV. 27,10; MBH. 3,10635
47060	pfTutA	pṛthutā	pfTu	pṛthu	tA	абстракт	f.	2	3	True	SUŚR. 1,117,18; VARĀH. BṚH. S. 58,18
104307	sadAtana	sadātana	sadA	sadā	tana	абстракт	adj.	8	3	True	AK. 3,2,22; TRIK. 3,3,271; H. 1452; BHAṬṬ. 5,65; KUSUM. 5,5; ŚKDR.; WILSON; TRIK.
104355	sadfSatva	sadṛśatva	sadfSa	sadṛśa	tva	абстракт	n.	2	3	True	KĀTY. ŚR. 68,1; VARĀH. BṚH. S. 2, S. 4, Z. 7
104178	satyasaMDatA	satyasaṃdhatā	satyasaMDa	satyasaṃdha	tA	абстракт	f.	2	3	True	MBH. 3,1339; RĀJA-TAR. 3,318
113569	stabDatA	stabdhatā	stabDa	stabdha	tA	абстракт	f.	5	3	True	CARAKA 7,2; NĪLAK.; MBH. 5,1536; KĀM. NĪTIS. 13,62; Spr. (II) 2166
87164	vaktavyatA	vaktavyatā	vaktavya	vaktavya	tA	абстракт	f.	6	3	True	MBH. 10,86; HARIV. 4204; R. 7,43,6; M. 8,230; MBH. 12,13877; MĀRK. P. 61,47
93288	viSizwatA	viśiṣṭatā	viSizwa	viśiṣṭa	tA	абстракт	f.	1	3	True	Spr. 3358
89324	vAkyatA	vākyatā	vAkya	vākya	tA	абстракт	f.	1	3	True	SUŚR. 1,260,17
63137	adyatva	adyatva	adya	adya	tva	абстракт	n.	2	2	True	PAT.; Ind. St. 5,163, N. 3
62520	akzayatA	akṣayatā	akzaya	akṣaya	tA	абстракт	f.	1	2	True	SUŚR. 2,159,7
4254	aprajAstva	aprajāstva	aprajAs	aprajās	tva	абстракт	n.	1	2	True	AV. 8,6,26
54754	BAvyatA	bhāvyatā	BAvya	bhāvya	tA	абстракт	f.	1	2	True	KĀTY. ŚR. 38,21
25852	cetanatA	cetanatā	cetana	cetana	tA	абстракт	f.	4	2	True	BĀLAB. 7; MALLIN.; KUMĀRAS. 3,39; KAP. 1,100
116876	hAsyatA	hāsyatā	hAsya	hāsya	tA	абстракт	f.	8	2	True	Spr. (II) 435; RĀJA-TAR. 6,180; MBH. 1,1996; HARIV. 15816; Spr. (II) 5629; MBH. 1,5188; RĀJA-TAR. 5,144; KATHĀS. 92,5
15448	kartva	kartva	kar	kar	tva	абстракт	adj.	3	2	True	P. 3,4,14; NAIGH. 2,1; ṚV. 1,161,3
15861	kavitA	kavitā	kavi	kavi	tA	абстракт	f.	7	2	True	R. Einl.; BHARTṚ. 2,18; DHŪRTAS. 67,4; JAṬĀDH.; ŚKDR.; WILS.; GILD. Bibl. 301
20878	KaRqatA	khaṇḍatā	KaRqa	khaṇḍa	tA	абстракт	f.	1	2	True	BĀLAB. 36
80596	maheSvaratva	maheśvaratva	maheSvara	maheśvara	tva	абстракт	n.	1	2	True	Ind. St. 9,154
80417	manastva	manastva	manas	manas	tva	абстракт	n.	1	2	True	SARVADARŚANAS. 106,14
78038	paratA	paratā	para	para	tA	абстракт	f.	1	2	True	BĀṢĀP. 7
41307	paNgutA	paṅgutā	paNgu	paṅgu	tA	абстракт	f.	2	2	True	M. 11,51; TATTVAS. 35
47813	pragetana	pragetana	prage	prage	tana	абстракт	adj.	1	2	True	P. 4,3,23
49876	pravIRatA	pravīṇatā	pravIRa	pravīṇa	tA	абстракт	f.	1	2	True	Spr. 628
44509	pApatva	pāpatva	pApa	pāpa	tva	абстракт	n.	1	2	True	ṚV. 7,32,18
106498	sarAgatA	sarāgatā	sarAga	sarāga	tA	абстракт	f.	1	2	True	Spr. (II) 1539
30480	tejastva	tejastva	tejas	tejas	tva	абстракт	n.	1	2	True	BHĀG. P. 3,26,39
10632	ugratA	ugratā	ugra	ugra	tA	абстракт	f.	1	2	True	SĀH. D. 66,10
12002	uparitana	uparitana	upari	upari	tana	абстракт	adj.	2	2	True	MAHĪDH.; VS. 25,2
87317	vacanIyatA	vacanīyatā	vacanIya	vacanīya	tA	абстракт	f.	4	2	True	H. 270; HALĀY. 1,147; MṚCCH. 46,23; Spr. 595
87198	vakratA	vakratā	vakra	vakra	tA	абстракт	f.	7	2	True	MĀRK. P. 43,25; Spr. 2082; SŪRYAS. 2,54; GAṆITĀDHY.; SPAṢṬĀDHY. 41; JYOTISTATTVA; ŚKDR.
93335	viSokatA	viśokatā	viSoka	viśoka	tA	абстракт	f.	2	2	True	MBH. 12,8215; MĀRK. P. 33,14
100526	SuzkatA	śuṣkatā	Suzka	śuṣka	tA	абстракт	f.	1	2	True	PAÑCAR. 2,2,5
99920	SItalatA	śītalatā	SItala	śītala	tA	абстракт	f.	1	2	True	Spr. (II) 545
1730	aduzwatva	aduṣṭatva	aduzwa	aduṣṭa	tva	абстракт	n.	1	1	True	KĀTY. ŚR. 23,4,22
6198	alokyatA	alokyatā	alokya	alokya	tA	абстракт	f.	2	1	True	ŚAT. BR. 14,4,1,33; BṚH. ĀR. UP. 1,3,28
1155	aRutA	aṇutā	aRu	aṇu	tA	абстракт	f.	1	1	True	TAITT. PRĀT. 2,10
54344	BavyatA	bhavyatā	Bavya	bhavya	tA	абстракт	f.	1	1	True	RĀJA-TAR. 1,111
54954	BImatA	bhīmatā	BIma	bhīma	tA	абстракт	f.	1	1	True	R. 5,73,4
55513	BUritA	bhūritā	BUri	bhūri	tA	абстракт	f.	1	1	True	KATHĀS. 28,181
55591	BUzaRatA	bhūṣaṇatā	BUzaRa	bhūṣaṇa	tA	абстракт	f.	1	1	True	KATHĀS. 21,98
52599	bAhutA	bāhutā	bAhu	bāhu	tA	абстракт	adv.	1	1	True	ṚV. 1,41,2
52787	bIjatva	bījatva	bIja	bīja	tva	абстракт	n.	2	1	True	NĪLAK.; MUIR, ST. IV, 221
24476	caRqatA	caṇḍatā	caRqa	caṇḍa	tA	абстракт	f.	1	1	True	H. 318
26198	CAndasatva	chāndasatva	CAndasa	chāndasa	tva	абстракт	n.	1	1	True	P. 7,1,39
33033	divyatA	divyatā	divya	divya	tA	абстракт	f.	1	1	True	KATHĀS. 6,82
32969	divAtana	divātana	divA	divā	tana	абстракт	adj.	3	1	True	P. 4,3,23; KUMĀRAS. 4,46; BHAṬṬ. 5,65
33561	durgatA	durgatā	durga	durga	tA	абстракт	f.	1	1	True	R. 4,27,16
21960	garBatA	garbhatā	garBa	garbha	tA	абстракт	f.	1	1	True	VARĀH. BṚH. S. 77,21
22841	gfDnutA	gṛdhnutā	gfDnu	gṛdhnu	tA	абстракт	f.	1	1	True	TRIK. 1,1,131
26558	janitva	janitva	jani	jani	tva	абстракт	n.	1	1	True	ṚV. 10,18,8
70059	kalpatA	kalpatā	kalpa	kalpa	tA	абстракт	f.	1	1	True	BHĀG. P. 11,28,43
15924	kazAyatA	kaṣāyatā	kazAya	kaṣāya	tA	абстракт	f.	1	1	True	SUŚR. 2,213,8
70914	kuRitva	kuṇitva	kuRi	kuṇi	tva	абстракт	n.	1	1	True	TATTVAS. 35
18872	kfzRatva	kṛṣṇatva	kfzRa	kṛṣṇa	tva	абстракт	n.	2	1	True	SUŚR. 1,261,1; MBH. 1,4236
119666	kzIRatva	kṣīṇatva	kzIRa	kṣīṇa	tva	абстракт	n.	1	1	True	Spr. (II) 4978
86369	liNgatva	liṅgatva	liNga	liṅga	tva	абстракт	n.	1	1	True	BHĀG. P. 3,26,33
86986	lohitatva	lohitatva	lohita	lohita	tva	абстракт	n.	1	1	True	MED. y. 101
57936	martyatA	martyatā	martya	martya	tA	абстракт	f.	2	1	True	MBH. 3,519; KATHĀS. 2,21
37437	nagnatA	nagnatā	nagna	nagna	tA	абстракт	f.	2	1	True	ṚV. 10,33,2; ŚAT. BR. 1,7
41108	nyAyatA	nyāyatā	nyAya	nyāya	tA	абстракт	f.	1	1	True	ŚĀṄKH. ŚR. 1,1,30
78064	parameSvaratA	parameśvaratā	parameSvara	parameśvara	tA	абстракт	f.	1	1	True	SARVADARŚANAS. 92,5. fg.
45412	piSAcatA	piśācatā	piSAca	piśāca	tA	абстракт	f.	4	1	True	KATHĀS. 1,59; PRAB. 52,3; ŚUDDHITATTVA; ŚKDR.
47670	prakASatA	prakāśatā	prakASa	prakāśa	tA	абстракт	f.	2	1	True	Spr. 1941; YĀJÑ. 3,77
49113	praTitatva	prathitatva	praTita	prathita	tva	абстракт	n.	2	1	True	H. an. 3,492; MED. y. 89
45614	puMliNgatA	puṃliṅgatā	puMliNga	puṃliṅga	tA	абстракт	f.	2	1	True	MALLIN.; KUMĀRAS. 6,46
46585	pUjyatA	pūjyatā	pUjya	pūjya	tA	абстракт	f.	1	1	True	MBH. 2,1386
83849	rasikatA	rasikatā	rasika	rasika	tA	абстракт	f.	1	1	True	Spr. 411
103368	saKitA	sakhitā	saKi	sakhi	tA	абстракт	f.	3	1	True	MBH. 3,870; HARIV. 9921; R. 5,94,22
106809	sarvatva	sarvatva	sarva	sarva	tva	абстракт	n.	3	1	True	ŚAT. BR. 1,1,4,1; TS. 5,3,12,2; Verz. d. Oxf. H. 44,b,19
104673	saMdigDatva	saṃdigdhatva	saMdigDa	saṃdigdha	tva	абстракт	n.	1	1	True	SĀH. D. 585
110005	suganDitA	sugandhitā	suganDi	sugandhi	tA	абстракт	f.	3	1	True	HALĀY. 1,77; ŚIŚ. 3,54; VARĀH. BṚH. S. 77,34
111354	surUpatA	surūpatā	surUpa	surūpa	tA	абстракт	f.	4	1	True	HARIV. 7868; KĀM. NĪTIS. 17,52; Spr. (II) 5772; MĀRK. P. 69,34
111864	susanitA	susanitā	susani	susani	tA	абстракт	f.	1	1	True	ṚV. 10,36,9
114907	svatva	svatva	sva	sva	tva	абстракт	n.	5	1	True	KATHĀS. 89,114; BHĀG. P. 4,28,16; Spr. (II) 5488; H. 13; KĀṬH. 36,1
10664	uccatA	uccatā	ucca	ucca	tA	абстракт	f.	1	1	True	MBH. 3,10635
95275	vedatA	vedatā	veda	veda	tA	абстракт	f.	1	1	True	ṚV. 10,93,11
92653	vimuKatA	vimukhatā	vimuKa	vimukha	tA	абстракт	f.	3	1	True	GĪT. 9,10; ŚĀK. 66,2; SĀH. D. 23,9
92648	vimuktatA	vimuktatā	vimukta	vimukta	tA	абстракт	f.	1	1	True	KĀM. NĪTIS. 14,43
92235	vipARqutA	vipāṇḍutā	vipARqu	vipāṇḍu	tA	абстракт	f.	1	1	True	ṚT. 4,10
92865	virUpatA	virūpatā	virUpa	virūpa	tA	абстракт	f.	3	1	True	SARVADARŚANAS. 69,1; MBH. 1,4265; R. 3,61,44
93159	vivftatA	vivṛtatā	vivfta	vivṛta	tA	абстракт	f.	1	1	True	R. 2,26,7
96205	vyagratA	vyagratā	vyagra	vyagra	tA	абстракт	f.	6	1	True	ŚĀK. CH. 41,1; RĀJA-TAR. 1,125; PAÑCAT. 252,24. fg.; KULL.; M. 8,65; KUSUM. 24,12. fg.
96352	vyarTatA	vyarthatā	vyarTa	vyartha	tA	абстракт	f.	4	1	True	KUSUM. 37,19; PAÑCAT. 128,1; R. 4,17,8; MBH. 2,2607
89982	vAmatA	vāmatā	vAma	vāma	tA	абстракт	f.	2	1	True	RĀJA-TAR. 4,413; Spr. 1230
94797	vfttitA	vṛttitā	vftti	vṛtti	tA	абстракт	f.	9	1	True	M. 12,33; MBH. 14,999; KĀM. NĪTIS. 11,45; Spr. (II) 1180; BHAG. 14,18; MBH. 14,999; RĀJA-TAR. 4,671; KĀM. NĪTIS. 2,27
121719	yuvatva	yuvatva	yuva	yuva	tva	абстракт	n.	1	1	True	ebend. 4,58,2
101331	SyAmalatA	śyāmalatā	SyAmala	śyāmala	tA	абстракт	f.	0	1	True	
101363	SyAvadantatA	śyāvadantatā	SyAvadanta	śyāvadanta	tA	абстракт	f.	2	1	True	M. 11,49; SUŚR. 2,402,9
98871	SAbdatva	śābdatva	SAbda	śābda	tva	абстракт	n.	1	1	True	SĀH. D. 673
64447	aBiDeyatva	abhidheyatva	aBiDeya	abhidheya	tva	абстракт	n.	1	0	False	TARKAS. 38
62782	acetanatA	acetanatā	acetana	acetana	tA	абстракт	f.	1	0	False	PRAB. 34,17
832	acezwatA	aceṣṭatā	acezwa	aceṣṭa	tA	абстракт	f.	1	0	False	H. 307
1662	adakziRatva	adakṣiṇatva	adakziRa	adakṣiṇa	tva	абстракт		1	0	False	KĀTY. ŚR. 25,14,33
1772	adButatva	adbhutatva	adButa	adbhuta	tva	абстракт	n.	1	0	False	H. 70
1918	aDikatva	adhikatva	aDika	adhika	tva	абстракт	n.	1	0	False	SUŚR. 1,288,12
1942	aDikftatva	adhikṛtatva	aDikfta	adhikṛta	tva	абстракт	n.	1	0	False	SUŚR. 1,79,4
2049	aDIratA	adhīratā	aDIra	adhīra	tA	абстракт	f.	1	0	False	KATHĀS. 6,21
1718	adititva	adititva	aditi	aditi	tva	абстракт	n.	2	0	False	ṚV. 7,51,1; BṚH. ĀR. UP. 1,2,5
341	agotA	agotā	ago	ago	tA	абстракт	f.	2	0	False	ṚV. 3,16,5; AV. 4,17,6
62581	aguRatva	aguṇatva	aguRa	aguṇa	tva	абстракт	n.	1	0	False	TATTVAS. 18
118690	ahamuttaratva	ahamuttaratva	ahamuttara	ahamuttara	tva	абстракт	n.	1	0	False	AV. 3,8,3
13740	Ezamastana	aiṣamastana	Ezamas	aiṣamas	tana	абстракт	adj.	1	0	False	P. 4,2,105
62849	ajYatA	ajñatā	ajYa	ajña	tA	абстракт	f.	1	0	False	Spr. 3340
958	ajAtva	ajātva	ajA	ajā	tva	абстракт	n.	1	0	False	P. 6,3,64
84	akalkatA	akalkatā	akalka	akalka	tA	абстракт	f.	1	0	False	YĀJÑ. 3,313
115	akiMcanatA	akiṃcanatā	akiMcana	akiṃcana	tA	абстракт	f.	1	0	False	H. 81
125	akulatA	akulatā	akula	akula	tA	абстракт	f.	1	0	False	M. 3,63
100	akAmatA	akāmatā	akAma	akāma	tA	абстракт	f.	1	0	False	M. 2,2
198	akzayatva	akṣayatva	akzaya	akṣaya	tva	абстракт	n.	1	0	False	HIT. Pr. 4
5072	amaratva	amaratva	amara	amara	tva	абстракт	n.	5	0	False	SUND. 1,22; ARJ. 3,47; R. 2,31,5; GORR. 1,35,14; SUŚR. 2,399,6
64772	amitatva	amitatva	amita	amita	tva	абстракт	n.	1	0	False	HARIV. 13976
5150	amitratA	amitratā	amitra	amitra	tA	абстракт	f.	2	0	False	PAÑCAT. II, 106; MṚCCH. 23,4
5380	amlatA	amlatā	amla	amla	tA	абстракт	f.	1	0	False	SUŚR. 1,149,9
5207	amftatva	amṛtatva	amfta	amṛta	tva	абстракт	n.	10	0	False	ṚV. 5,4,9; AV. 7,106,1; VS. 7,47; ŚAT. BR. 3,6,1,28; BṚH. ĀR. UP. 2,4,2; BṚH. ĀR. UP. 4,5,3; AIT. BR. 2,14; KAṬHOP. 6,8
2216	anagnatA	anagnatā	anagna	anagna	tA	абстракт	f.	1	0	False	ŚAT. BR. 1,3,8,8
2268	anantatA	anantatā	ananta	ananta	tA	абстракт	f.	2	0	False	ŚAT. BR. 14,6,10,12; BṚH. ĀR. UP. 4,1,5
2325	anaparADatva	anaparādhatva	anaparADa	anaparādha	tva	абстракт	n.	1	0	False	NIR. 11,24
2317	anapatyatA	anapatyatā	anapatya	anapatya	tA	абстракт	f.	1	0	False	ŚĀK. 90,20
2373	anarTatva	anarthatva	anarTa	anartha	tva	абстракт		1	0	False	PAÑCAT. I, 158
2407	anavaDAnatA	anavadhānatā	anavaDAna	anavadhāna	tA	абстракт	n.	4	0	False	AK. 1,1,7,30; H. 1382; ŚABDAR.; ŚKDR.
2400	anavadyatA	anavadyatā	anavadya	anavadya	tA	абстракт	f.	1	0	False	MĀLAV. 20,10
2430	anavasTitatva	anavasthitatva	anavasTita	anavasthita	tva	абстракт	n.	1	0	False	KĀTY. ŚR. 15,4,16
