sutra	n_words	words_iast
P.3.2.65	3	kavyavāhana|purīṣavāhaṇa|purīṣyavāhana
P.3.2.66	3	antaḥpādam|havyavah|havyavāhana
P.3.2.67	13	abjā|agā|bisakhā|dadhikrā|gojā|goṣā|gā|jā|khā|krā|kūpakhā|nṛṣā|sā
P.3.2.68	4	annāda|mṛgād|sasya|āmād
P.3.2.69	3	i|kravyād|kravyāda
P.3.2.70	2	dugha|kāmadugha
P.3.2.71	4	mantra|puroḍāś|ukthaśas|śvetavāh
P.3.2.72	1	avayāj
P.3.2.73	1	upayaj
P.3.2.74	7	aśvatthāman|dāvan|kīlālapā|sudhīvan|sudāman|sudāvan|supīvan
P.3.2.75	9	dhīvan|nirupapada|prātaritvan|pīvan|rej|roṣ|sugaṇ|suśarman|vijāvan
P.3.2.76	2	parṇadhvas|ukha
P.3.2.77	3	stha|sthā|śaṃstha
P.3.2.78	7	anujīvin|anuyāyin|bhojin|uṣṇabhojin|vināyin|āmantrayitar|śītabhojin
P.3.2.79	3	dhvāṅkṣa|rāvin|uṣṭra
P.3.2.80	2	aśrāddhabhojin|sthaṇḍilaśāyin
P.3.2.81	4	dyotya|kulmāṣa|kṣīrapāyin|ābhīkṣṇya
P.3.2.82	2	mānin|nī
P.3.2.83	6	kāliṃmanyā|manya|māna|mānin|paṇḍitamānin|paṇḍitaṃmanya
P.3.2.84	3	bhūta|bhūtakālika|vijñeya
P.3.2.85	2	bhāvana|yājin
P.3.2.86	1	ghātin
P.3.2.87	3	bhrūṇahan|brahmahan|han
P.3.2.88	5	amitraghāta|bahula|kaṣṭa|mātṛhan|pitṛhan
P.3.2.89	9	adhyāya|bhāṣyakṛt|karmakṛt|kṛt|mantrakṛt|puṇyakṛt|pāpakṛt|sukṛt|śāstrakṛt
P.3.2.90	1	somasut
P.3.2.91	3	agnicit|cit|vauṣaṭ
P.3.2.92	2	cit|śyenacit
P.3.2.93	1	vikrayin
P.3.2.94	2	dṛśvan|merudṛśvan
P.3.2.95	2	rājakṛtvan|rājayudhvan
P.3.2.96	2	sahakṛtvan|sahayudhvan
P.3.2.97	2	ja|sarasija
P.3.2.98	1	jāti
P.3.2.99	1	prajā
P.3.2.100	4	anuja|pumanujā|rudh|stryanuja
P.3.2.101	5	adhija|aja|anuja|brāhmaṇaja|dvija
P.3.2.102	1	niṣṭha
P.3.2.103	2	sutvan|yajvan
P.3.2.104	1	jar
P.3.2.105	3	chāndasa|gam|upakaṇṭha
P.3.2.106	1	su
P.3.2.107	3	chāndasa|gam|upakaṇṭha
P.3.2.108	4	bhāṣā|sad|vas|śuśruvaṃs
P.3.2.109	5	anāśvaṃs|anūcāna|aś|i|vac
P.3.2.110	1	bhūtakālika
P.3.2.111	1	adyatana
P.3.2.112	7	abhijña|jñā|kāśmīra|parigraha|paryāya|smar|vacana
P.3.2.113	1	yad
P.3.2.114	5	jñā|kāśmīra|lakṣya|sākāṅkṣa|yad
P.3.2.115	1	parokṣa
P.3.2.116	2	ha|śaśvant
P.3.2.117	1	sad
P.3.2.118	1	sma
P.3.2.119	2	aparokṣa|parokṣa
P.3.2.120	2	nanu|prativacana
P.3.2.121	3	kim|na|nu
P.3.2.122	4	ha|purā|sma|śaśvant
P.3.2.123	1	vart
P.3.2.124	2	samānādhikaraṇa|sāmānādhikaraṇya
P.3.2.126	2	plu|yavana
P.3.2.127	1	sant
P.3.2.128	2	pavamāna|yajamāna
P.3.2.129	7	as|div|han|kavaca|maṇḍ|vah|śak
P.3.2.130	4	dhar|i|kṛcchrin|pārāyaṇa
P.3.2.131	1	dviṣ
P.3.2.132	1	su
P.3.2.133	1	arhant
P.3.2.134	5	nirapekṣa|tacchīla|taddharman|tatsādhukārin|vart
P.3.2.135	5	apahartar|apavāda|kartar|vaditar|āhvaraka
P.3.2.136	12	alaṃkariṣṇu|apatrapiṣṇu|cariṣṇu|nirākariṣṇu|prajaniṣṇu|rociṣṇu|sahiṣṇu|unmadiṣṇu|utpaciṣṇu|utpatiṣṇu|vardhiṣṇu|vartiṣṇu
P.3.2.137	2	dhārayiṣṇu|pārayiṣṇu
P.3.2.138	5	bhaviṣṇu|bhrājiṣṇu|niraṅkuśa|prabhaviṣṇu|tarhi
P.3.2.139	5	glāsnu|jiṣṇu|smārya|sthāsnu|śāsana
P.3.2.140	5	bhūta|dhṛṣṇu|gṛdhnu|kṣipnu|trasnu
P.3.2.141	8	bhramin|damin|klamin|kṣamin|pramādin|tamin|śamin|śramin
P.3.2.142	28	abhyāghātin|anurodhin|apacārin|aticārin|bhāgin|dohin|doṣin|drohin|dveṣin|paridevin|paridāhin|parikṣepin|parimohin|parirāṭin|parisārin|parivādin|rāgin|saṃjvārin|saṃparkin|saṃsargin|tyāgin|vikaraṇa|vivekin|yogin|ākrīḍin|āmoṣin|āyāmin|āyāsin
P.3.2.143	4	vikatthin|vikāṣin|vilāsin|viśrambhin
P.3.2.144	2	apalāṣin|vilāṣin
P.3.2.145	7	pradrāvin|pralāpin|pramāthin|prasārin|pravādin|pravāsin|vikaraṇa
P.3.2.146	10	asūyaka|hiṃsaka|khādaka|kleśaka|nindaka|parikṣepaka|parirāṭaka|parivādaka|vināśaka|vyābhāṣaka
P.3.2.147	4	devayitar|kroṣṭar|paridevaka|vyākrośaka
P.3.2.148	4	calana|copana|ravaṇa|śabdana
P.3.2.149	4	jugupsana|mīmāṃsana|vardhana|vartana
P.3.2.150	10	caṅkramaṇa|dandramaṇa|gardhana|javana|jvalana|laṣaṇa|padana|patana|saraṇa|śocana
P.3.2.151	5	bhūṣaṇa|krodhana|maṇḍ|maṇḍana|roṣaṇa
P.3.2.152	2	knūyitar|kṣmāyitar
P.3.2.153	7	dīkṣitar|dīpitar|kamana|kampana|kampra|kamra|sūditar
P.3.2.154	11	bhāvuka|ghātuka|gāmuka|kāmuka|lāṣuka|pāduka|pātuka|sthāyuka|varṣuka|āgāmuka|śāruka
P.3.2.155	6	bhikṣāka|jalpāka|kuṭṭ|kuṭṭāka|luṇṭāka|varāka
P.3.2.156	1	prajavin
P.3.2.157	10	abhyamin|atyayin|avyathin|darin|jayin|kṣayin|paribhavin|prasavin|vamin|viśrayin
P.3.2.158	7	dayālu|gṛhayālu|nidrālu|patayālu|spṛhayālu|tandrālu|śraddhālu
P.3.2.159	5	dhāru|dāru|sadru|seru|śadru
P.3.2.160	3	admara|ghasmara|sṛmara
P.3.2.161	4	bhaṅgura|bhāsura|druh|medura
P.3.2.162	3	bhidura|chidura|vidura
P.3.2.163	4	itvara|jitvara|naśvara|sṛtvara
P.3.2.164	1	gatvara
P.3.2.165	1	jāgarūka
P.3.2.166	3	dandaśūka|jañjapūka|yāyajūka
P.3.2.167	7	ajasra|dīpra|hiṃsra|kampra|kamra|namra|smera
P.3.2.168	3	bhikṣu|cikīrṣu|āśaṃsu
P.3.2.169	2	icchu|vindu
P.3.2.170	4	mitrayu|putrīyitar|saṃsvedayu|sumnayu
P.3.2.171	5	jaghni|jagmi|jajñi|papi|taturi
P.3.2.172	3	dhṛṣṇaj|svapnaj|tṛṣṇaj
P.3.2.173	2	vandāru|śarāru
P.3.2.174	2	bhīluka|bhīru
P.3.2.175	5	bhāsvara|kasvara|pesvara|sthāvara|īśvara
P.3.2.176	1	yāyāvara
P.3.2.177	9	bhās|dhur|grāvastut|jū|prapañca|pur|vibhrāj|vidyut|ūrj
P.3.2.178	1	śrī
P.3.2.179	5	antara|dhanika|madhyastha|mitrabhū|pratibhū
P.3.2.180	3	prabhu|saṃbhu|vibhu
P.3.2.181	1	dhātrī
P.3.2.182	13	daṃṣṭra|dātra|meḍhra|naddhrī|netra|pattra|sektra|setra|stotra|tottra|yoktra|yotra|śastra
P.3.2.183	1	potra
P.3.2.184	7	aritra|caritra|dhavitra|khanitra|lavitra|sahitra|savitra
P.3.2.185	1	pavitra
P.3.2.186	3	pavitra|pū|ṛṣi
P.3.2.187	2	kṣvid|tvar
P.3.2.188	17	amṛta|budh|har|harṣ|juṣṭa|kruś|krānta|kṣam|man|mati|pūj|pṛthak|rakṣ|ruṣ|tuṣ|yam|śīlay
P.3.3.1	1	toka
P.3.3.2	1	vāya
P.3.3.3	10	bhāvin|bhū|gamin|prasthāyin|pratibodhin|pratirodhin|pratiyodhin|pratiyogin|pratiyāyin|āgāmin
P.3.3.4	2	purā|yāvant
P.3.3.5	2	kadā|karhi
P.3.3.6	7	ka|katama|katara|kiṃvṛtta|lipsā|svarloka|vṛtta
P.3.3.7	2	labh|svargaloka
P.3.3.8	4	atha|ced|lakṣaṇa|praiṣa
P.3.3.9	4	atha|ced|upari|ūrdhvamauhūrtika
P.3.3.10	2	bhojaka|vibhāvaka
P.3.3.11	3	bhāvavacana|bādha|vraj
P.3.3.12	2	godāya|kāṇḍalāva
P.3.3.14	1	sant
P.3.3.15	4	adyatana|vyāmiśra|śvas|śvastana
P.3.3.16	4	pāda|roga|sparśa|veśa
P.3.3.17	2	khadira|sāra
P.3.3.18	1	bhāva
P.3.3.19	9	api|dāya|meṣa|mā|prāsa|saha|vyabhicāra|yāvant|āhāra
P.3.3.20	8	apavāda|nicāya|nirāsa|niṣpāva|paricchitti|rūḍhi|vidhi|ākhyā
P.3.3.21	5	adhyāya|nīśāra|prāvaraṇa|upādhyāya|śāra
P.3.3.22	3	rava|saṃrāva|uparāva
P.3.3.23	4	saṃdrāva|saṃdāva|saṃyāva|yava
P.3.3.24	7	bhāva|naya|nāya|prabhava|praśraya|praṇaya|śrāya
P.3.3.25	2	vikṣāva|viśrāva
P.3.3.26	3	avanāya|unnaya|unnāya
P.3.3.27	6	drava|pradrāva|prasrāva|prastāva|srava|stava
P.3.3.28	4	abhilāva|lava|niṣpāva|pava
P.3.3.29	3	gara|nigāra|udgāra
P.3.3.30	4	nikara|nikāra|utkara|utkāra
P.3.3.31	2	saṃstava|saṃstāva
P.3.3.32	2	prastara|prastāra
P.3.3.33	3	prathana|vistara|vistāra
P.3.3.34	2	viṣṭāra|viṣṭārapaṅkti
P.3.3.35	1	udgrāha
P.3.3.36	3	saṃgraha|saṃgrāha|saṃniveśa
P.3.3.37	5	abhreṣa|nyaya|nyāya|pariṇaya|pariṇāya
P.3.3.38	4	atipāta|paryaya|paryāya|upātyaya
P.3.3.39	4	upaśaya|upaśāya|viśaya|viśāya
P.3.3.40	5	pracaya|pracāya|pratyāsatti|puṣpapracaya|puṣpapracāya
P.3.3.41	7	citi|kāya|nicekāya|nikāya|rāśīkaraṇa|upasamādhāna|ākāya
P.3.3.42	5	auttarādharya|bhikṣuka|nicaya|nikāya|saṃgha
P.3.3.43	3	vyatihāra|vyāvahāsī|vyāvakrośī
P.3.3.44	4	abhividhi|sāṃdrāviṇa|sāṃkūṭina|sāṃrāviṇa
P.3.3.45	3	avagraha|avagrāha|nigrāha
P.3.3.46	1	pragrāha
P.3.3.47	4	parigraha|parigrāha|sphya|uttaraparigrāha
P.3.3.48	1	nivara
P.3.3.49	5	samucchraya|ucchrāya|uddrāva|udyāva|utpāva
P.3.3.50	4	āplava|āplāva|ārava|ārāva
P.3.3.51	4	abhidheya|avagraha|avagrāha|pratibandha
P.3.3.52	4	pragraha|pragrāha|tulāpragraha|tulāsūtra
P.3.3.53	2	pragraha|pragrāha
P.3.3.54	2	pravara|pravāra
P.3.3.55	3	avajñāna|paribhava|paribhāva
P.3.3.56	3	caya|jaya|varṣa
P.3.3.57	8	gara|java|kara|mukhasukha|para|stava|yava|śara
P.3.3.58	6	dara|gama|graha|niścaya|raṇa|vara
P.3.3.59	3	ghāsa|praghasa|vighasa
P.3.3.60	3	nighasa|nyāda|sava
P.3.3.61	4	japa|upajāpa|vyadha|āvyādha
P.3.3.62	6	hasa|hāsa|prahāsa|prasvāna|svana|svāna
P.3.3.63	9	niyama|niyāma|sava|saṃyama|saṃyāma|upayama|upayāma|viyama|viyāma
P.3.3.64	8	nigada|nigāda|ninada|nināda|nipaṭha|nipāṭha|nisvana|nisvāna
P.3.3.65	4	as|nikvaṇa|nikvāṇa|prakvaṇa
P.3.3.66	3	muṣṭibandha|paṇa|pāṇa
P.3.3.67	2	mada|sava
P.3.3.68	4	pramada|pramāda|saṃmada|saṃmāda
P.3.3.69	4	samaja|samāja|udaja|udāja
P.3.3.70	2	glaha|grāha
P.3.3.71	5	garbhagrahaṇa|garbhādhāna|puṃgava|strīgavī|upasara
P.3.3.72	6	abhihava|nihava|prahvāya|saṃprasāraṇa|upahava|vihava
P.3.3.73	2	āhava|āhvāya
P.3.3.74	3	nipāna|āhvāya|āhāva
P.3.3.75	1	hava
P.3.3.76	1	vadha
P.3.3.78	4	antarghana|antarghaṇa|antarghāta|bāhīka
P.3.3.79	6	agāra|praghaṇa|praghāta|praghāṇa|prakoṣṭha|pākṣika
P.3.3.80	3	atyādhāna|udghana|upari
P.3.3.81	2	apaghana|apaghāta
P.3.3.82	4	ayoghana|drughana|drughaṇa|vighana
P.3.3.83	3	stambaghana|stambaghna|stambaghāta
P.3.3.84	1	parigha
P.3.3.85	2	upaghna|āśraya
P.3.3.86	3	saṃgha|saṃghāta|udgha
P.3.3.87	5	mā|nigha|nirviśeṣa|pariṇāha|āroha
P.3.3.88	3	kṛtrima|paktrima|uptrima
P.3.3.89	4	davathu|kṣavathu|vepathu|śvayathu
P.3.3.90	6	praśna|rakṣṇa|viśna|yajña|yatna|yācñā
P.3.3.91	1	svapna
P.3.3.92	4	nidhi|pradhi|pradi|vidhi
P.3.3.93	2	jaladhi|śaradhi
P.3.3.94	3	kṛti|mati|vitti
P.3.3.95	8	iṣṭi|nipīti|pakti|prasthiti|saṃgīti|saṃpīti|upagīti|upasthiti
P.3.3.96	11	bhūti|iṣṭi|mantra|mati|mātra|rāti|vaicitrya|vipariṇāma|vitti|vīti|vṛṣṭi
P.3.3.97	7	heti|jū|jūti|kīrti|sāti|yūti|ūti
P.3.3.98	2	ijya|vrajyā
P.3.3.99	11	bhṛtyā|i|ityā|manyā|nipatyā|niṣadyā|samajyā|sutya|vidyā|ādi|śayyā
P.3.3.100	2	kriyā|kṛtya
P.3.3.101	1	icchā
P.3.3.102	6	cikīrṣā|jihīrṣā|kaṇḍūyā|lolūya|putrakāmyā|putrīyā
P.3.3.103	4	huṇḍa|kuṇḍa|īhā|ūha
P.3.3.104	23	bhidā|chidā|cūḍa|dhārā|godhā|guhā|hāra|jara|kārā|kṛpā|kṣipa|kṣiyā|medhā|mṛjā|pīḍā|rekha|trapa|tāra|vapā|vasā|vidā|ārā|śraddhā
P.3.3.105	6	carca|cintā|kathā|kumb|kumba|pūjā
P.3.3.106	3	upadhā|upadā|vādya
P.3.3.107	4	hāraṇa|kāraṇa|āsana|śranthana
P.3.3.108	3	pracchardikā|pravāhaka|śirorti
P.3.3.109	2	mālabhañjikā|uddālakapuṣpabhañjikā
P.3.3.110	7	kāraka|kāri|paripraśna|yathāprāpta|yaṣṭi|yāji|yājikā
P.3.3.111	10	arhaṇa|bhakṣaka|dhar|ikṣubhakṣikā|pad|paripāṭī|utpatti|ākhyāna|āsikā|śāyaka
P.3.3.112	6	a|ajanani|ajīvani|akaraṇi|aprayāpaṇi|aprayāṇi
P.3.3.113	7	bhojana|car|dānīya|galecopaka|pādahāraka|snānīya|vyabhicāra
P.3.3.114	2	has|jalp
P.3.3.115	2	hasana|jalpana
P.3.3.116	6	agnikuṇḍa|mardana|mānasa|pariṣvañjana|saṃsparśa|tūlikā
P.3.3.117	4	godohana|idhma|palāśaśātana|pravraścana
P.3.3.118	2	dantacchada|ākara
P.3.3.119	8	gocara|kaṣa|nigama|nikaṣa|saṃcara|vaha|vyaja|āpaṇa
P.3.3.120	2	avastāra|avatāra
P.3.3.121	2	apāmārga|deva
P.3.3.122	6	adhyāya|kṣip|nyāya|saṃhāra|udyāva|yuj
P.3.3.123	2	udañcana|udaṅka
P.3.3.124	1	ānāya
P.3.3.125	3	ākhana|ākhanikabaka|ākhāna
P.3.3.126	5	duṣ|duṣkara|kara|sukara|īṣat
P.3.3.127	6	durāḍhyaṃbhava|durāḍhyaṃkara|kara|svāḍhyaṃbhava|svāḍhyaṃkara|īṣat
P.3.3.128	3	duṣpāna|supāna|īṣat
P.3.3.129	1	sūpasadana
P.3.3.130	2	sudohana|suvedana
P.3.3.131	4	etad|idam|sāmīpya|vart
P.3.3.132	2	ced|tarhi
P.3.3.133	4	ced|kṣipra|āśu|śīghra
P.3.3.134	3	ced|kṣipra|śaṃs
P.3.3.135	6	adyatana|idam|kram|prabandha|sātatya|ya
P.3.3.136	3	avara|pravibhāga|pāṭaliputra
P.3.3.137	3	avara|rātra|vibhāga
P.3.3.138	1	para
P.3.3.139	5	atipatti|ced|kriyātipatti|niṣpatti|tadā
P.3.3.140	3	bhūtakāla|tatas|yadi
P.3.3.142	3	api|jātu|sāmānya
P.3.3.143	2	katham|nāman
P.3.3.144	5	ka|katama|katara|kiṃvṛtta|vṛtta
P.3.3.145	7	amarṣa|avaklapti|bhū|kalp|marṣ|yaj|śrat
P.3.3.146	3	as|bhū|vid
P.3.3.147	6	bhū|jātu|kalp|marṣ|yad|yadi
P.3.3.148	2	bhū|yatra
P.3.3.149	2	garh|garhā
P.3.3.150	3	citra|citrīkaraṇa|āścarya
P.3.3.151	4	citra|kim|nāman|āścarya
P.3.3.152	2	api|uta
P.3.3.153	3	kāma|prakāśana|pravedana
P.3.3.154	3	alam|api|upanyāsa
P.3.3.155	1	bhū
P.3.3.156	3	ced|hetu|hetumant
P.3.3.157	2	iṣ|kam
P.3.3.158	2	iṣ|kam
P.3.3.159	2	iṣ|kam
P.3.3.160	2	iṣ|kam
P.3.3.161	7	iṣ|nimantraṇa|niyoga|prārthana|saṃpradhāraṇa|saṃpraśna|vidhi
P.3.3.163	4	atisarga|praiṣa|preṣaṇa|prāptakāla
P.3.3.164	1	ūrdhvamauhūrtika
P.3.3.165	1	sma
P.3.3.166	1	iṣ
P.3.3.167	3	kāla|samaya|velā
P.3.3.168	3	kāla|samaya|yad
P.3.3.169	1	voḍhar
P.3.3.170	4	dāyin|kārin|ādhamarṇya|āvaśyaka
P.3.3.171	1	dātavya
P.3.3.174	4	bhūti|devadatta|sāti|tanti
P.3.3.175	1	mā
P.3.3.176	1	mā
P.3.4	1	ṛtuyāja
P.3.4.1	2	pratyaya|saṃbandha
P.3.4.2	3	parasmaipadin|samabhihāra|ātmanepadin
P.3.4.3	2	ci|samuccaya
P.3.4.4	1	anuprayoga
P.3.4.5	3	anuprayoga|har|sāmānyavacana
P.3.4.6	1	śakalāṅguṣṭhaka
P.3.4.7	5	juṣ|mad|takṣ|tar|vap
P.3.4.8	9	grabh|jihma|ned|paribhāṣaṇa|pat|paṇavandha|upasaṃvāda|āśaṅkā|īś
P.3.4.9	9	car|gam|har|hvā|i|kartu|yā|śriyadhyai|śriyase
P.3.4.10	5	avyathiṣyai|rohiṣyai|ruh|vyath|yā
P.3.4.11	2	har|khyā
P.3.4.12	3	apalup|vibhājam|śak
P.3.4.13	3	abhicaritu|likh|īśvara
P.3.4.14	5	anvetavai|avagāhe|dadṛkṣeṇya|kartva|kṛtya
P.3.4.15	1	avacakṣe
P.3.4.16	9	apākartu|car|hu|i|jan|purā|sthā|vad|āgnīdhrīya
P.3.4.17	2	sarp|tard
P.3.4.18	4	alam|khalu|pratiṣedha|prāñc
P.3.4.19	2	mā|vyatihāra
P.3.4.20	4	avara|kram|para|āp
P.3.4.22	3	bhuj|pā|ābhīkṣṇya
P.3.4.23	2	kāṅkṣ|ākāṅkṣya
P.3.4.24	4	agra|prathama|pūrva|tatas
P.3.4.25	1	kāram
P.3.4.26	4	kāram|pad|saṃpannaṃkāram|svāduṃkāram
P.3.4.27	5	anyathākāram|evaṃkāram|itthaṃkāram|kathaṃkāram|kāram
P.3.4.28	5	asūyā|ka|kāram|tathākāram|yathākāram
P.3.4.29	3	darś|sākalya|vedam
P.3.4.30	2	yāvadvedam|yāvajjīvam
P.3.4.31	3	carman|par|udarapūram
P.3.4.32	2	goṣpada|par
P.3.4.33	2	cela|knūy
P.3.4.34	3	kaṣ|nimūlam|samūlakāṣam
P.3.4.35	4	cūrṇa|piṣ|rūkṣapeṣam|śuṣkapeṣam
P.3.4.36	3	akṛtakāram|jīvagrāham|samūlaghātam
P.3.4.37	1	han
P.3.4.38	1	piṣ
P.3.4.39	5	grabh|hastagrāham|hastavartam|kara|vart
P.3.4.40	2	puṣ|svapoṣam
P.3.4.41	1	bandh
P.3.4.42	3	aṭṭālikābandha|caṇḍālikābandha|krauñcabandha
P.3.4.43	2	jīvanāśam|puruṣavāham
P.3.4.44	4	yathāvidhi|ūrdhvamukha|ūrdhvapūram|ūrdhvaśoṣam
P.3.4.45	2	dhā|naś
P.3.4.46	1	har
P.3.4.47	1	daṃś
P.3.4.48	3	han|kal|nīvāra
P.3.4.49	3	karṣ|pīḍ|rudh
P.3.4.50	3	grabh|keśa|samāsatti
P.3.4.51	2	karṣ|khaṇḍika
P.3.4.52	2	parīpsā|sthā
P.3.4.53	2	grabh|upayogin
P.3.4.54	3	adhruva|kṣip|nikāṇam
P.3.4.55	2	kliś|piṣ
P.3.4.56	10	anuprapāda|anuprapāta|anupraveśa|anuskanda|pad|sev|skand|vyāpti|āp|āsevā
P.3.4.57	5	antara|atyāsa|kram|tarṣ|vyavadhāyaka
P.3.4.58	2	nāmagrāham|nāmādeśam
P.3.4.59	4	nīcais|uccais|yathābhipreta|ākhyāna
P.3.4.60	2	apavarga|tiryañc
P.3.4.61	6	bhū|kar|kāram|mukhatas|mukhībhū|tas
P.3.4.62	6	bhū|kar|kāram|nānā|nānākāram|vinābhū
P.3.4.63	2	bhū|tūṣṇīm
P.3.4.64	3	anvagbhāvam|anvañc|ānulomya
P.3.4.65	12	arh|bhū|dharṣ|ghaṭ|glā|jñā|kram|labh|rabh|sah|vid|śak
P.3.4.66	4	alam|par|paryāpti|āp
P.3.4.67	1	kṛt
P.3.4.68	7	bhavya|geya|janya|pravacanīya|upasthānīya|āplāvya|āpātya
P.3.4.69	1	bhāva
P.3.4.71	2	kar|ādikarman
P.3.4.72	10	gam|jan|jar|māṇavaka|ruh|sthā|vas|ās|śliṣ|śī
P.3.4.73	4	dāsa|dāśa|goghna|saṃpradāna
P.3.4.74	17	apādāna|bhayānaka|bhīma|bhīṣma|caru|dṛṣṭi|khalati|mūrkha|prapatana|praskandana|rakṣas|samudra|saṃkasuka|sruc|sruva|vaha|śaṅku
P.3.4.76	7	adhikaraṇa|bhuj|bhukta|dhrauvya|gam|pratyavasāna|ās
P.3.4.77	4	lakāra|muc|ric|sāmānya
P.3.4.78	2	pratyāhāra|udāhārya
P.3.4.82	1	parasmaipada
P.3.4.83	1	vid
P.3.4.84	1	ah
P.3.4.88	4	hu|hvar|prī|yu
P.3.4.92	2	uttama|uttamapuruṣa
P.3.4.95	2	kar|mantray
P.3.4.96	5	dhā|grabh|vac|īś|śī
P.3.4.97	1	chadis
P.3.4.98	1	kar
P.3.4.102	1	liṅ
P.3.4.104	2	gar|yaj
P.3.4.109	2	abhyasta|vid
P.3.4.111	3	vā|yā|śākaṭāyana
P.3.4.112	1	dviṣ
P.3.4.113	1	sārvadhātuka
P.3.4.114	1	śeṣa
P.3.4.117	3	sthā|tārkṣya|vardh
P.3.4.144	1	ārdhadhātuka
P.4.1.1	4	agra|prātipadika|puṣpa|sāmānya
P.4.1.2	1	viśeṣaṇa
P.4.1.3	2	kroḍa|strī
P.4.1.4	25	aja|bādhana|bāla|caṭaka|daṃṣṭra|devaviśā|ekapuṣpā|eḍaka|hoḍa|jyeṣṭha|jñā|kaniṣṭha|kokila|kruñca|kāṇḍapuṣpa|madhyama|manda|mūṣaka|pācaka|pāka|pāṭhaka|pūrvāpahāṇā|uṣṇihā|vatsa|vilāta
P.4.1.6	2	bhājī|bāhīka
P.4.1.7	6	dhīvan|mātra|sahakṛtvan|saṃniyoga|sutvan|śarvara
P.4.1.8	2	pad|tripad
P.4.1.9	2	dvipada|tripada
P.4.1.10	5	dhaumāyana|kati|tu|yati|ṣaṣ
P.4.1.11	2	dāman|sīman
P.4.1.12	4	atirājan|bahuvrīhi|sucarman|suparvan
P.4.1.13	1	sīmā
P.4.1.14	4	kukkuṭa|kurucara|sūkara|upasarjana
P.4.1.15	22	aupagava|daghna|dvayasa|kumbhakāra|kurucara|liṅga|lākṣika|lāvaṇika|mātra|pauṃsna|pañcataya|prayojana|sauparṇeya|straiṇa|taluna|taruṇa|upagu|vaida|vainateya|yādṛśa|yāṣṭīka|āḍhyaṃkaraṇa
P.4.1.16	2	gārgī|vātsī
P.4.1.17	6	agrima|gārgyāyaṇa|karṣ|prāñc|taddhita|āvaṭya
P.4.1.18	33	bābhravyāyaṇī|gauhalavya|gāṇḍavya|jaigīṣavyāyaṇī|kata|kānthakya|kāpyāyanī|kāthakya|kātyāyana|lauhityāyanī|lohita|mānavyāyanī|māntavya|mānāyyāyanī|māṅkṣavya|māṇḍavyāyana|paryanta|prayojana|pūrva|saunavyāyanī|tālukṣya|tānavya|tāntavya|tārkṣyāyaṇa|tārukṣya|tāṇḍyāyanī|vālgavyāyanī|vārkṣyāyaṇī|vātaṇḍyāyanī|āligavya|ārkṣyāyaṇī|śākalyāyanī|śāṅkavyāyanī
P.4.1.19	4	kauravya|kauravyāyaṇī|māṇḍūka|māṇḍūkāyana
P.4.1.20	2	kiśora|vayas
P.4.1.21	1	dvigu
P.4.1.22	8	aśva|kambalya|luk|parimāṇa|varṣa|vista|ācita|āḍhaka
P.4.1.23	1	kāṇḍa
P.4.1.25	2	bahuvrīhi|ūdhan
P.4.1.26	1	ūdhan
P.4.1.27	3	caturhāyaṇa|dāman|hāyana
P.4.1.28	3	matsya|rāja|rājan
P.4.1.29	3	chandas|pañcadāman|surājan
P.4.1.30	10	apara|bheṣaja|bhāgadheya|kevala|loka|māmaka|pāpa|samāna|sumaṅgala|āryakṛtī
P.4.1.31	1	rātrī
P.4.1.32	6	antarvant|pativatnī|patnī|pratyudāharaṇa|upacāra|śakti
P.4.1.33	5	bhoktar|pati|patnī|saṃbandha|saṃyoga
P.4.1.34	1	pati
P.4.1.35	3	ekapatnī|patnī|sapatnī
P.4.1.36	2	pūtakratu|pūtakratāyī
P.4.1.37	4	agnāyī|kusida|kusita|vṛṣākapāyī
P.4.1.38	4	kṣatriya|manu|manāvī|manāyī
P.4.1.39	8	asiknikā|eta|harita|piśaṅga|rohita|śiti|śveta|śyeta
P.4.1.40	3	kalmāṣa|sāraṅga|śabala
P.4.1.41	149	audgāhamāni|auḍa|badara|bhauliki|bhauliṅgi|bhauriki|bhāṇḍala|bhṛṅga|bimba|bṛhant|bṛsī|cheda|deha|dehalī|dhātaki|droṇa|druṇa|eṣaṇa|gaura|gautama|gavaya|gavādana|gaḍula|gotama|gurda|haritaka|hariṇa|harītaka|haya|hrada|jharjhara|kadala|kadara|kalmāṣa|kandara|karkari|kaṭi|kevāla|khanaka|kośātaka|kroṣṭar|kuvala|kākaṇa|kākādanī|lavaṇa|lohāṇḍa|mah|mahant|manthara|manuṣya|+99
P.4.1.42	16	bhājī|goṇa|goṇī|guṇavacana|jānapada|kavara|keśaveśa|kuśa|kuṇḍa|kāla|kāmuka|nāga|nīla|sthala|vikāra|āvapana
P.4.1.43	2	prāñc|śoṇa
P.4.1.44	3	guṇavacana|mṛdu|paṭu
P.4.1.45	34	ahi|ahnī|bahu|bhaga|bharuja|candrabhāgā|caṇḍa|dhvaji|ekapatnī|gala|guda|kalyāṇa|kamala|kapi|khura|kroḍa|kṛpaṇa|muni|nakha|paddhati|purāṇa|rādhi|rāga|rāti|udāra|vikaṭa|viśaṅkaṭa|vāla|yaṣṭi|śakaṭa|śakti|śapha|śādhi|śāri
P.4.1.47	2	prabhu|vibhu
