compound_id	compound_lemma	compound_surface	member_count	head_lemma	head_upos	head_case	head_gender	head_number	member_deprels	chapter_ref	text	sentence
cpd:068	pūrva-tulyaka	pūrva tulyakam	2	tulyaka	ADJ	Acc	Masc	Sing	-	RRĀ, V.kh., 4	Rasaratnākara	śuddhasūtaṃ palaṃ cārdhaṃ karpūraṃ pūrvatulyakam
cpd:069	snuhī-kṣīra	snuhī kṣīraiḥ	2	kṣīra	NOUN	Ins	Neut	Plur	-	RRĀ, V.kh., 8	Rasaratnākara	snuhīkṣīrairdinaṃ mardyaṃ śvetavaṅgasya patrakam
cpd:070	anaikāntika-tva	anaikāntika tvāt	2	tva	NOUN	Abl	Neut	Sing	-	RCint, 1	Rasendracintāmaṇi	kiṃca srakcandanavanitādiviṣayāṇāṃ satyapi tatkāraṇatve nāntarīyakaduḥkhasambhedād anarthaparamparāparicitatvān mūrkhāṇāṃ kośāṇḍakavad ābhāsamānatvād anaikāntikatvād virodhināṃ yugapadadṛśyamānatvād a
cpd:071	mala-pravṛtti	mala pravṛttiḥ	2	pravṛtti	NOUN	Nom	Fem	Sing	-	RCint, 8	Rasendracintāmaṇi	kāle malapravṛttirlāghavamudare viśuddhir udgāre
cpd:072	heman-vajra-ādi-bhūnāga-sattva	hema vajra ādi bhūnāga sattvaiḥ	5	sattva	NOUN	Ins	Neut	Plur	-|-|-|-	RAdhy, 1	Rasādhyāya	hemavajrādibhūnāgasatvairniṣpāditastribhiḥ
cpd:073	keśa-śauklya	keśa śauklyam	2	śauklya	NOUN	Nom	Neut	Sing	-	RājNigh, Manuṣyādivargaḥ	Rājanighaṇṭu	palitaṃ ca jarā lakṣma keśaśauklyaṃ ca tadbhavet
cpd:074	kāla-sadṛśa	kāla sadṛśam	2	sadṛśa	ADJ	Acc	Neut	Sing	-	Rām, Ay, 18	Rāmāyaṇa	uvāca lakṣmaṇo dīnas tat kālasadṛśaṃ vacaḥ
cpd:075	sva-gṛha	sva gṛhe	2	gṛha	NOUN	Loc	Masc	Sing	-	Rām, Ay, 18	Rāmāyaṇa	śuśrūṣur jananīṃ putra svagṛhe niyato vasan
cpd:076	vālin-putra	vāli putraḥ	2	putra	NOUN	Nom	Masc	Sing	-	Rām, Ki, 47	Rāmāyaṇa	tam āpatantaṃ sahasā vāliputro 'ṅgadas tadā
cpd:077	raukṣya-lāghava-ādi-kara	raukṣya lāghava ādi karam	4	kara	ADJ	Nom	Neut	Sing	-|-|-	SarvSund zu AHS, Sū., 9, 9.1	Sarvāṅgasundarā	vāyavyaṃ dravyaṃ rūkṣādiguṇolbaṇaṃ raukṣyalāghavādikaram
