whitney_no,root_iast,root_slp1,homonym,gloss,dcs_lemma_attested,dcs_freq_band,vidyut_aupadeshika,vidyut_dhatupatha_code,vidyut_match_count,vidyut_ambiguous
118,krand,krand,,cry out,True,4,kradi~,01.0074,1,False
132,kvaṇ,kvaR,,sound,True,3,kvaRa~,01.0518,1,False
217,can,can,,be pleased,True,2,,,0,False
295,tand,tand,,be weary,True,2,,,0,False
389,dhan,Dan,,run,True,2,,,0,False
390,dhanv,Danv,,run,True,3,Davi~,01.0681,1,False
408,dhvan,Dvan,,sound,True,3,Dvana~,01.0928,1,False
414,nand,nand,,rejoice,True,4,wunadi~,01.0070,1,False
439,paṇ,paR,,bargain,True,3,paR,,1,False
489,phaṇ,PaR,,spring,True,1,PaRa~,01.0955,1,False
508,bhaṇ,BaR,,speak,True,3,BaRa~,01.0515,1,False
509,bhan,Ban,,speak,True,2,,,0,False
707,vand,vand,,greet,True,4,,,1,False
807,śran,Sran,,give,False,,,,0,False
862,stan,stan,,thunder,True,3,zwana~,01.0532,1,False
902,svan,svan,,sound,True,3,svana~,01.0932,1,False
240,chand,Cand,,"seem, please",True,3,,,0,False
252,jambh,jamB,,"chew up, crush",False,,,,0,False
290,tañc,taYc,,coagulate,False,,,,0,False
287,taṃs,taMs,,shake,True,2,,,0,False
335,daṃś,daMS,,bite,True,4,,,0,False
335,daṃś,daMS,,bite,True,4,,,0,False
336,daṃs,daMs,,be wondrous,False,,,,0,False
407,dhvaṃs,DvaMs,,scatter,True,4,DvaMs,,1,False
419,naś,naS,2,attain,True,5,Ra\Sa~;naS,04.0091,2,True
444,pan,pan,,admire,True,2,pan,,1,False
494,bandh,banD,,bind,True,5,,,2,False
506,bhañj,BaYj,,break,True,4,,,0,False
510,bhand,Band,,be bright,True,2,,,1,False
510,bhand,Band,,be bright,True,2,,,1,False
546,man,man,,think,True,5,man,,1,False
539,majj,majj,,sink,True,4,wuma\sjo~,06.0151,1,False
544,math,maT,,shake,True,4,maTe~,01.0983,1,False
538,maṃh,maMh,,"be great, be liberal, bestow",False,,mahi~,10.0330,2,False
617,raj,raj,2,color,True,1,,,0,False
622,radh,raD,,be or make subject,True,3,ra\Da~,04.0090,1,False
628,rabh,raB,,take hold,True,3,raBi~\,01.0449,1,False
673,labh,laB,,take,True,5,,,1,False
701,vañc,vaYc,,move crookedly,True,3,vancu~,01.0216,1,False
758,vrad,vrad,,weaken,True,1,,,0,False
764,vlag,vlag,,pursue,False,,,,0,False
766,śaṃs,SaMs,,praise,True,5,Sansu~,01.0829,1,False
766,śaṃs,SaMs,,praise,True,5,Sansu~,01.0829,1,False
809,śrambh,SramB,,trust,False,,,,0,False
821,śvañc,SvaYc,,spread,False,,,,0,False
829,saj,saj,,hang,False,,,,0,False
857,skand,skand,,leap,True,3,ska\ndi~r,01.1134,1,False
858,skambh,skamB,,"prop,",True,3,,,1,False
863,stambh,stamB,,prop,True,4,,,1,False
878,spand,spand,,quiver,True,3,,,1,False
895,syand,syand,,move on,True,3,syandU~\,01.0865,1,False
896,sraṃs,sraMs,,fall,True,4,sraMs,,1,False
900,svaj,svaj,,embrace,True,3,svaj,,1,False
908,han,han,,smite,True,5,han,,1,False
545,mad,mad,,"be exhilarated, exhilarate",True,5,madI~,01.0927;04.0105,2,False
801,ścand,Scand,,shine,False,,,,0,False
249,jan,jan,,"give birth, be born",True,5,jan,,3,False
806,śrath,SraT,,slacken,True,3,,,0,False
4,aṅg,aNg,,move,True,2,agi~;anga,01.0155;10.0474,2,True
5,ac,ac,,bend,True,3,acu~^,01.0999,1,False
7,añj,aYj,,anoint,True,4,,,0,False
20,aś,aS,1,attain,True,5,,,0,False
135,kṣan,kzan,,wound,True,4,,,0,False
195,grath,graT,,tie,False,,graTi~\,01.0036,1,False
83,kan,kan,,"be pleased, enjoy",True,3,kanI~,01.0531,1,False
157,khan,Kan,,dig,True,4,Kanu~^,01.1020,1,False
249,jan,jan,,"give birth, be born",True,5,jan,,3,False
293,tan,tan,1,stretch,True,4,tan,,1,False
493,baṃh,baMh,,make firm,False,,,,0,False
706,van,van,,win,True,4,vana~,01.0533,1,False
831,san,san,,gain,True,4,zaRa~,01.0535,1,False
545,mad,mad,,"be exhilarated, exhilarate",True,5,madI~,01.0927;04.0105,2,False
158,kharj,Karj,,creak,False,,Karja~,01.0261,1,False
171,garj,garj,,roar,True,4,garja~,01.0258,1,False
172,gard,gard,,exult,False,,garda~,01.0059;10.0178,2,False
173,garh,garh,,chide,True,4,garha~;garha~\,01.0723;10.0383,2,True
221,carc,carc,,repeat,True,1,carc;carca~,01.0814,2,True
273,jvar,jvar,,be hot,True,2,jvara~,01.0885,1,False
277,jhar,Jar,,fall,False,,,,0,False
298,tark,tark,,think,False,,tarka~,10.0311,1,False
299,tarj,tarj,,threaten,True,2,tarj,,1,False
332,tvar,tvar,,hasten,True,4,,,0,False
334,tsar,tsar,,approach stealthily,True,2,,,0,False
417,nard,nard,,bellow,True,4,narda~,01.0058,1,False
445,pard,pard,,fart,False,,,,0,False
490,phar,Par,,scatter,False,,,,0,False
511,bharts,Barts,,revile,True,2,Barts;Bartsa~,10.0202,2,True
512,bharv,Barv,,devour,True,2,,,0,False
551,mārg,mArg,,chase,True,3,mArga,10.0108,2,False
833,sarj,sarj,,creak,True,2,,,0,False
904,svar,svar,,sound,True,4,,,0,False
220,car,car,,move,True,5,cara~,01.0640,1,False
222,carv,carv,,chew,True,4,carva~,01.0660,2,False
937,hvṛ,hvf,,be or make crooked,True,3,hvf\,01.1080,1,False
69,ṛ,f,,"go, send",True,3,f\,01.1086,1,False
70,ṛc,fc,,,True,4,fca~,06.0022,1,False
72,ṛj,fj,2,shine,True,3,arja~,01.0256,1,False
73,ṛt,ft,,pursue,True,1,,,0,False
74,ṛd,fd,,"stir, dissolve",True,2,,,0,False
75,ṛdh,fD,,thrive,True,4,fDu~,04.0160,2,False
77,ṛṣ,fz,,"rush, push",True,4,fz;fzI~,06.0007,2,True
18,arh,arh,,deserve,True,5,arha~,01.0841,1,False
106,kṛ,kf,1,make,True,5,kf,,1,False
109,kṛt,kft,1,cut,True,5,kft;kftI~,06.0171,2,True
110,kṛt,kft,2,spin,True,5,kft;kftI~,06.0171,2,True
111,kṛp,kfp,,lament,True,3,kfp;kfpa,10.0408,2,True
112,kṛś,kfS,,be lean,True,2,kfSa~,04.0140,1,False
113,kṛṣ,kfz,,"drag, plough",True,4,kf\za~;kf\za~^,01.1145;06.0006,2,True
192,gṛ,gf,3,wake,True,4,,,0,False
190,gṛ,gf,1,sing,True,4,,,0,False
193,gṛdh,gfD,,be greedy,True,3,gfDu~,04.0161,1,False
208,ghṛ,Gf,,drip,True,2,Gf;Gf\,01.1088;10.0152,2,True
209,ghṛṣ,Gfz,,rub,True,4,Gfzu~,01.0805,1,False
235,cṛt,cft,,bind,True,3,,,0,False
245,chṛd,Cfd,,"spue, eject",False,,,,1,False
266,jṛ,jf,2,sing,True,5,jf,,1,False
267,jṛmbh,jfmB,,gape,True,3,,,0,False
320,tṛd,tfd,,"split, bore",True,3,,,0,False
321,tṛp,tfp,,be pleased,True,4,tf\pa~;tfp;tfpa~,04.0092;06.0028,3,True
322,tṛṣ,tfz,,be thirsty,True,4,tfz,,1,False
323,tṛh,tfh,,crush,True,3,,,0,False
372,dṛ,df,2,heed,True,4,,,0,False
373,dṛp,dfp,,rave,True,3,df\pa~,04.0093,1,False
374,dṛbh,dfB,,bunch,True,2,,,0,False
375,dṛś,dfS,,see,True,5,,,0,False
376,dṛh,dfh,,make firm,True,3,,,0,False
376,dṛh,dfh,,make firm,True,3,,,0,False
409,dhvṛ,Dvf,,injure,True,2,Dvf\,01.1089,1,False
402,dhṛ,Df,,hold,True,4,Df\Y,01.1047,1,False
403,dhṛṣ,Dfz,,dare,True,4,Dfz,,1,False
433,nṛt,nft,,dance,True,4,nftI~,04.0010,1,False
470,pṛ,pf,2,pass,True,5,,,0,False
471,pṛ,pf,3,be busy,True,5,,,0,False
472,pṛc,pfc,,mix,True,3,pfc,,1,False
477,prach,praC,,ask,False,,pra\Ca~,06.0149,1,False
500,bṛh,bfh,1,make big or strong,False,,bfhU~;bfha~,01.0836;06.0074,2,True
500,bṛh,bfh,1,make big or strong,False,,bfhU~;bfha~,01.0836;06.0074,2,True
530,bhṛ,Bf,,bear,True,5,Bf\Y,01.1045,1,False
531,bhṛjj,Bfjj,,roast,True,3,,,0,False
571,mṛ,mf,1,die,True,5,mf,,2,False
574,mṛc,mfc,,injure,True,2,,,0,False
576,mṛj,mfj,,wipe,True,4,mfj,,3,False
579,mṛd,mfd,,"rub, crush",True,5,,,1,False
579,mṛd,mfd,,"rub, crush",True,5,,,1,False
580,mṛdh,mfD,,neglect,True,3,mfDu~^,01.1015,2,False
581,mṛś,mfS,,"touch, feel",True,3,mf\Sa~,06.0161,1,False
500,bṛh,bfh,1,make big or strong,False,,bfhU~;bfha~,01.0836;06.0074,2,True
582,mṛṣ,mfz,,not heed,True,4,mfza~^;mfzu~,01.0804;04.0060;10.0387,3,True
815,śru,Sru,,hear,True,5,,,0,False
740,vṛ,vf,1,cover,True,5,vf\,01.1083,1,False
106,kṛ,kf,1,make,True,5,kf,,1,False
741,vṛ,vf,2,choose,True,5,vf\,01.1083,1,False
742,vṛṃh,vfMh,,roar,False,,,,0,False
743,vṛj,vfj,,twist,True,4,vfj,,1,False
744,vṛt,vft,,turn,True,5,vft,,1,False
745,vṛdh,vfD,,grow,True,5,varDa~;vfDu~\,01.0863;10.0156,2,True
746,vṛṣ,vfz,,rain,True,4,vfzu~,01.0803,1,False
743,vṛj,vfj,,twist,True,4,vfj,,1,False
744,vṛt,vft,,turn,True,5,vft,,1,False
745,vṛdh,vfD,,grow,True,5,varDa~;vfDu~\,01.0863;10.0156,2,True
746,vṛṣ,vfz,,rain,True,4,vfzu~,01.0803,1,False
855,sṛp,sfp,,creep,True,4,sf\px~,01.1138,1,False
870,stṛ,stf,,strew,True,3,,,0,False
871,stṛh,stfh,,"crush,",False,,,,0,False
881,spṛ,spf,,win,True,3,,,0,False
882,spṛdh,spfD,,contend,True,4,,,0,False
883,spṛś,spfS,,touch,True,4,spf\Sa~,06.0158,1,False
884,spṛh,spfh,,be eager,True,3,spfha,10.0410,1,False
894,smṛ,smf,,remember,True,5,smf\,01.0919,1,False
923,hṛ,hf,1,take,True,5,hf\Y,01.1046,1,False
924,hṛ,hf,2,be angry,True,5,hf\Y,01.1046,1,False
925,hṛṣ,hfz,,be excited,True,5,hfza~;hfzu~,01.0806;04.0142,2,True
372,dṛ,df,2,heed,True,4,,,0,False
471,pṛ,pf,3,be busy,True,5,,,0,False
500,bṛh,bfh,1,make big or strong,False,,bfhU~;bfha~,01.0836;06.0074,2,True
743,vṛj,vfj,,twist,True,4,vfj,,1,False
138,kṣar,kzar,,flow,True,4,kzara~,01.0986,1,False
937,hvṛ,hvf,,be or make crooked,True,3,hvf\,01.1080,1,False
107,kṛ,kf,2,scatter,True,5,kf,,1,False
108,kṛ,kf,3,commemorate,True,5,kf,,1,False
190,gṛ,gf,1,sing,True,4,,,0,False
191,gṛ,gf,2,swallow,True,4,,,0,False
220,car,car,,move,True,5,cara~,01.0640,1,False
265,jṛ,jf,1,waste away,True,5,jf,,1,False
319,tṛ,tf,,pass,True,4,,,0,False
371,dṛ,df,1,"pierce, split",True,4,,,0,False
469,pṛ,pf,1,fill,True,5,,,0,False
572,mṛ,mf,2,crush,True,5,mf,,2,False
797,śṛ,Sf,1,crush,True,4,,,0,False
810,śrā,SrA,,boil,False,,SrA,,2,False
813,śrī,SrI,1,mix,True,5,,,0,False
870,stṛ,stf,,strew,True,3,,,0,False
882,spṛdh,spfD,,contend,True,4,,,0,False
892,sphṛ,sPf,,jerk,False,,,,0,False
57,uc,uc,,be pleased,True,3,uca~,04.0135,1,False
286,ḍhauk,QOk,,approach,True,2,QOk,,1,False
392,dhav,Dav,,flow,True,2,Davi~,01.0681,1,False
395,dhāv,DAv,1,run,True,4,DAvu~^,01.0685,1,False
396,dhāv,DAv,2,rinse,True,4,DAvu~^,01.0685,1,False
695,lok,lok,,look,False,,lok;lokf~,10.0307,2,True
696,loc,loc,,"see, consider",False,,loc;locf~,10.0308,2,True
803,ścut,Scut,,drip,True,3,Scuti~r,01.0041,1,False
815,śru,Sru,,hear,True,5,,,0,False
816,śruṣ,Sruz,,hear,True,2,,,0,False
846,su,su,,press out,True,5,,,0,False
849,sū,sU,,"generate, enliven, impel",True,4,zU,06.0144,1,False
848,subh,suB,,smother,False,,,,0,False
859,sku,sku,,tear,False,,,,0,False
869,stubh,stuB,,praise,True,3,,,1,False
877,snu,snu,,distil,True,3,,,0,False
889,sphuṭ,sPuw,,burst,True,4,sPuwa~;sPuwi~r,01.0379;06.0100,2,True
899,sru,sru,,flow,True,4,sru\,01.1090,1,False
919,hu,hu,,sacrifice,True,5,,,0,False
929,hnu,hnu,,hide,True,2,,,0,False
700,vaj,vaj,,be strong,False,,,,0,False
61,ud,ud,,wet,True,4,,,1,False
63,ubh,uB,,confine,True,5,uBa~,06.0044,1,False
740,vṛ,vf,1,cover,True,5,vf\,01.1083,1,False
718,vah,vah,,carry,True,5,va\ha~^,01.1159,1,False
409,dhvṛ,Dvf,,injure,True,2,Dvf\,01.1089,1,False
589,mruc,mruc,,set,True,1,mrucu~,01.0222,1,False
589,mruc,mruc,,set,True,1,mrucu~,01.0222,1,False
718,vah,vah,,carry,True,5,va\ha~^,01.1159,1,False
888,sphā,sPA,,fatten,False,,,,0,False
892,sphṛ,sPf,,jerk,False,,,,0,False
892,sphṛ,sPf,,jerk,False,,,,0,False
937,hvṛ,hvf,,be or make crooked,True,3,hvf\,01.1080,1,False
54,u,u,,proclaim,True,5,u,,1,False
55,ukṣ,ukz,1,sprinkle,True,4,ukza~,01.0745,1,False
57,uc,uc,,be pleased,True,3,uca~,04.0135,1,False
59,ujh,uJ,,forsake,True,3,,,0,False
60,uñch,uYC,,glean,True,2,uYC,,2,False
61,ud,ud,,wet,True,4,,,1,False
62,ubj,ubj,,force,True,3,ubja~,06.0023,1,False
63,ubh,uB,,confine,True,5,uBa~,06.0044,1,False
94,kuc,kuc,,"shrink, curl",False,,kuca~,01.0211;06.0095,2,False
94,kuc,kuc,,"shrink, curl",False,,kuca~,01.0211;06.0095,2,False
96,kuṭṭ,kuww,,"divide, crush",True,2,kuwwa~,10.0034,1,False
98,kuth,kuT,,stink,False,,kuTa~,04.0012,1,False
99,kup,kup,,be angry,True,4,kupa~,04.0146,1,False
100,kuṣ,kuz,,tear,True,2,kuz,,1,False
123,krudh,kruD,,be angry,True,5,kru\Da~,04.0086,1,False
124,kruś,kruS,,cry out,True,4,kru\Sa~,01.0992,1,False
144,kṣu,kzu,,sneeze,True,3,,,0,False
145,kṣud,kzud,,crush,True,3,,,1,False
146,kṣudh,kzuD,,be hungry,True,4,kzu\Da~,04.0087,1,False
147,kṣup,kzup,,be startled,False,,kzup,,1,False
148,kṣubh,kzuB,,quake,True,4,kzuBa~;kzuBa~\,01.0854;04.0154,2,True
149,kṣṇu,kzRu,,whet,True,2,,,0,False
892,sphṛ,sPf,,jerk,False,,,,0,False
163,khud,Kud,,to have sexual intercourse,True,1,,,1,False
180,gu,gu,,sound,False,,gu,,1,False
181,guñj,guYj,,hum,True,2,guji~,01.0231,1,False
182,guṇṭh,guRW,,cover up,True,1,,,0,False
63,ubh,uB,,confine,True,5,uBa~,06.0044,1,False
183,gup,gup,,protect,True,4,,,0,False
315,tul,tul,,"lift, weigh",False,,tul,,1,False
184,guph,guP,,twine,False,,,,0,False
184,guph,guP,,twine,False,,,,0,False
185,gur,gur,,greet,True,3,,,0,False
186,gulph,gulP,,bunch,False,,,,0,False
187,guh,guh,,hide,True,4,guhU~^,01.1043,1,False
205,ghuṭ,Guw,,turn,False,,,,0,False
206,ghuṣ,Guz,,sound,True,3,Guzi~r,01.0741,1,False
229,cud,cud,,impel,True,3,,,0,False
230,cup,cup,,stir,True,2,,,0,False
231,cumb,cumb,,kiss,True,3,,,1,False
232,cur,cur,,steal,True,1,,,0,False
237,cyu,cyu,,"move, stir",True,4,,,0,False
238,cyut,cyut,,drip,True,3,,,0,False
244,chur,Cur,,scatter,True,1,,,0,False
262,juṣ,juz,,enjoy,True,4,juz,,2,False
271,jyut,jyut,,shine,False,,,,0,False
309,tu,tu,,be strong,True,5,,,0,False
311,tuj,tuj,,"urge, thrust",True,3,tuj;tuja~,01.0277,2,True
312,tud,tud,,"push, thrust",True,3,tu\da~^,06.0001,1,False
314,turv,turv,,overcome,False,,,,0,False
315,tul,tul,,"lift, weigh",False,,tul,,1,False
316,tuś,tuS,,drip,True,2,,,0,False
317,tuṣ,tuz,,be content,True,4,tu\za~,04.0081,1,False
328,truṭ,truw,,come to pieces,True,3,,,0,False
365,du,du,,burn,True,3,,,0,False
366,dudh,duD,,stir up,True,2,,,0,False
367,dul,dul,,raise,False,,,,0,False
368,duṣ,duz,,spoil,True,4,du\za~,04.0082,1,False
369,duh,duh,,"milk, derive",True,4,,,2,False
379,dyut,dyut,,shine,True,3,dyut,,1,False
384,dru,dru,,run,True,5,dru\,01.1095,1,False
385,druh,druh,,be hostile,True,4,dru\ha~,04.0094,1,False
400,dhū,DU,,shake,True,4,DU,06.0133,2,False
399,dhukṣ,Dukz,,kindle,False,,,,0,False
429,nu,nu,1,praise,True,5,RU,06.0132,1,False
431,nud,nud,,push,True,4,Ru\da~^,06.0002,1,False
462,puṭ,puw,,scale,True,4,puw;puwa~,06.0094;10.0283,3,True
463,puth,puT,,crush,False,,puTa~,04.0013,1,False
464,puṣ,puz,,thrive,True,4,pu\za~;puza~,01.0797;04.0079,2,True
481,pru,pru,,flow,True,2,pru,,1,False
482,pruth,pruT,,snort,True,2,proTf~^,01.1005,1,False
483,pruṣ,pruz,,sprinkle,True,3,pruz,,2,False
485,plu,plu,,float,True,4,plu,,1,False
486,pluṣ,pluz,,,True,3,pluza~;pluzu~,01.0801;04.0009,2,True
497,budh,buD,,"know, wake",True,4,buDa~;bu\Da~\,01.0994;04.0068,2,True
524,bhuj,Buj,1,bend,True,5,Bu\jo~,06.0153,1,False
525,bhuj,Buj,2,enjoy,True,5,Bu\jo~,06.0153,1,False
564,muc,muc,,release,True,5,mu\cx~^,06.0166,1,False
565,muṭ,muw,,break,False,,,,0,False
566,mud,mud,,be merry,True,4,muda~\,01.0016,1,False
567,muṣ,muz,,steal,True,4,muz;muza~,01.0796,2,True
568,muh,muh,,be crazed,True,5,mu\ha~,04.0095,1,False
589,mruc,mruc,,set,True,1,mrucu~,01.0222,1,False
606,yu,yu,1,unite,True,4,yu,,1,False
607,yu,yu,2,separate,True,4,yu,,1,False
608,yuj,yuj,,join,True,5,,,0,False
609,yudh,yuD,,fight,True,5,yu\Da~\,04.0069,2,False
610,yup,yup,,obstruct,True,2,yupa~,04.0148,1,False
652,ru,ru,1,cry,True,3,ru,,1,False
653,ru,ru,2,break,True,3,ru,,1,False
654,ruc,ruc,,shine,True,4,ruc,,1,False
655,ruj,ruj,,break,True,4,ru\jo~;ruja~,06.0152;10.0335,2,True
656,ruṭh,ruW,,torment,False,,ruWa~,01.0389,1,False
657,rud,rud,,weep,True,4,,,0,False
658,rudh,ruD,1,grow,True,4,,,1,False
659,rudh,ruD,2,obstruct,True,4,,,1,False
660,rup,rup,,"break, pain",True,2,rupa~,04.0149,1,False
661,ruṣ,ruz,,be vexed,True,4,ruza~,01.0789;04.0143;10.0187,3,False
662,ruh,ruh,,ascend,True,4,ru\ha~,01.0995,1,False
687,luñc,luYc,,tear,True,3,lunca~,01.0214,1,False
688,luṭh,luW,1,roll,True,3,luWa~,01.0390;06.0110,3,False
689,luṭh,luW,2,rob,True,3,luWa~,01.0390;06.0110,3,False
690,luḍ,luq,,stir up,True,1,luq;luqa~,01.0352,2,True
689,luṭh,luW,2,rob,True,3,luWa~,01.0390;06.0110,3,False
691,lup,lup,,break,True,3,lu\px~^;lupa~,04.0150;06.0167,2,True
692,lubh,luB,,be lustful,True,4,luBa~,04.0153;06.0025,2,False
693,lul,lul,,be lively,True,3,lul,,1,False
763,vruḍ,vruq,,sink,False,,,,0,False
790,śuc,Suc,,gleam,True,4,I~Suci~^r;Suca~,01.0210;04.0061,2,True
791,śuj,Suj,,swell,True,2,,,0,False
792,śudh,SuD,,purify,True,5,Su\Da~,04.0088,2,False
792,śudh,SuD,,purify,True,5,Su\Da~,04.0088,2,False
792,śudh,SuD,,purify,True,5,Su\Da~,04.0088,2,False
792,śudh,SuD,,purify,True,5,Su\Da~,04.0088,2,False
19,av,av,,favor,True,4,ava~,01.0684,1,False
67,ūh,Uh,1,remove,True,3,Uha~\,01.0735,1,False
68,ūh,Uh,2,consider,True,3,Uha~\,01.0735,1,False
101,kū,kU,,design,False,,,,0,False
102,kūj,kUj,,hum,True,3,kUja~,01.0254,1,False
103,kūḍ,kUq,,burn,False,,kUq,,1,False
104,kūṇ,kUR,,shrink,False,,kUR,,1,False
105,kūrd,kUrd,,"leap, exult",True,2,,,1,False
115,knū,knU,,wet,False,,,,0,False
185,gur,gur,,greet,True,3,,,0,False
188,gūrd,gUrd,,exult,False,,,,0,False
189,gūrdh,gUrD,,exalt,False,,,,1,False
207,ghūrṇ,GUrR,,waver,True,3,GUrR,,1,False
234,cūṣ,cUz,,"draw, suck",True,3,cUza~,01.0767,1,False
263,jū,jU,,be swift,True,3,,,0,False
264,jūrv,jUrv,,consume,True,2,,,0,False
365,du,du,,burn,True,3,,,0,False
363,dīv,dIv,1,play,True,4,,,0,False
386,drū,drU,,hurl,True,1,,,0,False
400,dhū,DU,,shake,True,4,DU,06.0133,2,False
401,dhūrv,DUrv,,injure,True,3,,,0,False
465,pū,pU,,cleanse,True,5,pU,,1,False
466,pūj,pUj,,reverence,False,,pUj;pUja~,10.0144,2,True
467,pūy,pUy,,stink,True,2,pUyI~\,01.0557,1,False
502,brū,brU,,say,True,5,,,0,False
528,bhū,BU,,be,True,5,BU,01.0001,1,False
529,bhūṣ,BUz,,"attend upon, adorn",True,3,BUza~,01.0777,1,False
563,mīv,mIv,,push,False,,mIva~,01.0645,1,False
663,rūṣ,rUz,,strew,False,,rUz;rUza~,01.0772,2,True
694,lū,lU,,cut,True,3,,,0,False
825,ṣṭhīv,zWIv,,spew,True,3,,,0,False
849,sū,sU,,"generate, enliven, impel",True,4,zU,06.0144,1,False
796,śū,SU,,swell,False,,,,0,False
850,sūd,sUd,,put in order,True,3,zUda~,10.0242,2,False
921,hū,hU,,call,False,,,,0,False
851,sūrkṣ,sUrkz,,heed,False,,,,0,False
891,sphūrj,sPUrj,,rumble,True,3,,,0,False
845,sīv,sIv,,sew,True,3,,,0,False
898,srīv,srIv,,fail,False,,,,0,False
922,hūrch,hUrC,,fall away,False,,,,0,False
740,vṛ,vf,1,cover,True,5,vf\,01.1083,1,False
103,kūḍ,kUq,,burn,False,,kUq,,1,False
115,knū,knU,,wet,False,,,,0,False
187,guh,guh,,hide,True,4,guhU~^,01.1043,1,False
222,carv,carv,,chew,True,4,carva~,01.0660,2,False
314,turv,turv,,overcome,False,,,,0,False
368,duṣ,duz,,spoil,True,4,du\za~,04.0082,1,False
429,nu,nu,1,praise,True,5,RU,06.0132,1,False
464,puṣ,puz,,thrive,True,4,pu\za~;puza~,01.0797;04.0079,2,True
570,mūrch,mUrC,,thicken,True,4,,,0,False
570,mūrch,mUrC,,thicken,True,4,,,0,False
567,muṣ,muz,,steal,True,4,muz;muza~,01.0796,2,True
