palsule_root,palsule_ref,row_kind,palsule_only,n_other_sources,whitney_root,mayrhofer_ewa_root,werba_via1_root,boehtlingk_pwg_root
1ūh,10-№216,root_entry,False,3,1ūh,ūh/oh,,ūh
2ūh,10-№217,root_entry,False,2,2ūh,,,2ūh
3ūh,10-№218,root_entry,True,0,,,,
1ṛ,10-№219,root_entry,False,4,ṛ,ṛ/1ar,1ṛ,ṛ
gatiprāpaṇayoḥ,,continuation_or_gloss,False,2,,,,
2ṛ,10-№220,root_entry,False,2,,2ar,2ṛ,
gatau,,continuation_or_gloss,False,2,,,,
3ṛ,10-№221,root_entry,False,2,,3rā,3ṛ,
hiṃsāyām ityeke,,continuation_or_gloss,False,2,,,,
4ṛ,10-№222,root_entry,True,0,,,,
1ṛkṣ,10-№223,root_entry,True,0,,,,
2ṛkṣ,11-№224,root_entry,True,0,,,,
ṛkṣi,11-№225,root_entry,True,0,,,,
ṛc,11-№226,root_entry,False,4,ṛc,ṛc/rac,ṛc,ṛc
stutau,,continuation_or_gloss,False,4,,,,
1ṛch,11-№227,root_entry,True,0,,,,
2ṛch,11-№228,root_entry,True,0,,,,
1ṛj,11-№229,root_entry,False,3,1ṛj,ṛj,ṛj,
2ṛj,11-№230,root_entry,False,2,2ṛj,,2ṛj,
1ṛñj,11-№231,root_entry,True,0,,,,
2ṛñj,11-№232,root_entry,True,0,,,,
ṛṇ,11-№233,root_entry,True,0,,,,
gatau,,continuation_or_gloss,True,0,,,,
ṛt,11-№234,root_entry,False,1,ṛt,,,
ṛd,11-№235,root_entry,False,2,ṛd,,ṛd,
ṛdh,11-№236,root_entry,False,3,ṛdh,ṛdh/ardh,ṛdh,
ṛn,11-№237,root_entry,True,0,,,,
1ṛph,11-№238,root_entry,True,0,,,,
2ṛph,11-№239,root_entry,True,0,,,,
3ṛph,11-№240,root_entry,True,0,,,,
ṛbhukṣ,11-№241,root_entry,True,0,,,,
1ṝmph,11-№242,root_entry,True,0,,,,
2ṛmph,11-№243,root_entry,True,0,,,,
ṛç,11-№244,root_entry,False,1,ṛç,,,
1ṛṣ,11-№245,root_entry,False,3,ṛṣ,ṛṣ/1arṣ,ṛṣ,
2ṛṣ,12-№246,root_entry,False,2,,2arṣ,2ṛṣ,
ṛh,12-№247,root_entry,False,1,,,ṛh,
1ṝ,12-№248,root_entry,False,2,,,1ṝ,ṝ
2ṝ,12-№249,root_entry,True,0,,,,
ḷ,12-№250,root_entry,True,0,,,,
ḹ,12-№251,root_entry,True,0,,,,
e,12-№252,root_entry,False,2,,e,,e
ek,12-№253,root_entry,True,0,,,,
1ej,12-№254,root_entry,False,3,ej,ej,,ej
dīptau,,continuation_or_gloss,False,2,,,,
2ej,12-№255,root_entry,True,0,,,,
kampane,,continuation_or_gloss,True,0,,,,
eṭh,12-№256,root_entry,False,1,,,,eṭh
ca vibādhāyāṃ,,continuation_or_gloss,True,0,,,,
eḍ,12-№257,root_entry,True,0,,,,
edh,12-№258,root_entry,False,3,edh,edh,,edh
vṛddhau,,continuation_or_gloss,False,3,,,,
ev,12-№259,root_entry,True,0,,,,
eṣ,12-№260,root_entry,False,1,,,,eṣ
ai,12-№261,root_entry,False,1,,,,ai
o,12-№262,root_entry,False,2,,o,,o
okh,12-№263,root_entry,False,1,,,,okh
śoṣaṇālamarthyoḥ,,continuation_or_gloss,False,1,,,,
oja,12-№264,root_entry,False,1,,,,oja
oṇ,12-№265,root_entry,False,2,,oṇ,,oṇ
apanayane,,continuation_or_gloss,False,1,,,,
olañj,12-№266,root_entry,True,0,,,,
olaṇḍ,12-№267,root_entry,False,1,,,,olaṇḍ
utkṣepane ityeke,,continuation_or_gloss,False,1,,,,
au,12-№268,root_entry,False,1,,,,au
kaṃs,12-№269,root_entry,False,1,,,,kaṃs
gatiśāsanayoḥ,,continuation_or_gloss,False,1,,,,
kak,12-№270,root_entry,False,2,,kak,,kak
laulye,,continuation_or_gloss,False,2,,,,
1kakk,13-№271,root_entry,False,1,,,,kakk
2kakk,13-№272,root_entry,True,0,,,,
kakkh,13-№273,root_entry,False,1,,,,kakkh
kakṣ,13-№274,root_entry,True,0,,,,
kakh,13-№275,root_entry,False,2,,kakh,,kakh
kag,13-№276,root_entry,False,1,,,,kag
kaṅk,13-№277,root_entry,False,2,,kaṅk,,kaṅk
gatyarthaḥ,,continuation_or_gloss,False,2,,,,
kaṅkh,13-№278,root_entry,True,0,,,,
1kac,13-№279,root_entry,False,1,,,,kac
2kac,13-№280,root_entry,True,0,,,,
1kacch,13-№281,root_entry,False,1,,,,kacch
2kacch,13-№282,root_entry,True,0,,,,
kaj,13-№283,root_entry,False,1,,,,kaj
made ityeke,,continuation_or_gloss,False,1,,,,
kañc,13-№284,root_entry,False,2,,kañc,,kañc
dīptibandhanayoḥ,,continuation_or_gloss,False,1,,,,
1kañj,13-№285,root_entry,True,0,,,,
2kañj,13-№286,root_entry,True,0,,,,
1kaṭ,13-№287,root_entry,False,1,,,,kaṭ
gatau,,continuation_or_gloss,False,1,,,,
2kaṭ,13-№288,root_entry,True,0,,,,
varṣāvaraṇayoḥ,,continuation_or_gloss,True,0,,,,
kaṭṭ,13-№289,root_entry,False,1,,,,kaṭṭ
kaṭh,13-№290,root_entry,False,1,,,,kaṭh
kṛcchrajīvane,,continuation_or_gloss,False,1,,,,
1kaḍ,13-№291,root_entry,False,1,,,,kaḍ
made,,continuation_or_gloss,False,1,,,,
2kaḍ,14-№292,root_entry,True,0,,,,
made,,continuation_or_gloss,True,0,,,,
kaḍamb,14-№293,root_entry,True,0,,,,
kaḍḍ,14-№294,root_entry,False,1,,,,kaḍḍ
kārkaśye,,continuation_or_gloss,True,0,,,,
1kaṇ,14-№295,root_entry,False,1,,,,kaṇ
gatau,,continuation_or_gloss,False,1,,,,
2kaṇ,14-№296,root_entry,True,0,,,,
śabdārthaḥ,,continuation_or_gloss,True,0,,,,
3kaṇ,14-№297,root_entry,True,0,,,,
nimīlane,,continuation_or_gloss,True,0,,,,
1kaṇṭ,14-№298,root_entry,False,1,,,,kaṇṭ
2kaṇṭ,14-№299,root_entry,True,0,,,,
1kaṇṭh,14-№300,root_entry,False,1,,,,kaṇṭh
śoke,,continuation_or_gloss,False,1,,,,
2kaṇṭh,14-№301,root_entry,True,0,,,,
1kaṇḍ,14-№302,root_entry,False,2,,kaṇḍ,,kaṇḍ
made ityeke,,continuation_or_gloss,False,2,,,,
2kaṇḍ,14-№303,root_entry,True,0,,,,
made,,continuation_or_gloss,True,0,,,,
3kaṇḍ,14-№304,root_entry,True,0,,,,
khaṇḍane (bhedane),,continuation_or_gloss,True,0,,,,
1katth,14-№305,root_entry,False,3,katth,katth,,katth
2katth,14-№306,root_entry,True,0,,,,
kattha,14-№307,root_entry,True,0,,,,
katra,14-№308,root_entry,True,0,,,,
śaithilye,,continuation_or_gloss,True,0,,,,
katha,14-№309,root_entry,False,1,kath,,,
kad,14-№310,root_entry,False,2,kad,,,kad
kadhra,14-№311,root_entry,True,0,,,,
1kan,14-№312,root_entry,False,4,kan,kan,1kan,kan
2kan,15-№313,root_entry,True,0,,,,
kantr,15-№314,root_entry,True,0,,,,
kanth,15-№315,root_entry,True,0,,,,
1kand,15-№316,root_entry,False,1,,,,kand
āhvāne rodane ca,,continuation_or_gloss,False,1,,,,
2kand,15-№317,root_entry,True,0,,,,
vaiklavye; vaikalya ityeke,,continuation_or_gloss,True,0,,,,
1kap,15-№318,root_entry,False,1,,,,kap
2kap,15-№319,root_entry,True,0,,,,
kab,15-№320,root_entry,False,1,,,,kab
varṇe,,continuation_or_gloss,False,1,,,,
kam,15-№321,root_entry,False,3,kam,kam,,kam
kāntau (na mit - 1;949),,continuation_or_gloss,False,3,,,,
1kamp,15-№322,root_entry,False,4,kamp,kamp,1kamp,kamp
2kamp,15-№323,root_entry,True,0,,,,
1kamb,15-№324,root_entry,False,1,,,,kamb
2kamb,15-№325,root_entry,True,0,,,,
kambh,15-№326,root_entry,True,0,,,,
1kark,15-№327,root_entry,False,1,,,,kark
2kark,15-№328,root_entry,True,0,,,,
karj,15-№329,root_entry,False,2,,karj,,karj
vyathane,,continuation_or_gloss,False,2,,,,
karṇ,15-№330,root_entry,False,1,,,,karṇ
karṇa,15-№331,root_entry,False,1,,,,karṇa
kart,15-№332,root_entry,False,2,,skart,,kart
kartṛ,15-№333,root_entry,True,0,,,,
kartra,15-№334,root_entry,False,1,,,,kartra
kard,15-№335,root_entry,False,1,,,,kard
kutsite śabde,,continuation_or_gloss,True,0,,,,
karb,16-№336,root_entry,False,1,,,,karb
gatau,,continuation_or_gloss,False,1,,,,
karv,16-№337,root_entry,False,1,,,,karv
darpe,,continuation_or_gloss,True,0,,,,
1kal,16-№338,root_entry,False,4,kal,kal,1kal,kal
śabdasaṅkhyānayoḥ,,continuation_or_gloss,False,4,,,,
2kal,16-№339,root_entry,False,1,,,,2kal
kṣepe,,continuation_or_gloss,False,1,,,,
3kal,16-№340,root_entry,False,1,,,,3kal
kala,16-№341,root_entry,False,1,,,,kala
gatau saṅkhyāne ca,,continuation_or_gloss,False,1,,,,
kalañj,16-№342,root_entry,True,0,,,,
1kall,16-№343,root_entry,False,1,,,,kall
2kall,16-№344,root_entry,True,0,,,,
kalh,16-№345,root_entry,True,0,,,,
1kav,16-№346,root_entry,False,2,,kav/kavi,,kav
2kav,16-№347,root_entry,True,0,,,,
1kaç,16-№348,root_entry,False,2,,,*kaç,kaç
2kaç,16-№349,root_entry,True,0,,,,
3kaç,16-№350,root_entry,True,0,,,,
4kaç,16-№351,root_entry,True,0,,,,
1kaṣ,16-№352,root_entry,False,3,kaṣ,kaṣ,,kaṣ
2kaṣ,16-№353,root_entry,True,0,,,,
3kaṣ,16-№354,root_entry,True,0,,,,
4kaṣ,17-№355,root_entry,True,0,,,,
kaṣt,17-№356,root_entry,True,0,,,,
1kas,17-№357,root_entry,False,4,kas,kas,1kas,kas
gatau,,continuation_or_gloss,False,4,,,,
2kas,17-№358,root_entry,False,1,,,,2kas
gatiśāsanayoḥ ityeke,,continuation_or_gloss,True,0,,,,
kast,17-№359,root_entry,True,0,,,,
kah,17-№360,root_entry,True,0,,,,
kā,17-№361,root_entry,False,4,kā,kā,kā,kā
kāṃs,17-№362,root_entry,False,1,,,,kāṃs
kānks,17-№363,root_entry,False,2,kāṅkṣ,kāṅkṣ,,
kāñc,17-№364,root_entry,False,1,,,,kāñc
dīptibandhanayoḥ,,continuation_or_gloss,False,1,,,,
kāṇḍ,17-№365,root_entry,True,0,,,,
kāla,17-№366,root_entry,False,1,,,,kāla
kāloḍa,17-№367,root_entry,True,0,,,,
kāç,17-№368,root_entry,False,3,kāç,kāç,,kāç
1kās,17-№369,root_entry,False,4,kās,kās,1kās,kās
2kās,17-№370,root_entry,False,1,,,,2kās
ki,17-№371,root_entry,False,1,,,,ki
jñāne,,continuation_or_gloss,True,0,,,,
1kiṭ,17-№372,root_entry,False,1,,,,kiṭ
gatau,,continuation_or_gloss,False,1,,,,
2kiṭ,17-№373,root_entry,True,0,,,,
trāse,,continuation_or_gloss,True,0,,,,
kiṭṭ,17-№374,root_entry,True,0,,,,
kiṇ,17-№375,root_entry,True,0,,,,
1kit,17-№376,root_entry,False,1,,,,kit
nivāse rogāpanayane ca,,continuation_or_gloss,False,1,,,,
2kit,17-№377,root_entry,True,0,,,,
jñāne ca,,continuation_or_gloss,True,0,,,,
