member_slp1	ganas	gana_sutras	crosswalk_sutra_match	corroborated	attested_in_pwg
vimAna	arDarcAdiH	2.4.31	P.2.4.31	1	1
vimAtf	SuBrAdiH	4.1.123			
vimati	kurvAdiH	4.1.151			1
vimukta	vimuktAdiH	5.2.61			1
vinA	svarAdiH	1.1.37	P.1.1.37	1	1
vinada	utsAdiH	4.1.86			1
vinatA	kfSASvAdiH	4.2.80			
vinaya	vinayAdiH	5.4.34	P.5.4.34	1	1
vipAS	AdyAdiH	5.4.44			1
vipASa	SivAdiH|arIhaRAdiH|kuYjAdiH	4.1.112|4.1.98|4.2.80	P.4.2.80	1	1
vipAdikA	jyotsnAdiH	5.2.103			1
vipAta	brAhmaRAdiH	5.1.124	P.5.1.124	1	1
vipaTa	arIhaRAdiH	4.2.80			1
vipad	saMpadAdiH	3.3.108	P.3.3.108	1	1
vipadI	kumBapadyAdiH	5.4.139	P.5.4.139	1	1
vipra	SuBrAdiH	4.1.123			1
vipraSna	CedAdiH	5.1.64	P.5.1.64	1	1
vipracitta	sutaNgamAdiH	4.2.80			1
viprakarza	CedAdiH	5.1.64	P.5.1.64	1	1
viprayoga	CedAdiH	5.1.64	P.5.1.64	1	1
viqaNga	arDarcAdiH	2.4.31	P.2.4.31	1	1
virADaya	brAhmaRAdiH	5.1.124	P.5.1.124	1	1
virAga	CedAdiH	5.1.64			1
virUpAkza	SivAdiH	4.1.112	P.4.1.112	1	1
viraNgaM	CedAdiH	5.1.64			
virata	saNkASAdiH	4.2.80			1
virohita	gargAdiH	4.1.105	P.4.1.105	1	1
visarga	saMtApAdiH	5.1.101			1
visarpa	jyotsnAdiH	5.2.103	P.5.2.103	1	1
vispazwa	vispazwAdiH	6.2.24	P.6.2.24	1	1
visri	SuBrAdiH	4.1.123	P.4.1.123	1	1
vitaRqA	kaTAdiH	4.4.102	P.4.4.102	1	1
viwaNka	arDarcAdiH	2.4.31	P.2.4.31	1	1
viwapa	SivAdiH|arDarcAdiH	2.4.31|4.1.112	P.2.4.31|P.4.1.112	1	1
vizARa	arDarcAdiH	2.4.31	P.2.4.31	1	1
vizAyI	grahyAdiH	3.1.134			
vizRupadI	kumBapadyAdiH	5.4.139			
vizRuvfdDa	bidAdiH	4.1.104			1
viza	gavAdiH	5.1.2			1
vizama	brAhmaRAdiH|gahAdiH|nAvAdiH	2.3.17|4.2.138|5.1.124			1
vizamam	tizWadgupraBftiH	2.1.17			
vizamasTa	brAhmaRAdiH	5.1.124	P.5.1.124	1	1
vizapuwa	yaskAdiH	2.4.63	P.2.4.63	1	1
vizaya	BikzAdiH|SreRyAdiH	2.1.59|4.2.38			1
vizvaksenArjunO	rAjadantAdiH	2.2.31			
vizwa	SuBrAdiH	4.1.123			1
vizwapura	SuBrAdiH	4.1.123	P.4.1.123	1	1
voSri	yaskAdiH	2.4.63			
vrIhI	jyotsnAdiH	5.2.103			
vrIhi	bilvAdiH|tundAdiH	4.3.136|5.2.117			1
vrIhyAdiH	jyotsnAdiH	5.2.103			
vrIqa	KalAdiH	4.2.51			1
vraRa	pacAdiH|tArakAdiH	3.1.134|5.2.36	P.3.1.134	1	1
vrahmadatta	naqAdiH	4.1.99			
vraji	yavAdiH	8.2.9			
vyADi	tArakAdiH	5.2.36			1
vyAGra	vyAGrAdiH	2.1.56	P.2.1.56	1	1
vyAGrapAt	gargAdiH	4.1.105			
vyAkaraRa	parimuKAdiH	4.3.59			1
vyAkfta	prajYAdiH	5.4.38			1
vyAkulita	izwAdiH	5.2.88			
vyAla	mASabdAdiH	4.4.1			1
vyAqa	SORqAdiH	2.1.40	P.2.1.40	1	1
vyAqi	CAtryAdiH|gahAdiH|krOqyAdiH	4.1.80|4.2.138|6.2.86	P.6.2.86	1	1
vyAyAma	balAdiH	5.2.136			1
vyaNga	svAgatAdiH	7.3.7	P.7.3.7	1	1
vyakta	vispazwAdiH	6.2.24			1
vyalkaSa	snAtvyAdiH	7.1.49			1
vyaqa	svAgatAdiH	7.3.7			1
vyatizaNga	kzipakAdiH	7.3.45			1
vyavahAra	svAgatAdiH|vinayAdiH	5.4.34|7.3.7	P.7.3.7	1	1
vyuzwAdiH	mahAnAmnyAdiH	5.1.94			
vyuzwa	mahAnAmnyAdiH	5.1.94			1
vyuzwatrirAtraH	yuktArohyAdiH	6.2.81			
wowa	gOrAdiH	4.1.41	P.4.1.41	1	1
x	cAdiH	1.4.57	P.1.4.57	1	1
yAjaka	yAjakAdiH	2.2.9	P.2.2.9	1	1
yAjyAnuvAkye	kArtakOjapAdiH	6.2.37			
yAmaH	vfzAdiH	6.1.203			
yAna	arDarcAdiH|gOrAdiH	2.4.31|4.1.41	P.2.4.31|P.4.1.41	1	1
yAtAnuyAta	SAkapArTivAdiH	2.1.60			1
yAtf	svasrAdiH	4.1.10			
yAtopayAta	akzadyUtAdiH	4.4.19	P.4.4.19	1	1
yAva	yAvAdiH	5.4.29	P.5.4.29	1	1
yAvat	cAdiH	1.4.57			1
yODaki	cArvAdiH	6.2.160			
yODeya	yODeyAdiH	4.1.178|5.3.117	P.4.1.178	1	1
yODika	cArvAdiH	6.2.160			1
yOtaki	krOqyAdiH	4.1.80	P.4.1.80	1	1
yOvana	arDarcAdiH	2.4.31	P.2.4.31	1	1
yUTa	aSmAdiH|arDarcAdiH|digAdiH|saNkASAdiH	2.4.31|4.2.80|4.3.54	P.2.4.31	1	1
yUpa	apUpAdiH|saNkASAdiH	4.2.80|5.1.4			1
yUza	arDarcAdiH	2.4.31	P.2.4.31	1	1
yaSas	svargAdiH	5.1.111			1
yaTA	cAdiH	1.4.57			1
yad	AdyAdiH|sarvAdiH	1.1.27|5.4.44			1
yadfcCA	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
yajYa	tikAdiH|ukTAdiH	4.1.154|4.2.60			1
yajYadatta	arIhaRAdiH	4.2.80			1
yajYapata	aSvapatyAdiH	4.1.84			
yajYavalka	gargAdiH	4.1.105			1
yajamAna	mahizyAdiH|yuvAdiH	4.4.48|5.1.130	P.4.4.48	1	1
yajuzpAtram	kapilakAdiH	8.2.18			
yakflloma	paladyAdiH	4.2.110	P.4.2.110	1	1
yakfnmedaH	pratyAdiH	2.3.43			
yalopaSca	katryAdiH	4.2.95			
yamala	pakzAdiH	4.2.80			1
yamunda	tikAdiH	4.1.154			1
yaska	yaskAdiH	2.4.63	P.2.4.63	1	1
yat	cAdiH	1.4.57			1
yatra	cAdiH	1.4.57			1
yavAsa	kumudAdiH|palASAdiH|puzkarAdiH	4.2.80|4.3.141|5.2.135	P.5.2.135	1	1
yavAza	prekzAdiH	4.2.80			1
yava	tundAdiH|yavAdiH	5.2.117|8.2.9			1
yavaKada	jyotsnAdiH	5.2.103			1
yavana	kambojAdiH	4.1.175	P.4.1.175	1	1
yavanaH	nandyAdiH	3.1.134			
yavanamuRqa	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
yazwi	bahvAdiH	4.1.45	P.4.1.45	1	1
yoDa	arDarcAdiH|prajYAdiH	2.4.31|5.4.38	P.2.4.31	1	1
yok	svarAdiH	1.1.37	P.1.1.37	1	1
yuDizWira	bAhvAdiH	4.1.96	P.4.1.96	1	1
yuYjAna	gozadAdiH	5.2.62			1
yudDa	balAdiH	5.2.136			1
yuga	daRqAdiH|gavAdiH	5.1.2|5.1.66			1
yugaMDara	naqAdiH	4.1.99			1
yugapat	cAdiH|svarAdiH	1.1.37|1.4.57			
yugavaratrA	KaRqikAdiH	4.2.45			
yugavaratra	KaRqikAdiH	4.2.45	P.4.2.45	1	1
yukara	kfSASvAdiH	4.2.80			
yuktArohI	yuktArohyAdiH	6.2.81			
yukta	kftAdiH	2.1.59			1
yuvAderna	irikAdiH	8.4.6			
yuvAdiH	irikAdiH	8.4.6			
yuvan	irikAdiH|manojYAdiH|yuvAdiH	5.1.130|5.1.133|8.4.6			1
yuvarAja	kASyAdiH	4.2.116			1
yuvati	BikzAdiH	4.2.38			1
yuzmad	sarvAdiH	1.1.27			
zARqaSa	gOrAdiH	4.1.41	P.4.1.41	1	1
zaRqa	gOrAdiH	4.1.41			1
zaqaRqa	DUmAdiH	4.2.127	P.4.2.127	1	1
zaqguRa	caturvedAdiH	5.1.124	P.5.1.124	1	1
zawpadI	kumBapadyAdiH	5.4.139			
zazwi	nizkAdiH	5.1.20			1
zazwika	arDarcAdiH	2.4.31	P.2.4.31	1	1
zoqan	prajYAdiH	5.4.38			
