member_slp1	ganas	gana_sutras	crosswalk_sutra_match	corroborated	attested_in_pwg
satyaNkAra	kurvAdiH	4.1.151			
satyam	cAdiH|svarAdiH	1.1.37|1.4.57			
secana	gOrAdiH	4.1.41	P.4.1.41	1	1
senA	caturvedAdiH|kulAlAdiH	4.3.118|5.1.124			1
setakI	nadyAdiH	4.2.97	P.4.2.97	1	1
sevAnin	suvAstvAdiH	4.2.77			
sevAsI	UryAdiH	1.4.61	P.1.4.61	1	1
seva	pacAdiH	3.1.134	P.3.1.134	1	1
sevakA	kzipakAdiH	7.3.45			
sfjA	BidAdiH	3.3.104			
sfkaRqu	SuBrAdiH	4.1.123	P.4.1.123	1	1
sfpAku	bidAdiH	4.1.104	P.4.1.104	1	1
sfpAwa	gOrAdiH	4.1.41	P.4.1.41	1	1
si	cAdiH	1.4.57	P.1.4.57	1	1
siDma	siDmAdiH	5.2.97			1
siGraka	kowarAdiH	6.3.117			
siMha	vyAGrAdiH	2.1.56	P.2.1.56	1	1
siMhaka	pakzAdiH	4.2.80	P.4.2.80	1	1
siMhakarRa	takzaSilAdiH	4.3.93	P.4.3.93	1	1
siYjASvatTam	rAjadantAdiH	2.2.31			
siYjAsTam	rAjadantAdiH	2.2.31			
sidDagati	BavadAdiH	5.3.14			1
siji	yavAdiH	8.2.9	P.8.2.9	1	1
sikatA	SarkarAdiH	5.3.107			1
sikata	saNkalAdiH	4.2.75			
siktasaMmfzwam	rAjadantAdiH	2.2.31			
sim	cAdiH	1.4.57	P.1.4.57	1	1
sima	sarvAdiH	1.1.27	P.1.1.27	1	1
sinDu	kacCAdiH|sinDvAdiH	4.2.133|4.3.93			1
sinDumitra	kASyAdiH	4.2.116	P.4.2.116	1	1
siriGri	kulAlAdiH	4.3.118			
sirinDra	kulAlAdiH	4.3.118	P.4.3.118	1	1
sita	fSyAdiH	4.2.80			1
skada	SAKAdiH	5.3.103			
skamBa	kuYjAdiH	4.1.98	P.4.1.98	1	1
skanDa	SAKAdiH|SOnakAdiH	4.3.106|5.3.103	P.4.3.106	1	1
skanda	SAKAdiH|kuYjAdiH	4.1.98|5.3.103	P.4.1.98	1	1
skandaviSAKO	daDipayasyAdiH	2.4.14			
sma	cAdiH	1.4.57			1
snAtaka	yAjakAdiH	2.2.9			1
snAtakarAjAnO	rAjadantAdiH	2.2.31			
snAtvAkAlaka	mayUravyaMsakAdiH	2.1.72	P.2.1.72	1	1
snAtvI	snAtvyAdiH	7.1.49			
sneha	arDarcAdiH|rasAdiH|siDmAdiH	2.4.31|5.2.95|5.2.97	P.2.4.31	1	1
so	suKAdiH	3.1.18			1
soQa	suKAdiH	5.2.131			1
somApUzan	vimuktAdiH	5.2.61			
soma	SarAdiH|gOrAdiH	4.1.41|4.3.144	P.4.1.41	1	1
somamitra	kASyAdiH	4.2.116	P.4.2.116	1	1
spandana	palASAdiH	4.3.141	P.4.3.141	1	1
sparSa	rasAdiH	5.2.95			1
srAkzA	mAlAdiH	6.2.88			
srac	gavAdiH	5.1.2			
sruk	saMpadAdiH	3.3.108			
sruva	saMpadAdiH	3.3.108			1
stabaka	tArakAdiH	5.2.36			1
stamBa	SOnakAdiH|naqAdiH	4.1.99|4.3.106	P.4.1.99	1	1
stamba	yAvAdiH	5.4.29			1
stavaka	tArakAdiH	5.2.36			1
stena	arDarcAdiH	2.4.31	P.2.4.31	1	1
strAhopuruzikA	mayUravyaMsakAdiH	2.1.72			
strIkumAram	kArtakOjapAdiH|pratyAdiH	2.3.43|6.2.37			
su	kAzWAdiH|prAdiH	1.4.58|8.1.67			1
suBUta	saNkalAdiH	4.2.75	P.4.2.75	1	1
suBagA	kalyARyAdiH|kroqAdiH|tricakrAdi	4.1.126|4.1.56|6.2.129			
suBaga	udgAtrAdiH	5.1.129			1
suBrAtf	yuvAdiH	5.1.130			
suDAmitra	kASyAdiH	4.2.116	P.4.2.116	1	1
suDAvat	bAhvAdiH	4.1.96			
suDAyuka	upakAdiH	2.4.69	P.2.4.69	1	1
suKa	SivAdiH|kAzWAdiH|kaRqvAdiH|kfSASvAdiH|suKAdiH|tArakAdiH|vetanAdiH	3.1.18|3.1.27|4.1.112|4.2.80|4.4.12|5.2.131|5.2.36|8.1.67	P.4.1.112	1	1
suKaSayana	mASabdAdiH	4.4.1	P.4.4.1	1	1
suKarAtri	mASabdAdiH	4.4.1	P.4.4.1	1	1
suMtagama	sutaNgamAdiH	4.2.80			
suSarman	arIhaRAdiH|bAhvAdiH	4.1.96|4.2.80	P.4.1.96	1	1
sucakza	SuBrAdiH	4.1.123			
sucakzas	SuBrAdiH	4.1.123			1
sudAmana	SuBrAdiH	4.1.123			1
sudakza	saNkalAdiH	4.2.75			1
sudanta	SuBrAdiH	4.1.123	P.4.1.123	1	1
sudatta	saNkalAdiH	4.2.75	P.4.2.75	1	1
sugalA	kroqAdiH	4.1.56			1
suhfd	yuvAdiH	5.1.130			1
suhfdaya	yuvAdiH	5.1.130			1
suhita	caturvedAdiH	5.1.124			1
sukara	kfSASvAdiH	4.2.80			1
sukftya	naqAdiH	4.1.99	P.4.1.99	1	1
sukumAra	manojYAdiH	5.1.133			1
sulABin	gargAdiH	4.1.105	P.4.1.105	1	1
sula	balAdiH	5.2.136	P.5.2.136	1	1
sulohina	gargAdiH	4.1.105			
sumaNgala	saNkalAdiH	4.2.75	P.4.2.75	1	1
sumanas	BfSAdiH|aSvAdiH|naqAdiH	3.1.12|4.1.110|4.1.99			1
sumata	naqAdiH	4.1.99	P.4.1.99	1	1
sumitrA	bAhvAdiH	4.1.96			
sunAman	SuBrAdiH|bAhvAdiH	4.1.123|4.1.96	P.4.1.96	1	1
sundara	gOrAdiH	4.1.41	P.4.1.41	1	1
sunetra	saNkalAdiH	4.2.75	P.4.2.75	1	1
supAman	tikAdiH	4.1.154	P.4.1.154	1	1
supadI	kumBapadyAdiH	5.4.139			
supari	saNkASAdiH	4.2.80	P.4.2.80	1	1
supiNgala	saNkalAdiH	4.2.75	P.4.2.75	1	1
supizWa	upakAdiH	2.4.69			
supizwa	SivAdiH|upakAdiH	2.4.69|4.1.112	P.4.1.112	1	1
surajas	BfSAdiH	3.1.12	P.3.1.12	1	1
surasa	saKyAdiH	4.2.80			1
surasena	saNkASAdiH	4.2.80			
surohikA	SivAdiH	4.1.112	P.4.1.112	1	1
surohitikA	SivAdiH	4.1.112			1
susTAla	BargAdiH	4.1.178			1
susnAtAdiH	mASabdAdiH	4.4.1			
susnAta	mASabdAdiH	4.4.1			1
sustri	yuvAdiH	5.1.130			
suvAstu	suvAstvAdiH	4.2.77	P.4.2.77	1	1
suvarRa	arDarcAdiH|daRqAdiH|tfRAdiH|utkarAdiH|utsAdiH|vimuktAdiH	2.4.31|4.1.86|4.2.80|4.2.90|5.1.66|5.2.61	P.2.4.31	1	1
suvarRaka	pakzAdiH	4.2.80	P.4.2.80	1	1
suvarcala	kfSASvAdiH	4.2.80	P.4.2.80	1	1
suvastu	suvAstvAdiH	4.2.77			
suyujYa	arIhaRAdiH	4.2.80			
suzAmA	suzAmAdiH	8.3.98			
suzWu	suzAmAdiH|svarAdiH|udgAtrAdiH	1.1.37|5.1.129|8.3.98	P.1.1.37	1	1
suzaMDiH	suzAmAdiH	8.3.98			
suzama	gOrAdiH	4.1.41	P.4.1.41	1	1
suzamam	tizWadgupraBftiH	2.1.17			
suzava	gOrAdiH	4.1.41			
suzeDaH	suzAmAdiH	8.3.98			
suzwu	cAdiH	1.4.57			1
svA	tricakrAdi	6.2.129			
svADyAya	kaRAdiH|snAtvyAdiH	7.1.49|7.4.3			1
svAdu	snAtvyAdiH|svargAdiH	5.1.111|7.1.49			1
svAgata	svAgatAdiH	7.3.7	P.7.3.7	1	1
svAhA	UryAdiH|cAdiH	1.4.57|1.4.61	P.1.4.57|P.1.4.61	1	1
svApiSi	rEvatikAdiH	4.3.131	P.4.3.131	1	1
sva	sarvAdiH|snAtvyAdiH	1.1.27|7.1.49	P.1.1.27	1	1
svaDA	UryAdiH|cAdiH|svarAdiH	1.1.37|1.4.57|1.4.61	P.1.1.37|P.1.4.61	1	1
svaDvara	svAgatAdiH	7.3.7	P.7.3.7	1	1
svaNga	svAgatAdiH	7.3.7			1
svadA	gavAdiH	5.1.2			
svagrAma	snAtvyAdiH	7.1.49			1
svalAjina	utkarAdiH	4.2.90			
svalpaka	tikAdiH	4.1.154			1
svana	sutaNgamAdiH	4.2.80			1
svapati	svAgatAdiH	7.3.7			1
svapiti	svAgatAdiH	7.3.7			
svar	snAtvyAdiH|svarAdiH	1.1.37|7.1.49	P.1.1.37	1	1
svarRa	svargAdiH	5.1.111			1
svara	aSvAdiH|arDarcAdiH|snAtvyAdiH	2.4.31|4.1.110|7.1.49	P.2.4.31	1	1
svargAdiByo yadvaktavyaH	svargAdiH	5.1.111			
svasA	tricakrAdi	6.2.129			1
svasf	svasrAdiH	4.1.10			
svasti	snAtvyAdiH|svarAdiH	1.1.37|7.1.49	P.1.1.37	1	1
svastivAcana	svargAdiH	5.1.111	P.5.1.111	1	1
svayam	svarAdiH	1.1.37	P.1.1.37	1	1
syahat	anuSatikAdiH	7.3.20			
tARqava	arDarcAdiH	2.4.31	P.2.4.31	1	1
tAjak	cAdiH	1.4.57			1
tAlAdDanuzi	tAlAdiH	4.3.152			
tAlI	UryAdiH	1.4.61			
tAlu	yAvAdiH	5.4.29			1
tAmra	varRadfQAdiH	5.1.123			1
tAmraparRI	varaRAdiH	4.2.82			
tApasI	SAkapArTivAdiH	2.1.60			
tArakA	tArakAdiH	5.2.36			
tArkzyAyaRa	EzukAryAdiH	4.2.54	P.4.2.54	1	1
tAvat	cAdiH	1.4.57			
tAyaH	vfzAdiH	6.1.203			
tEla	gOrAdiH	6.2.194			1
tElapIta	AhitAgnyAdiH	2.2.37	P.2.2.37	1	1
tEtila	tikAdiH	4.1.154			1
tEza	gOrAdiH	6.2.194			1
tIkzRa	aSvAdiH	4.1.110	P.4.1.110	1	1
tIrTa	CedAdiH|DUmAdiH|SuRqikAdiH|arDarcAdiH|mahAnAmnyAdiH|saNkASAdiH	2.4.31|4.2.127|4.2.80|4.3.76|5.1.64|5.1.94	P.2.4.31	1	1
tIvra	KalAdiH	4.2.51			1
tIvradAru	rajatAdiH	4.3.154	P.4.3.154	1	1
tOlvali	tOlvalyAdiH	2.4.61	P.2.4.61	1	1
tUsta	cUrRAdiH	6.2.134	P.6.2.134	1	1
tUzRIm	svarAdiH	1.1.37	P.1.1.37	1	1
taRqa	gargAdiH	4.1.105	P.4.1.105	1	1
taRqaka	arDarcAdiH	2.4.31	P.2.4.31	1	1
taRqavataRqAH	kArtakOjapAdiH	6.2.37			
taRqula	apUpAdiH|arDarcAdiH	2.4.31|5.1.4	P.2.4.31	1	1
taRqulakiRvam	rAjadantAdiH	2.2.31			
taTA	cAdiH	1.4.57			1
taTAhi	cAdiH|svarAdiH	1.1.37|1.4.57			
tad	AdyAdiH|sarvAdiH	1.1.27|5.4.44			1
tadarTa	caturvedAdiH	5.1.124			1
tadrAjAccARaH	pElAdiH	2.4.59			
tadrAja	pElAdiH	2.4.59			1
tagara	kisarAdiH	4.4.53			1
takra	kzipakAdiH	7.3.45			1
takzaSilA	maDvAdiH|takzaSilAdiH|varaRAdiH	4.2.82|4.2.86|4.3.93	P.4.2.82|P.4.3.93	1	1
takzan	SivAdiH|gOrAdiH|kurvAdiH|pIlvAdiH	4.1.112|4.1.151|4.1.41|6.3.121	P.4.1.41	1	1
tala	SOnakAdiH	4.3.106	P.4.3.106	1	1
talpa	uYCAdiH	6.1.160			1
talukza	gargAdiH	4.1.105	P.4.1.105	1	1
taluna	gOrAdiH|utsAdiH	4.1.41|4.1.86	P.4.1.41|P.4.1.86	1	1
tamAla	arDarcAdiH|puzkarAdiH|saKyAdiH	2.4.31|4.2.80|5.2.135	P.2.4.31	1	1
tamap	tasilAdiH	6.3.35			
tamaskARqaH	kapilakAdiH	8.2.18			
tamisnA	jyotsnAdiH	5.2.103			
tanTI	UryAdiH	1.4.61	P.1.4.61	1	1
tanUnapAt	vanaspatyAdiH	6.2.140	P.6.2.140	1	1
tanayA	tricakrAdi	6.2.129			
tantas	kaRqvAdiH	3.1.27			
tantu	gargAdiH	4.1.105	P.4.1.105	1	1
tantvagra	gahAdiH	4.2.138	P.4.2.138	1	1
