anchor_type	anchor_id	anchor_key_slp1	target_locus	link_type	source_dataset	match_method	confidence	evidence_count	date
whitney-sec	whitney-sec:802-806		subject:sanskritgrammar:perfect_participle	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:818-823		subject:sanskritgrammar:pluperfect	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:824-827		subject:sanskritgrammar:aor_class	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:828-846		subject:sanskritgrammar:aor_root	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:847-855		subject:sanskritgrammar:aor_a	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:856-873		subject:sanskritgrammar:aor_redup	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:878-897		subject:sanskritgrammar:aor_s	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:898-911		subject:sanskritgrammar:aor_is	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:912-915		subject:sanskritgrammar:aor_sis	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:916-920		subject:sanskritgrammar:aor_sa	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:921-926		subject:sanskritgrammar:precative	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:843		subject:sanskritgrammar:passive_aorist	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:931-940		subject:sanskritgrammar:s_future	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:941		subject:sanskritgrammar:conditional	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:942-949		subject:sanskritgrammar:periphrastic_future	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:939		subject:sanskritgrammar:future_participle	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:952-958		subject:sanskritgrammar:ppp	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:959-960		subject:sanskritgrammar:past_active_participle	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:961-966		subject:sanskritgrammar:gerundive	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:968-979		subject:sanskritgrammar:infinitive	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:989-994		subject:sanskritgrammar:gerund	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:995		subject:sanskritgrammar:adverbial_gerund	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:998-999		subject:sanskritgrammar:passive_secondary	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:1000-1025		subject:sanskritgrammar:intensive	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:1026-1040		subject:sanskritgrammar:desiderative	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:1041-1052		subject:sanskritgrammar:causative	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:1053-1068		subject:sanskritgrammar:denominative	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:1070-1073		subject:sanskritgrammar:periphrastic_perfect	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
whitney-sec	whitney-sec:1076-1095		subject:sanskritgrammar:verb_compounds	thematic	SanskritGrammar/SubjectConcordance/catalog.mdx	curated	0.97		07-07-2026
