k1	also_in_pw_same_source
jawAwaNka	1
jayASraya	
jayantIpurI	1
jayapatra	
jetArAma	
jfmBAvant	1
jiGAMsIyaMs	1
jidaPa	
jinaBadrasUri	1
jinaBaktisUri	1
jinalABasUri	1
jinapratimAsTApanaviDi	1
jinarAjasUri	1
jivAjiva	
jomati	
juhUvant	1
juhu	
jurijARa	
jutuma	
jvalArAsaBakAmaya	
jvalant	1
jvalin	
jvalitar	1
jvarahantar	
jyEzWasAman	1
jyotIrUpasvayaMBU	1
jyotIrata	1
jyotirvIja	
jyotizparASara	1
jyotizprakASa	1
kAMdiSIBU	
kANgula	
kANkola	
kARakaRWa	
kARqakuzku	
kARqasaMDi	1
kASamarda	
kAcUka	
kAcasaMBava	1
kAdambarIvIja	
kAkajambu	1
kAkzIvant	1
kAlAkAlacakra	1
kAlAsya	
kAlAya	
kAlISa	1
kAlIvidyA	
kAlaGaRwayoga	1
kAlaSivi	
kAlacarita	1
kAlajit	1
kAlakAraRika	1
kAlakUwaNkawa	1
kAlakuYca	
kAlamADavIya	1
kAlataraMga	1
kAlatattvavivecana	1
kAlavalana	1
kAlawi	1
kAlikAKya	1
kAlippa	
kAlohati	
kAmAKyatantra	1
kAmAlu	1
kAmarU	
kAmarUpIya	
kAmavant	1
kAmayitar	1
kAmpIlaka	
kAntAy	1
kAntotpAqA	
kArIkardamAyana	
kArIrAjAyaki	
kArRAwa	1
kArRacCidraka	1
kArakadIpaka	1
kArakavyAKyA	1
kArakavyUha	1
kAravatIra	1
kArdantika	1
kArowin	1
kArtaveSa	
kArttikIya	1
kAryakartar	1
kAsIrAma	
kAsfkAyana	
kAvaruka	1
kAvyAlaMkArasUtra	
kAvyacOra	1
kAvyakartar	1
kAvyapradIya	
kAyenetivivaraRa	1
kEvalaya	
kIramARa	
kORqavAyuti	
kOkkuwIbarha	
kOmoda	1
kOnaKIya	1
kOrasrava	1
kUlaBaNga	1
kUlakaza	
kUpAy	1
kUpada	
kUrcatA	1
kUrmanAqI	1
kUwagranWa	
kaRIyaMs	1
kaRwakIPala	1
kaRwakIdruma	1
kaRwapatra	
kaSyapagrIvA	
kaYjARa	
kacaNgana	
kadiladruma	
kahAha	
kakKawapatraka	
kakudruma	1
kakummant	
kakvalla	1
kakzAvant	
kalaMjaya	
kalahatTadeSa	1
