L_id	k1	hom	verdict	mw_realcite	corpus_hit	also_in_pw_same_source	pwg_text_sibling	n_kosa	present_in	novel_kosa	pwg_cited_sources	src_category
5271	amoGasidDa		pwg-unique	0		0	0	0			BURN	scholarly_journal_technical
5290	ambalagacCanAyakaguru		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
5303	ambikeyaka		pwg-unique	0		1	0	0	pw		JAṬĀDH|ŚKDR	kosa_nighantu_not_digitised
5344	ambUkar		pwg-unique	0		0	1	0			AK|H	kosa_nighantu_not_digitised
5531	ayovatsa		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
5541	aragvaDa		pwg-unique	0		1	0	0	pw		AK|ŚKDR	kosa_nighantu_not_digitised
5855	arjanaDvaja		pwg-unique	0		0	0	0			H|TRIK	kosa_nighantu_not_digitised
5991	arDaSana		pwg-unique	0		1	0	0	pw		ŚABDAR|ŚKDR	kosa_nighantu_not_digitised
5995	arDasAra		pwg-unique	0		1	0	0	pw		TRIK	kosa_nighantu_not_digitised
6081	arhayoSri		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
6108	alaMkartar		pwg-unique	0		1	0	0	pw		AK	kosa_nighantu_not_digitised
6163	alikulasaMkula		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
6230	allama		pwg-unique	0		1	1	0	pw		Verz	ms_catalogue_propernoun
6232	allAqa		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
6283	avagalBa		pwg-unique	0		0	0	0			ebend	scholarly_journal_technical
6285	avagAda		pwg-unique	0		1	0	0	pw		HALĀY|ŚKDR	kosa_nighantu_not_digitised
6404	avaDyASva		pwg-unique	0		1	0	0	pw		Ind	scholarly_journal_technical
6504	avaravarRaka		pwg-unique	0		1	0	0	pw		ŚABDAR|ŚKDR	kosa_nighantu_not_digitised
6513	avarikA		pwg-unique	0		1	0	0	pw		ŚKDR	kosa_nighantu_not_digitised
6966	aSmajatuka		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
7003	aSrapa		pwg-unique	0		0	0	0			AK	kosa_nighantu_not_digitised
7136	aSvavAhaka		pwg-unique	0		0	0	0			MED	kosa_nighantu_not_digitised
7241	azwAracakravant		pwg-unique	0		1	0	0	pw		TRIK	kosa_nighantu_not_digitised
7299	asadaDyetar		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
7402	asipatraka		pwg-unique	0		0	0	0			H|TRIK	kosa_nighantu_not_digitised
7418	asukzaRa		pwg-unique	0		1	0	0	pw		AK	kosa_nighantu_not_digitised
7427	asumant		pwg-unique	0		1	1	0	pw		H	kosa_nighantu_not_digitised
7444	asurkzaRa		pwg-unique	0		1	0	0	pw		AK	kosa_nighantu_not_digitised
7493	astarkzaRa		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
7504	astimant		pwg-unique	0		1	1	0	pw		H	kosa_nighantu_not_digitised
7522	asTalA		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
7564	asmanta		pwg-unique	0		0	0	0			ŚKDR	kosa_nighantu_not_digitised
7620	ahaMkAravant		pwg-unique	0		1	0	0	pw		AK	kosa_nighantu_not_digitised
7681	ahikoza		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
7701	ahiPeRa		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
7774	AkaraRa		pwg-unique	0		1	0	0	pw		AK	kosa_nighantu_not_digitised
8030	ANgAraka		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
8087	AcCAka		pwg-unique	0		0	0	0			WILS	kosa_nighantu_not_digitised
8160	AjyaBAsa		pwg-unique	0		0	0	0			WILS	kosa_nighantu_not_digitised
8234	Atapatraka		pwg-unique	0		1	0	0	pw		ŚABDAR|ŚKDR	kosa_nighantu_not_digitised
8337	AtmarAmayogendra		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
8373	ATarvaRIya		pwg-unique	0		0	0	0			Ind	scholarly_journal_technical
8378	AdamaKAna		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
8480	Adezwar		pwg-unique	0		1	1	0	pw		AK|H	kosa_nighantu_not_digitised
8506	ADArmika		pwg-unique	0		1	0	0	pw		TRIK	kosa_nighantu_not_digitised
8581	AnandarAma		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
8598	Anayuga		pwg-unique	0		1	0	0	pw		TRIK	kosa_nighantu_not_digitised
8701	Andolay		pwg-unique	0		1	0	0	pw		ŚKDR	kosa_nighantu_not_digitised
8725	ApatAlikA		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
8755	ApAjiBawwa		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
8771	ApiSAyana		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
8971	AmodAyana		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
9185	AruRika		pwg-unique	0		0	0	0			Ind|Verz	ms_catalogue_propernoun
9236	ArgbaDa		pwg-unique	0		0	0	0			ŚABDAC|ŚKDR	kosa_nighantu_not_digitised
9259	ArtaboDa		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
9403	Alindaka		pwg-unique	0		1	0	0	pw		ŚABDAR|ŚKDR	kosa_nighantu_not_digitised
9427	Aloha		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
9538	ASaMsitar		pwg-unique	0		1	1	0	pw		AK|H	kosa_nighantu_not_digitised
9575	ASitar		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
9899	AhitTa		pwg-unique	0		1	0	0	pw		AK	kosa_nighantu_not_digitised
9901	AhInika		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
9991	icCAvant		pwg-unique	0		1	0	0	pw		AK	kosa_nighantu_not_digitised
10069	idaMkAryA		pwg-unique	0		0	0	0			ŚABDAC|ŚKDR	kosa_nighantu_not_digitised
10865	uttaNga		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
10980	uttAnapatraka		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
11030	utpatitar		pwg-unique	0		1	0	0	pw		AK|H	kosa_nighantu_not_digitised
11244	udagranTi		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
11325	udIcyavftta		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
11427	udDavabrAhmaRa		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
11449	udbAhulaka		pwg-unique	0		1	0	0	pw		H|MED	kosa_nighantu_not_digitised
11461	udBija		pwg-unique	0		1	0	0	pw		AK|ŚKDR	kosa_nighantu_not_digitised
11587	unmattaveSa		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
11605	unmAdavant		pwg-unique	0		1	1	0	pw		AK	kosa_nighantu_not_digitised
11778	upataptar		pwg-unique	0		1	0	0	pw		AK	kosa_nighantu_not_digitised
11944	upamAtar		pwg-unique	0		1	0	0	pw		AK|H|ŚKDR	kosa_nighantu_not_digitised
11973	upayicArika		pwg-unique	0		0	0	0			BURN	scholarly_journal_technical
12201	upasTAtar		pwg-unique	0		1	1	0	pw		ŚABDAM|ŚKDR	kosa_nighantu_not_digitised
12318	upAsakadaSa		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
12382	uBayasaMBava		pwg-unique	0		1	0	0	pw		WILS	kosa_nighantu_not_digitised
12412	uraka		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
12441	urasvant		pwg-unique	0		1	0	0	pw		AK|H	kosa_nighantu_not_digitised
12504	urRanABa		pwg-unique	0		0	0	0			ŚABDAR|ŚKDR	kosa_nighantu_not_digitised
12702	Uawa		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
12843	UrDvIkar		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
12860	UrvyaNga		pwg-unique	0		1	0	0	pw		HĀR|WILSON	kosa_nighantu_not_digitised
12872	Uzavant		pwg-unique	0		1	0	0	pw		AK|TRIK	kosa_nighantu_not_digitised
12874	UzRa		pwg-unique	0		1	0	0	pw		AK	kosa_nighantu_not_digitised
12909	fkzanemi		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
13073	ftuvid		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
13177	fzyaketana		pwg-unique	0		0	0	0			AK	kosa_nighantu_not_digitised
13597	ezyant		pwg-unique	0		1	0	0	pw		H|TRIK	kosa_nighantu_not_digitised
13649	Eqamfda		pwg-unique	0		0	0	0			Ind	scholarly_journal_technical
13656	ERqineya		pwg-unique	0		0	0	0			Ind	scholarly_journal_technical
13676	Endrapramada		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
13725	Elavfnda		pwg-unique	0		0	0	0			Ind	scholarly_journal_technical
13743	EzIkihasta		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
13759	okUlaka		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
13926	OdaguRya		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
13952	Odahi		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
14030	OparEDika		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
14068	Opeya		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
14148	adDaboDeya		pwg-unique	0		0	0	0			Ind	scholarly_journal_technical
14211	kakzAvant		pwg-unique	0		0	0	0			WILSON|ŚKDR	kosa_nighantu_not_digitised
14406	kawunizplAva		pwg-unique	0		0	0	0			RĀJAN|WILSON|ŚKDR	kosa_nighantu_not_digitised
14419	kawuvArtAkI		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
14485	kaRIyaMs		pwg-unique	0		1	0	0	pw		AK|H	kosa_nighantu_not_digitised
14695	kanakadaRqaka		pwg-unique	0		1	0	0	pw		TRIK|WILS|ŚKDR	kosa_nighantu_not_digitised
14751	kandaka		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
14878	katitTAsya		pwg-unique	0		0	0	0			TRIK	kosa_nighantu_not_digitised
14895	kapilakrAkzA		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
14896	kadiladruma		pwg-unique	0		0	0	0			ŚABDAC|ŚKDR	kosa_nighantu_not_digitised
15117	karaRIsutA		pwg-unique	0		1	0	0	pw		WILS	kosa_nighantu_not_digitised
15133	karapatravant		pwg-unique	0		0	0	0			ŚABDAC|ŚKDR	kosa_nighantu_not_digitised
15337	karRaMDAriRI		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
15396	karRAdeSa		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
15470	karparIka		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
15550	karmavaSin		pwg-unique	0		1	0	0	pw		VYUTP	kosa_nighantu_not_digitised
15557	karmaSudDa		pwg-unique	0		0	0	0			H|WILS	kosa_nighantu_not_digitised
15722	kaliNgaqI		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
15801	kalyARavant		pwg-unique	0		1	1	0	pw		TRIK	kosa_nighantu_not_digitised
15859	kaviYjuka		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
15860	kavitar		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
15961	kahAha		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
16129	kAcasaMBava		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
16205	kARqakuzku		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
16224	kARqasaMDi		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
16309	kAntotpAqA		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
16438	kAmayitar		pwg-unique	0		1	0	0	pw		AK|H	kosa_nighantu_not_digitised
16509	kAmpIlaka		pwg-unique	0		0	0	0			RATNAM|ŚKDR	kosa_nighantu_not_digitised
16602	kArIkardamAyana		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
16604	kArIrAjAyaki		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
16637	kArRacCidraka		pwg-unique	0		1	0	0	pw		WILS	kosa_nighantu_not_digitised
16646	kArtaveSa		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
16737	kARakaRWa		pwg-unique	0		0	0	0			H|MED|TRIK|WILS|ŚKDR	kosa_nighantu_not_digitised
16751	kAlakuYca		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
16756	kAlakUwaNkawa		pwg-unique	0		1	0	0	pw		WILS	kosa_nighantu_not_digitised
16846	kAlavalana		pwg-unique	0		1	0	0	pw		TRIK	kosa_nighantu_not_digitised
16858	kAlaSivi		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
16948	kAlohati		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
16961	kAvaruka		pwg-unique	0		1	0	0	pw		WILS	kosa_nighantu_not_digitised
17000	kASamarda		pwg-unique	0		0	0	0			AK|ŚKDR	kosa_nighantu_not_digitised
17117	kAsIrAma		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
17122	kAsfkAyana		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
17185	kiYcanaka		pwg-unique	0		0	0	0			VYUTP	kosa_nighantu_not_digitised
17243	kiMpaca		pwg-unique	0		1	0	0	pw		AK|ŚKDR	kosa_nighantu_not_digitised
17244	kiMpacAna		pwg-unique	0		1	0	0	pw		AK|H	kosa_nighantu_not_digitised
17252	kiMBarA		pwg-unique	0		1	0	0	pw		ŚABDAC|ŚKDR	kosa_nighantu_not_digitised
17269	kitArArjunIya		pwg-unique	0		0	0	0			Verz|Z	ms_catalogue_propernoun
17455	kukzitaki		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
17596	kuquhuYcI		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
17807	kuveriRa		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
17915	kumBavIjaka		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
17925	kumBinIvIja		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
17953	kuraMgama		pwg-unique	0		0	0	0			TRIK	kosa_nighantu_not_digitised
17971	kurAla		pwg-unique	0		1	0	0	pw		H|WILSON	kosa_nighantu_not_digitised
18010	kuruvilvaka		pwg-unique	0		0	0	0			RATNAM|ŚKDR	kosa_nighantu_not_digitised
18027	kurvant		pwg-unique	0		1	0	0	pw		MED|ŚKDR	kosa_nighantu_not_digitised
18055	kuladuhitar		pwg-unique	0		1	0	0	pw		BURN	scholarly_journal_technical
18217	kuvAhula		pwg-unique	0		0	0	0			ŚABDAC|ŚKDR	kosa_nighantu_not_digitised
18233	kuvra		pwg-unique	0		0	0	0			WILS	kosa_nighantu_not_digitised
18316	kuzWahantar		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
18348	kusumay		pwg-unique	0		1	0	0	pw		WILS	kosa_nighantu_not_digitised
18349	kusumavant		pwg-unique	0		1	0	0	pw		WILS	kosa_nighantu_not_digitised
18365	kusumitalatAvellitA		pwg-unique	0		1	0	0	pw		COLEBR	scholarly_journal_technical
18435	kUwagranWa		pwg-unique	0		0	0	0			Z	scholarly_journal_technical
18556	kfkalASa		pwg-unique	0		0	0	0			Ind|TRIK	kosa_nighantu_not_digitised
18928	kfzRavarvaraka		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
18959	kfzRasvasar		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
19143	keSavarDinI		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
19223	kEvalaya		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
19282	kowikarRa		pwg-unique	0		1	0	0	pw		BURN	scholarly_journal_technical
19300	kowwamallika		pwg-unique	0		1	0	0	pw		BURN	scholarly_journal_technical
19307	koqAyana		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
19334	kopavant		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
19373	koluha		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
19499	kORqavAyuti		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
19586	kOrasrava		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
19941	kroWin		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
19953	kroRakavarRa		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
19966	krolAyana		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
20003	krOzwika		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
20128	kzatriRa		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
20173	kzamitar		pwg-unique	0		1	0	0	pw		AK|H	kosa_nighantu_not_digitised
20203	kzarapatrA		pwg-unique	0		0	0	0			WILSON	kosa_nighantu_not_digitised
20479	kzudrapatra		pwg-unique	0		0	0	0			HĀR|RĀJAN|ŚKDR	kosa_nighantu_not_digitised
20609	kzetrasaMBava		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
20610	kzetrasaMBUta		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
20884	KaRqapatra		pwg-unique	0		0	0	0			WILS	kosa_nighantu_not_digitised
20981	KaradUpaRa		pwg-unique	0		0	0	0			ŚABDAC|ŚKDR	kosa_nighantu_not_digitised
20989	Karapatraka		pwg-unique	0		0	0	0			ŚABDAC|ŚKDR	kosa_nighantu_not_digitised
21078	KallAtaka		pwg-unique	0		1	0	0	pw		BURN	scholarly_journal_technical
21098	Kazya		pwg-unique	0		0	0	0			MED	kosa_nighantu_not_digitised
21103	KasaMBavA		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
21235	KuttIrya		pwg-unique	0		0	0	0			Ind|Verz	ms_catalogue_propernoun
21322	gagaRagaYja		pwg-unique	0		0	0	0			VYUTP	kosa_nighantu_not_digitised
21326	gagaRapuzpa		pwg-unique	0		0	0	0			WILS	kosa_nighantu_not_digitised
21331	gagaRasparSana		pwg-unique	0		0	0	0			WILS	kosa_nighantu_not_digitised
21332	gagaRANganA		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
21978	garBapAtin		pwg-unique	0		1	0	0	pw		JAṬĀDH|ŚKDR	kosa_nighantu_not_digitised
22419	giripriya		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
22451	girIyaka		pwg-unique	0		1	0	0	pw		H	kosa_nighantu_not_digitised
22639	guRTa		pwg-unique	0		0	0	0			RATNAM|ŚKDR	kosa_nighantu_not_digitised
22640	guRTaka		pwg-unique	0		0	0	0			RATNAM|ŚKDR	kosa_nighantu_not_digitised
22873	gfhakartar		pwg-unique	0		1	1	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
22958	gfhItar		pwg-unique	0		1	0	0	pw		AK	kosa_nighantu_not_digitised
23077	goRika		pwg-unique	0		0	0	0			BURN	scholarly_journal_technical
23101	gotrapravara		pwg-unique	0		0	0	0			Ind|Verz	ms_catalogue_propernoun
23134	goDas		pwg-unique	0		1	0	0	pw		Ind|ebend	scholarly_journal_technical
23149	goDUmasaMBava		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
23192	gopAwavika		pwg-unique	0		1	0	0	pw		WILS	kosa_nighantu_not_digitised
23248	gobAlin		pwg-unique	0		0	0	0			VYUTP	kosa_nighantu_not_digitised
23295	goyIcandra		pwg-unique	0		1	0	0	pw		COLEBR	scholarly_journal_technical
23397	govyADila		pwg-unique	0		1	0	0	pw		Verz	ms_catalogue_propernoun
23456	gosaMga		pwg-unique	0		1	0	0	pw		ŚKDR	kosa_nighantu_not_digitised
23461	gosaMBavA		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
23468	gosila		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
23481	gohanna		pwg-unique	0		0	0	0			HĀR|RATNAM|ŚKDR	kosa_nighantu_not_digitised
23512	gOtamasaMBavA		pwg-unique	0		1	0	0	pw		RĀJAN|ŚKDR	kosa_nighantu_not_digitised
23562	gOrANgirasa		pwg-unique	0		0	0	0			Ind	scholarly_journal_technical
23628	granTakartar		pwg-unique	0		1	0	0	pw		WILS|ŚKDR	kosa_nighantu_not_digitised
23837	grIzmaja		pwg-unique	0		0	0	0			ŚABDAC|ŚKDR	kosa_nighantu_not_digitised
23840	grIzmaBava		pwg-unique	0		0	0	0			RATNAM	kosa_nighantu_not_digitised
23843	grIzmodBava		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
23862	glAtar		pwg-unique	0		1	0	0	pw		ŚKDR	kosa_nighantu_not_digitised
23969	Ganavarga		pwg-unique	0		0	0	0			COLEBR	scholarly_journal_technical
24036	Garz	1	pwg-unique	0		1	1	0	pw		ŚKDR	kosa_nighantu_not_digitised
24319	cakrabAlaDi		pwg-unique	0		0	0	0			H	kosa_nighantu_not_digitised
24354	cakraSatapatra		pwg-unique	0		0	0	0			VYUTP	kosa_nighantu_not_digitised
24423	caNkrAyaRa		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
24442	caYcumant		pwg-unique	0		1	0	0	pw		H|HĀR	kosa_nighantu_not_digitised
24713	candrakavant		pwg-unique	0		1	0	0	pw		WILS	kosa_nighantu_not_digitised
24800	candrasaMBava		pwg-unique	0		1	0	0	pw		WILS|ŚABDAC|ŚKDR	kosa_nighantu_not_digitised
24888	campakolva		pwg-unique	0		1	0	0	pw		TRIK|WILS|ŚKDR	kosa_nighantu_not_digitised
24970	carcAy		pwg-unique	0		1	0	0	pw		Ind	scholarly_journal_technical
24980	carpawi		pwg-unique	0		0	0	0			Verz	ms_catalogue_propernoun
25061	calapatra		pwg-unique	0		0	0	0			RĀJAN|ŚKDR	kosa_nighantu_not_digitised
25081	cazwAna		pwg-unique	0		0	0	0			Z	scholarly_journal_technical
25202	cAmy		pwg-unique	0		0	0	0			WILS|ŚKDR	kosa_nighantu_not_digitised
25212	cArakARqa		pwg-unique	0		1	0	0	pw		WILS	kosa_nighantu_not_digitised
25534	citrikA		pwg-unique	0		0	0	0			ŚABDAR|ŚKDR	kosa_nighantu_not_digitised
25555	cinta		pwg-unique	0		0	0	0			AK	kosa_nighantu_not_digitised
25566	cintAvant		pwg-unique	0		1	0	0	pw		WILS	kosa_nighantu_not_digitised
