id,lesson,deva,iast,verdict,confidence,n_tokens,n_chars,top_containment,top_ref,top_cite,top_text
buhler-XIV-332,XIV,श्वश्र्वाः कोपाच्छोचतः स्नुषे,śvaśrvāḥ kopācchocataḥ snuṣe,invented,medium,3,26,0.333,"Atharvaveda (Śaunaka) AVŚ, 14, 1",DCS sent_id 640694,nanānduḥ samrājñy edhi samrājñy uta śvaśrvāḥ
buhler-XIV-333,XIV,वध्वाः स्निह्यत्यृषिः,vadhvāḥ snihyatyṛṣiḥ,invented,medium,2,19,0.441,"Bṛhatkathāślokasaṃgraha BKŚS, 22",DCS sent_id 528205,tatrālambitavān vadhvāḥ sphuraccāmīkaraṃ karam
buhler-XIV-334,XIV,पाठस्याभ्यासाय शिष्यावागच्छतामिति गुरोराज्ञा,pāṭhasyābhyāsāya śiṣyāvāgacchatāmiti gurorājñā,invented,medium,3,44,0.322,"Dhanurveda DhanV, 1",DCS sent_id 476982,yācitavyā gurorājñā bāṇasyākarṣaṇaṃ prati
buhler-XIV-335,XIV,जुह्वाग्नौ घृतं प्रास्यानि,juhvāgnau ghṛtaṃ prāsyāni,invented,medium,3,23,0.201,"Abhinavacintāmaṇi ACint, 1",DCS sent_id 506195,ghṛtaṃ gate māsi sujīrṇam āste māsadvaye jīryati māṃsam eva ca
buhler-XIV-336,XIV,हे वधु वाप्या जलमानय,he vadhu vāpyā jalamānaya,invented,medium,4,22,0.267,"Bhāgavatapurāṇa BhāgPur, 4, 6",DCS sent_id 93170,vaidūryakṛtasopānā vāpya utpalamālinīḥ
buhler-XIV-337,XIV,जुह्वां घृतं तिष्ठति,juhvāṃ ghṛtaṃ tiṣṭhati,invented,medium,3,20,0.694,"Śatapathabrāhmaṇa ŚBM, 3, 8, 3",DCS sent_id 496222,ghṛtaṃ ghṛtapāvānaḥ pibata vasāṃ vasāpāvānaḥ pibatāntarikṣasya havir asi svāhety etena vaiśvadevena yajuṣā juhoti vaiśvadevaṃ vā antarikṣaṃ tad yad enenemāḥ prajāḥ prāṇatyaś codānatyaś cāntarikṣam anucaranti tena vaiśvadevaṃ vaṣaṭkṛte juhoti yāni juhvām avadānāni bhavanti
buhler-XIV-338,XIV,भ्रुवोरधस्तान्नेत्रे वर्तेते,bhruvoradhastānnetre vartete,invented,medium,2,27,0.459,"Mahābhārata MBh, 7, 87",DCS sent_id 247868,priye hi tava vartete bhrātarau kṛṣṇapāṇḍavau
buhler-XV-341,XV,दुर्जनस्य च सर्पस्य वरं सर्पो न दुर्जनः,durjanasya ca sarpasya varaṃ sarpo na durjanaḥ,quotation,high,7,40,1.0,"2857) VṚDDHA-CĀṆ. 3, 4.",IS Saying 2857,durjanasya ca sarpasya varaṃ sarpo na durjanaḥ |/sarpo daṃśati kālena durjanastu pade pade ||
buhler-XV-342,XV,सर्पो दंशति कालेन दुर्जनस्तु पदे पदे,sarpo daṃśati kālena durjanastu pade pade,quotation,high,6,36,1.0,"2857) VṚDDHA-CĀṆ. 3, 4.",IS Saying 2857,durjanasya ca sarpasya varaṃ sarpo na durjanaḥ |/sarpo daṃśati kālena durjanastu pade pade ||
buhler-XV-343,XV,आचार्यं लभस्व प्रायश्चित्तं समाचरेति पापं द्विजातय आदिशन्ति,ācāryaṃ labhasva prāyaścittaṃ samācareti pāpaṃ dvijātaya ādiśanti,invented,medium,7,59,0.201,"Manusmṛti ManuS, 11",DCS sent_id 82936,śaktiṃ cāvekṣya pāpaṃ ca prāyaścittaṃ prakalpayet
buhler-XV-344,XV,काव्यानि रचयाम कीर्तिं विन्दाम नृपतीनाश्रयामहै श्रियं लभामहा इति कवयो वदन्ति,kāvyāni racayāma kīrtiṃ vindāma nṛpatīnāśrayāmahai śriyaṃ labhāmahā iti kavayo vadanti,invented,medium,10,77,0.166,"Bhāgavatapurāṇa BhāgPur, 2, 4",DCS sent_id 89175,vadanti caitat kavayo yathārucaṃ sa me mukundo bhagavān prasīdatām
buhler-XV-345,XV,स्वसुर्गृहे कन्ये न्यवसताम्,svasurgṛhe kanye nyavasatām,invented,medium,3,25,0.277,"Agnipurāṇa AgniPur, 5",DCS sent_id 483968,kanye dve upayemāte janakena supūjitaḥ
buhler-XV-346,XV,नृपे रक्षितरि सुखेन प्रजा वसन्ति,nṛpe rakṣitari sukhena prajā vasanti,invented,medium,5,32,0.331,GRETIL kavya: daNDin · dazakumAracarita,GRETIL sa_daNDin-dazakumAracarita,"atha so 'pyācacakṣe-""deva, mayāpi paribhramatā vindhyāṭavyāṃ ko 'pi kumāraḥ kṣudhā tṛṣā ca kliśyannakleśārhaḥ kvacitkūpābhyāśe 'ṣṭavarṣadeśīyo dṛṣṭaḥ / sa ca trāsagadgadamagadat-""mahābhāga, kliṣṭasya me kriyatāmārya, sāhāyyakam / asya me prāṇāpahāriṇīṃ pipāsāṃ pratikartumudakamudañcanniha kūpe ko 'pi niṣkalo mamaikaśaraṇabhūtaḥ patitaḥ / tamalamasmi nāhamuddhartum, / iti athāhamabhyetya vratatyā kayāpi vṛddhamuttārya, taṃ ca bālaṃ vaṃśanālīmukoddhṛtābhiradbhiḥ phalaiśca pañcapaiḥ śarakṣepocchritasya lakucavṛkṣasya śikharātpāṣāṇapātitaiḥ prātyānītaprāṇavṛttimāpādya, tarutalaniṣaṇṇastaṃ jarantamabravam-""tāta, ka eṣa bālaḥ, ko vā bhavānan, kathaṃ ceyamāpadāpannā' iti / so 'śrugadgadamagadat-""śrūyatāṃ mahābhāga vidarbho nāma janapadaḥ tasminbhojavaṃśabhūṣaṇam, aṃśāvatāra iva dharmasya, atisattvaḥ, satyavādī, vadānyaḥ, vinītaḥ, ninetā prajānām, rañjitabhṛtyaḥ, kīrtimān, udagraḥ, buddhimūrtibhyāmutthānaśīlaḥ, śāstrapramāṇakaḥ, śakyabhavyakalpārambhī, saṃbhāvayitā budān prabhāvayitā sevakān, udbhāvayitā bandhūn, nyagbhāvayitā śatrūn, asaṃbaddhapralāpeṣvadattakarṇaḥ, kadācidapyavitṛṣṇo guṇeṣu, atinadīṣṇaḥ kalāsu, nediṣṭo dharmārthasaṃhitāsu, svalpe 'pi sukṛte sutarāṃ pratyupakartā, pratyavekṣitā kośavāhanayoḥ, yatnena parīkṣitā sarvādhyakṣāṇām, ṣāḍguṇyopayoganipuṇaḥ manumārgeṇa praṇetā cāturvarṇyasya, puṇyaślokaḥ, puṇyavarmā nāmāsīt / sa puṇyaiḥ karmabhiḥ prāṇya puruṣāyuṣam, punarapuṇyena prājānāmagaṇyatāmareṣu / tadanantaramanantavarmā nāma tadāyatiravanimadhyatiṣṭhat / sa sarvaguṇaiḥ samṛddho 'pi daivāddaṇḍhanītyāṃ nātyādṛto 'bhūt / tamekadā rahasi vasurakṣito nāma mantrivṛddhaḥ piturasya bahumataḥ pragalbhavāgabhāṣata-""tāta, sarvaivātmasaṃpadabhijanātprabhṛtyanyūnaivātrabhavati lakṣyate / buddhiśca nisargapaṭvī, kalāsu nṛtyagītādiṣu citreṣu ca kāvyavistareṣu prāptavistarā tavetarebhyaḥ prativiśiṣyate / tathāpyasāvapratipadyātmasaṃskāramarthaśāstreṣu, anagnisaṃśodhitena hemajātirnātibhāti buddhiḥ / buddhihīno hi bhūbhṛdatyucchrito 'pi parairadhyāruhyamāṇamātmānaṃ na cetayate / na ca śaktaḥ sādhyaṃ sādhanaṃ vā vibhjya vartitum / ayathāvṛttaśca karmasu pratihanyamānaḥ svaiḥ paraiśca paribhūyate / na cāvajñātasyājñā prabhavati prajānāṃ yogakṣemārādhanāya / atikrāntaśāsanāśca prajā yatkiñcanavādinyo yatākathañcidvartinyaḥ sarvāḥ sthitīḥ saṃkireyuḥ nirmaryādaśca loko lokādito 'mutaśca svāminamātmānaṃ ca bhraṃśayeta / āgamadīpadṛṣṭena khalvadhvanā sukhena vartate lokayātrā / divyaṃ hi cakṣurbhūtabhavadbhaviṣyatsu vyavahitaviprakṛṣṭādiṣu ca viṣayeṣu śāstraṃ nāmāpratihatavṛtti / tena hīnaḥ satorapyāyataviśālayorlocanayorandha eva janturarthadarśaneṣvasāmarthyāt' ato vihāya bāhmavidyāsvabhiṣaṅgamāgamaya daṇḍanītiṃ kulavidyām / tadarthānuṣṭhānana cāvarjitaśaktisiddhiraskhalitaśāsanaḥ śādhi ciramudadhimekhalāmurvīm iti / etadākarṇya sthāna eva gurubhiranuśiṣṭham / tathā kriyate' ityantaḥpuramaviśat / tāṃ ca vārtāṃ pārthivena pramadāsaṃnidhau prasaṅgenodīritāmupaniśamya samīpopaviṣṭaścittānuvṛttikuśalaḥ prasādavitto gītanṛtyavādyādiṣvabāhmo bāhmanārīparāyaṇaḥ paṭurayantritamukho bahubhaṅgiviśāradaḥ paramarmānveṣaṇaparaḥ parihāsayitā parivādaruciḥ paiśunyapaṇḍhitaḥ sacivamaṇḍalādapyutkocahārī sakaladurnayopādhyāyaḥ kāmatantrakarṇadhāraḥ kumārasevako vihārabhadro nāma smitapūrvaṃ vyajñapayat-""deva, daivānugraheṇa yadi kaścidbhājanaṃ bhavati vibhūteḥ, tamakasmāduccāvacairupapralobhanaiḥ kadarthayantaḥ svārthaṃ sādhayanti śiraḥ, baddhvā da--bhiḥ, ajinenācchādya, navanītenopalipya, anaśanaṃ ca śāyayitvā, sarvasvaṃ svīkariṣyanti / tebhyo 'pi ghoratarāḥ pāṣaṇḍhinaḥ putradāraśarīrajīvitānyapi mocayanti / yadi kaścitpaṭujātīyo nāsyai mṛgatṛṣṇikāyai hastagataṃ tyaktumicchet / tamanye parivāryāhuḥ--""ekāmapi kākiṇīṃ kārṣāpaṇalakṣamāpādayema, śastrādṛte sarvaśatrun ghātayem, ekaśarīriṇamapi martyaṃ cakravartinaṃ vidadhīmahi, yadyasmaduddiṣṭena mārgeṇācaryate' iti / sa punarimānpratyāha-""ko 'sau mārgaḥ' iti / punarime bruvate-""nanu catasro rājavidyāstrayī vārtānvīkṣikī daṇḍanītiriti / tāsu tisrastrayīvārtānvīkṣikyo mahatyo mandaphalāśca, tāstāvadāsatām / adhīṣva tāvadṛṇḍanītim / iyamidānīmācāryaviṣṇuguptena mauryārthe ṣaḍūbhiḥ ślokasahasraiḥ saṃkṣiptā / saiveyamadhītya samyaganuṣṭhīyamānā yathoktakarmakṣamā' iti / sa ""tathā' ityadhīte / śṛṇoti ca / tatraiva jarāṃ gacchati / tattu kila śāstraṃ śāstrāntarānubandhi / sarvameva vāṅmayamaviditvā na tattvato 'dhigaṃsyate / bhavatu kālena bahunālpena vā tadarthādhigatiḥ / adhigataśāstreṇa cādāveva putradāramapi na viśvāsyam / ātmakṛkṣerapi kṛte taṇḍulairiyadbhiriyānodanaḥ saṃpadyate / iyata odanasya pākāyetāvadindhanaṃ paryāptamiti mānonmānapūrvakaṃ deyam / utthitena ca rājñā kṣālitākṣālite mukhe muṣṭimardhamuṣṭiṃ vābhyantarīkṛtya kṛtsnamāyavyayajātamahnaḥ prathame 'ṣṭame vā bhāge śrotavyam / śṛṇvata evāsya dviguṇamapaharanti te 'dhyakṣadhūrtāścatvāriṃśataṃ cākyopadiṣṭānāharaṇopāyānsahasradhātmabuddhyaiva te vikalpayitāraḥ / dvitīye 'nyonyaṃ vivadamānānāṃ janānāmākrośāddahyamānakarṇaḥ kaṣṭaṃ jīvatiḥ tatrāri prāḍvivākādayaḥ svecchayā jayaparaujayā vidadhānāḥ pāpenākīrtyā ca bhartāramātmanaścārthairyojayanti / tṛtīye snātuṃ ca labhate / bhuktasya yāvadandhaḥpariṇaāmastāvadasya viṣabhayaṃ na śāmyatyeva / caturthe hiraṇyapratihāya hastaṃ prasārayannevottiṣṭhati /"
buhler-XV-347,XV,धर्माय देवान्यजावहा अर्थाय कीर्तये च सभासु पण्डितैः सह विवदावहा इति ब्राह्मणस्य पुत्रयोर्निश्चयः,dharmāya devānyajāvahā arthāya kīrtaye ca sabhāsu paṇḍitaiḥ saha vivadāvahā iti brāhmaṇasya putrayorniścayaḥ,invented,medium,12,97,0.184,GRETIL kavya: azvaghoSa · saundarAnanda · edmatsunami,GRETIL sa_azvaghoSa-saundarAnanda-edmatsunami,āgamair buddhim āhikṣad dharmāya na tu kīrtaye // saund_2.20 //
buhler-XV-348,XV,मुक्तय ईश्वरः सृष्टेः कर्ता मनुष्यैर्भक्त्या सेव्यताम्,muktaya īśvaraḥ sṛṣṭeḥ kartā manuṣyairbhaktyā sevyatām,invented,medium,6,49,0.292,"Mahābhārata MBh, 12, 327",DCS sent_id 301533,kriyatāṃ madvacaḥ śiṣyāḥ sevyatāṃ harir īśvaraḥ
buhler-XV-349,XV,नृपतयः प्रजानां रक्षितारो दुर्जनानां च शास्तारो वर्तन्ताम्,nṛpatayaḥ prajānāṃ rakṣitāro durjanānāṃ ca śāstāro vartantām,invented,medium,7,54,0.213,"Avadānaśataka AvŚat, 9",DCS sent_id 642513,tataḥ saptame divase vistīrṇāvakāśe pṛthivīpradeśe 'nekeṣu prāṇiśatasahasreṣu saṃnipatiteṣu gaganatale cānekeṣu devatāsahasreṣu saṃnipatiteṣu gomayamaṇḍalake kﾱpte sarvagandhamālyeṣūpahṛteṣu pūrvataraṃ tīrthikopāsakena satyopayācanaṃ kṛtam yena satyena pūraṇaprabhṛtayaḥ ṣaṭ śāstāro loke śreṣṭhāḥ anena satyenemāni puṣpāṇi ayaṃ ca dhūpaḥ idaṃ ca pānīyaṃ tān upagacchantv iti
buhler-XV-350,XV,शास्त्रस्य कर्त्रे पाणिनये नमः,śāstrasya kartre pāṇinaye namaḥ,invented,medium,4,28,0.396,"Skandapurāṇa SkPur, 9",DCS sent_id 105648,namo narasya kartre ca sthitikartre namaḥ sadā
buhler-XV-351,XV,लोकस्य स्रष्टृभ्यो वसूनां दातृभ्यो देवेभ्यो नमो नमः,lokasya sraṣṭṛbhyo vasūnāṃ dātṛbhyo devebhyo namo namaḥ,invented,medium,7,49,0.307,"Śāṅkhāyanaśrautasūtra ŚāṅkhŚS, 6, 2",DCS sent_id 742384,bhūḥ prapadye bhuvaḥ prapadye svaḥ prapadye bhūr bhuvaḥ svaḥ prapadya oṃ prapadye vācamṛcaṃ prapadye mano yajuḥ prapadye sāma prāṇaṃ prapadye cakṣuḥ śrotraṃ prapadye namo devebhyo namo devatābhyo namo mahate devāya namo gandharvāpsarobhyo namaḥ sarpadevajanebhyo namo bhūtāya namo bhaviṣyate namaḥ pitṛbhyaḥ pratinamaskārebhyo vo 'pi namaḥ
buhler-XVI-358,XVI,गौर्गौः कामदुघा सम्यक् प्रयुक्ता स्मर्यते बुधैः,gaurgauḥ kāmadughā samyak prayuktā smaryate budhaiḥ,quotation,high,6,46,0.778,"Kāvyādarśa KāvĀ, 1",DCS sent_id 354699,gaur gauḥ kāmadughā samyak prayuktā smaryate budhaiḥ
buhler-XVI-359,XVI,दुष्प्रयुक्ता पुनर्गाेत्वं प्रयोक्तुः सैव शंसति,duṣprayuktā punargāेtvaṃ prayoktuḥ saiva śaṃsati,invented,medium,5,43,0.752,"Kāvyādarśa KāvĀ, 1",DCS sent_id 354700,duṣprayuktā punar gotvaṃ prayoktuḥ saiva śaṃsati
buhler-XVI-360,XVI,भर्तारं भर्तुश्च पितरं मातरं च पत्नी देवानिव पूजयेत्,bhartāraṃ bhartuśca pitaraṃ mātaraṃ ca patnī devāniva pūjayet,invented,medium,8,54,0.376,"3821) MBH. 13, 1474.",IS Saying 3821,naitā jānanti pitaraṃ na kulaṃ na ca mātaram |/na bhrātṝnna ca bhartāraṃ na ca putrānna devarān ||
buhler-XVI-361,XVI,गा रक्षेद्गवां रक्षणेन पुण्यं भवतीति द्विजातयो मन्यन्ते,gā rakṣedgavāṃ rakṣaṇena puṇyaṃ bhavatīti dvijātayo manyante,invented,medium,7,54,0.231,"Baudhāyanaśrautasūtra BaudhŚS, 18, 11",DCS sent_id 673532,varṣiṣṭham iva hy etad ahar manyante varṣiṣṭhaḥ samānānāṃ bhavatīti brāhmaṇam
buhler-XVI-362,XVI,यदा प्रयागमागच्छेव तदा पित्रे पत्त्रं लिखेव,yadā prayāgamāgaccheva tadā pitre pattraṃ likheva,invented,medium,6,44,0.272,"3895. (1688.) Wenn der Strauch Karīra/(Capparis aphylla Roxb.) keine Blätter/hat, ist dies die Schuld des Frühlings?/Und wenn am Tage die Eule nicht sieht,/ist dies die Schuld der Sonne? Wenn/keine Tropfen in den Schnabel des/Cātaka fallen, ist dies Schuld der/Wolke? Wer vermag das abzuwaschen, was/das Schicksal uns vorher auf die Stirn/geschrieben hat?",IS Saying 3895,pattraṃ naiva yadā karīraviṭape doṣe vasantasya kiṃ/nolūko 'pyavalokate yadi divā sūryasya kiṃ dūṣaṇam |/dhārā naiva patanti cātakamukhe meghasya kiṃ dūṣaṇaṃ/yatpūrvaṃ vidhinā lalāṭalikhitaṃ tanmārjituṃ kaḥ kṣamaḥ ||
buhler-XVI-363,XVI,पितृभ्यो मासे मासे श्राद्धं यच्छेयुः,pitṛbhyo māse māse śrāddhaṃ yaccheyuḥ,invented,medium,5,33,0.438,"Bhāradvājagṛhyasūtra BhārGS, 2, 17",DCS sent_id 435499,śvo bhūte pitṛbhyo māṃsaśeṣeṇa māsiśrāddhasyāvṛtā śrāddhaṃ karoti
buhler-XVI-364,XVI,ग्राममद्य गच्छेतमिति मातरौ पुत्रावभाषेताम्,grāmamadya gacchetamiti mātarau putrāvabhāṣetām,invented,medium,4,44,0.214,"Bhāgavatapurāṇa BhāgPur, 4, 9",DCS sent_id 93645,nanāma mātarau śīrṣṇā satkṛtaḥ sajjanāgraṇīḥ
buhler-XVI-365,XVI,गोः क्षीरेण शिशवो मोदन्ताम्,goḥ kṣīreṇa śiśavo modantām,invented,medium,4,24,0.286,"Bṛhatkathāślokasaṃgraha BKŚS, 19",DCS sent_id 526564,na satkārakhalīkāram arhanti śiśavo guroḥ
buhler-XVI-366,XVI,गामतिथये पचेमेत्यृषिर्भार्यामवदत्,gāmatithaye pacemetyṛṣirbhāryāmavadat,invented,medium,2,36,,,,
buhler-XVI-367,XVI,दुहितरं पितरौ रक्षेतां स्वसारं भ्रातरो मातॄः पुत्राश्च रक्षेयुः,duhitaraṃ pitarau rakṣetāṃ svasāraṃ bhrātaro mātṝḥ putrāśca rakṣeyuḥ,invented,medium,8,61,0.224,"Kūrmapurāṇa KūPur, 2, 32",DCS sent_id 460226,gatvā duhitaraṃ vipraḥ svasāraṃ vā snuṣāmapi
buhler-XVI-368,XVI,यदि शास्त्रमभ्यस्येयं तदा गुरवस्तुष्येयुः,yadi śāstramabhyasyeyaṃ tadā guravastuṣyeyuḥ,invented,medium,4,41,0.269,"Bodhicaryāvatāra BoCA, 9",DCS sent_id 99654,śabdajñānaṃ yadi tadā śabdo gṛhyeta sarvadā
buhler-XVI-369,XVI,हे स्वसः पित्रोर्गृहे तिष्ठेः,he svasaḥ pitrorgṛhe tiṣṭheḥ,invented,medium,4,25,0.216,"Amaruśataka AmaruŚ, 1",DCS sent_id 103025,dṛṣṭā kopavidhāyi maṇḍanamidaṃ prātaściraṃ preyaso līlātāmarasodare mṛgadṛśaḥ śvāsāḥ samāptiṃ gatāḥ
buhler-XVI-370,XVI,बाहुभ्यां नदीं न तरेत्,bāhubhyāṃ nadīṃ na taret,invented,medium,4,21,1.0,"Mahābhārata MBh, 12, 138",DCS sent_id 286318,na śuṣkavairaṃ kurvīta na bāhubhyāṃ nadīṃ taret
buhler-XVI-371,XVI,हे शिशवः पितॄन्सेवध्वं भ्रातॄणां स्निह्यत,he śiśavaḥ pitṝnsevadhvaṃ bhrātṝṇāṃ snihyata,invented,medium,5,40,0.202,"Atharvaveda (Śaunaka) AVŚ, 12, 3",DCS sent_id 640035,sarvāṃs tāṁ upa pātre hvayethāṃ nābhiṃ jānānāḥ śiśavaḥ samāyān
buhler-XVII-385,XVII,नाभिनन्देत मरणं नाभिनन्देत जीवितम्,nābhinandeta maraṇaṃ nābhinandeta jīvitam,quotation,high,4,38,1.0,"Kūrmapurāṇa KūPur, 2, 28",DCS sent_id 459753,nābhinandeta maraṇaṃ nābhinandeta jīvitam
buhler-XVII-386,XVII,कालमेव प्रतीक्षेत निदेशं भृतको यथा,kālameva pratīkṣeta nideśaṃ bhṛtako yathā,quotation,high,5,37,1.0,"Kūrmapurāṇa KūPur, 2, 28",DCS sent_id 459754,kālameva pratīkṣeta nideśaṃ bhṛtako yathā
buhler-XVII-387,XVII,ग्रामण्यां स्तेनाः शरानमुञ्चन्,grāmaṇyāṃ stenāḥ śarānamuñcan,invented,medium,3,27,0.342,"Kātyāyanaśrautasūtra KātyŚS, 20, 1",DCS sent_id 699457_1,sūta grāmaṇyām tṛtīyāyāḥ
buhler-XVII-388,XVII,यदि नरः श्रुतेः स्मृतेश्च विधीननुतिष्ठेयुस्तदा साधुभिः शस्येरन्,yadi naraḥ śruteḥ smṛteśca vidhīnanutiṣṭheyustadā sādhubhiḥ śasyeran,invented,medium,7,62,0.208,"Pāraskaragṛhyasūtra PārGS, 1, 3",DCS sent_id 423896_1,yadi api asakṛt saṃvatsarasya somena yajeta kṛta arghyāḥ eva enam yājayeyuḥ na a kṛta arghyāḥ iti śruteḥ
buhler-XVII-389,XVII,वैश्याः कृष्या वाणिज्येन पाशुपाल्येन वा वर्तेरन्,vaiśyāḥ kṛṣyā vāṇijyena pāśupālyena vā varteran,invented,medium,6,42,0.242,"Taittirīyopaniṣad TU, 1, 11",DCS sent_id 629156_1,atha yadi te karma vicikitsā vā vṛtta vicikitsā vā syāt ye tatra brāhmaṇāḥ saṃmarśinaḥ yuktāḥ āyuktāḥ alūkṣāḥ dharma kāmāḥ syuḥ yathā te tatra varteran tathā tatra vartethāḥ
buhler-XVII-390,XVII,संदिग्धां नावं नारोहेत्,saṃdigdhāṃ nāvaṃ nārohet,invented,medium,3,22,0.572,"Gautamadharmasūtra GautDhS, 1, 9",DCS sent_id 489898,na saṃdigdhāṃ nāvam adhirohet
buhler-XVII-391,XVII,यदि गङ्गाया वारिणि म्रियेध्वं तदा स्वर्गं लभेध्वम्,yadi gaṅgāyā vāriṇi mriyedhvaṃ tadā svargaṃ labhedhvam,invented,medium,7,48,0.237,GRETIL kavya: bANa · harSacarita,GRETIL sa_bANa-harSacarita,ekadā tu śailād udayād udayamāno vimale vāriṇi varuṇâlayasya saṃkrāntam ātmanaḥ pratibimbaṃ vilokitavān. dṛṣṭvā ca tat tadā sa-smaraḥ sasmāra smera-gaṇḍa-sthalasya tārāyā mukhasya. mumoca sa manmathônmāda-mathyamāna-mānasaḥ svaḥ-stho 'py a-svasthaḥ sthavīyasaḥ pīta-sakala-kumuda-vana-prabhā-pravāha-dhavala-tārābhyām iva locanābhyāṃ bāṣpa-vāri-bindūn. atha patatas tān udanvati samastān evâcemur muktā-śuktayaḥ. tāsāṃ ca kukṣi-koṣeṣu muktā-phalī-bhūtān avāpa tān katham api rasā-tala-nivāsī vāsukir nāma viṣamucām īśaḥ. sa ca tair muktā-phalaiḥ pātāla-tale 'pi tārā-gaṇam iva darśayadbhir ekâvalīm akalpayat. cakāra ca mandākinîti nāma tasyāḥ. sā ca bhagavataḥ somasya sarvāsām oṣadhīnām adhipateḥ prabhāvād aty-anta-viṣaghnī himâ-mṛtasaṃbhavatvāc ca sparśena sarva-sattva-saṃtāpa-hāriṇī babhūva. yataḥ sa tāṃ sarvadā viṣôṣma-śāntaye vāsukiḥ paryadhatta.
buhler-XVII-392,XVII,जामातरः श्वशुरान्स्नुषाः श्वश्रूर्दुहितरश्च पुत्राश्च पितरौ सेवेरन्,jāmātaraḥ śvaśurānsnuṣāḥ śvaśrūrduhitaraśca putrāśca pitarau severan,invented,medium,6,63,0.175,"Garuḍapurāṇa GarPur, 1, 5",DCS sent_id 540549,tasya jāmātaraḥ sarve yajñaṃ jagmurnimantritāḥ
buhler-XVII-393,XVII,ब्राह्मणैर्नावोदधिर्न तीर्येत,brāhmaṇairnāvodadhirna tīryeta,invented,medium,2,29,,,,
buhler-XVII-394,XVII,शत्रून्पराजयेथा इति नृपतिं प्रजा वदन्ति,śatrūnparājayethā iti nṛpatiṃ prajā vadanti,invented,medium,5,39,0.437,"Aitareya-Āraṇyaka AĀ, 2, 1, 2",DCS sent_id 748970,uktham uktham iti vai prajā vadanti tad idam evoktham iyam eva pṛthivīto hīdaṃ sarvam uttiṣṭhati yad idaṃ kiñca
buhler-XVII-395,XVII,नृपती अरिभिर्युध्येयाताम्,nṛpatī aribhiryudhyeyātām,invented,medium,2,24,0.452,"Atharvaveda (Śaunaka) AVŚ, 8, 4",DCS sent_id 637388,yāṃ vāṃ hotrāṃ parihinomi medhayemā brahmāṇi nṛpatī iva jinvatam
buhler-XVII-396,XVII,नौषु नृणां युद्धमभवत्,nauṣu nṛṇāṃ yuddhamabhavat,invented,medium,3,24,0.205,"Abhidhānacintāmaṇi AbhCint, 2",DCS sent_id 590214,daive yugasahasre dve brāhmaṃ kalpau tu tau nṛṇām
buhler-XVII-397,XVII,बालावुद्याने रमेयाताम्,bālāvudyāne rameyātām,invented,medium,2,20,,,,
buhler-XVIII-404,XVIII,शत्रूनगमयत्स्वर्गं वेदार्थं स्वानवेदयत्,śatrūnagamayatsvargaṃ vedārthaṃ svānavedayat,invented,medium,3,42,0.289,"Kūrmapurāṇa KūPur, 2, 14",DCS sent_id 458087,yo 'dhītya vidhivad vedaṃ vedārthaṃ na vicārayet
buhler-XVIII-405,XVIII,आशयच्चामृतं देवान्वेदमध्यापयद्विधिम्,āśayaccāmṛtaṃ devānvedamadhyāpayadvidhim,invented,medium,2,39,,,,
buhler-XVIII-406,XVIII,सूत अधुना स्थापय रथम्,sūta adhunā sthāpaya ratham,invented,medium,4,24,0.544,"Mahābhārata MBh, 6, BhaGī 1",DCS sent_id 230619,senayorubhayormadhye rathaṃ sthāpaya me 'cyuta
buhler-XVIII-407,XVIII,यथाज्ञापयति देवः,yathājñāpayati devaḥ,quotation,high,2,19,1.0,"Harṣacarita Harṣacarita, 2",DCS sent_id 629893,yathājñāpayati devaḥ
buhler-XVIII-408,XVIII,कालिदासस्य काव्यं मां श्रावयेः,kālidāsasya kāvyaṃ māṃ śrāvayeḥ,invented,medium,4,28,0.36,"Matsyapurāṇa MPur, 47",DCS sent_id 337242,kāvyaṃ māṃ vo vijānīdhvaṃ toṣito giriśo vibhuḥ
buhler-XVIII-409,XVIII,उपनयने बालान्नवीनानि वस्त्राणि परिधापयेयुः,upanayane bālānnavīnāni vastrāṇi paridhāpayeyuḥ,invented,medium,4,44,0.245,"Gobhilagṛhyasūtra GobhGS, 1, 9",DCS sent_id 103301,yathā pāṇigrahaṇe tathā cūḍākarmaṇy upanayane godāne
buhler-XVIII-410,XVIII,भ्रातरो ऽस्मान्नगरं प्रास्थापयन्,bhrātaro smānnagaraṃ prāsthāpayan,invented,medium,3,31,0.336,"Bṛhatkathāślokasaṃgraha BKŚS, 27",DCS sent_id 529454,samṛddhim anveṣya ca kāliyasya prāsthāpayan māṃ mudito narendraḥ
buhler-XVIII-411,XVIII,स्वसार आगच्छन्तीति मह्यं न्यवेद्यत,svasāra āgacchantīti mahyaṃ nyavedyata,invented,medium,4,35,0.277,"Kathāsaritsāgara KSS, 7, 3",DCS sent_id 625249,muravāraṃ mṛtaṃ buddhvā tatputrāya nyavedyata
buhler-XVIII-412,XVIII,वायोर्बलेन तरवो ऽपात्यन्त,vāyorbalena taravo pātyanta,invented,medium,3,25,0.283,"Bhāgavatapurāṇa BhāgPur, 1, 2",DCS sent_id 87261,putreti tanmayatayā taravo 'bhinedus taṃ sarvabhūtahṛdayaṃ munim ānato 'smi
