lesson	lemma_iast	band	count_all	rank_all	topic	form	example_iast	dcs_text	dcs_locus	ru	ru_source
9	kṣip	топ-1000	2391	264	«бросать», местный цели (APT-18)	kṣipet	gāṃ vipram ajam agniṃ vā prāśayed apsu vā kṣipet	Manusmṛti	ManuS, 3, 260.2	пусть скормит корове, брахману, козе, огню — или бросит в воду	authored
9	muc	топ-1000	3213	162	«освобождать/бросать», многозначность (APT-18)	mukta	paśya mūṣikamitreṇa kapotā muktabandhanāḥ	Hitopadeśa	Hitop, 1, 53.4	смотри: другом-мышью голуби освобождены от пут	authored
9	snih	редкое	123	4166	«любить» + местный (APT-22)	snihyed	tataś cāsyāṃ svayaṃ tasya cakṣuḥ snihyed asaṃśayam	Kathāsaritsāgara	KSS, 2, 3, 11.2	и тогда его взгляд, без сомнения, сам потянется к ней с любовью	authored
9	abhilaṣ	редкое	113	4413	«желать» (APT-22)	abhilaṣitam	etad bhavatām abhilaṣitam api sampannam	Hitopadeśa	Hitop, 1, 201.6	вот и желание ваше исполнилось	authored
9	anurañj	редкое	180	3181	«быть преданным» (APT-22)	anuraktaḥ	anuraktaḥ śucir dakṣaḥ smṛtimān deśakālavit	Manusmṛti	ManuS, 7, 64	преданный, честный, ловкий, памятливый, знающий место и время	authored
10	īś	редкое	248	2491	«господствовать» + род. (APT-19)	īśate	na kaścid īśate brahman svayaṃgrāhasya sattama	Mahābhārata	MBh, 3, 200, 22	никто, о брахман, не властен над самовольным захватом	authored
10	prabhū	редкое	299	2142	«властвовать» + род. (APT-19)	prabhavati	kathaṃ mṛtyuḥ prabhavati vedaśāstravidāṃ prabho	Manusmṛti	ManuS, 5, 2.2	как смерть имеет власть над знатоками Вед, о владыка?	authored
10	day	редкое	34	9223	«сожалеть, сострадать» (APT-19)	dayadhvam	dāmyata datta dayadhvam iti	Bṛhadāraṇyakopaniṣad	BĀU, 5, 2, 3.8	«смиряйте себя, давайте, сострадайте»	authored
10	smṛ	топ-1000	3966	114	«помнить»: род. или вин. — вин. чаще (APT-19)	smarantī	smarantī taṃ ca bhartāraṃ muktakaṇṭhaṃ ruroda sā	Kathāsaritsāgara	KSS, 2, 1, 61.2	вспоминая того мужа [вин.], она рыдала в голос	authored
10	adhī	редкое	552	1275	«изучать» (APT-19)	adhītāni	mayā ca dharmaśāstrāṇi adhītāni	Hitopadeśa	Hitop, 1, 11	и дхармашастры мною изучены	authored
22	uta	топ-1000	1835	363	частица «или», пара kim… uta (APT-12)	uta	śṛṇu deva kim asmābhir baladarpād durgaṃ bhagnam uta tava pratāpādhiṣṭhitenopāyena	Hitopadeśa	Hitop, 4, 23	слушай, государь: нами ли, в гордыне силы, взята крепость — или уловкой, опирающейся на твое величие?	authored
22	kim	топ-1000	1171	583	вопросительная частица (APT-12)	kiṃ	śvā yadi kriyate rājā tat kiṃ nāśnāty upānaham	Hitopadeśa	Hitop, 3, 60.23	если пса сделают царем — разве не станет он грызть сандалию?	authored
29–30	krīḍ	редкое	437	1576	«играть»: залог почти поровну (APT-28)	krīḍann	tatra balavān vānarayūthaḥ krīḍann āgataḥ	Hitopadeśa	Hitop, 2, 31.5	туда, резвясь, пришла сильная обезьянья стая	authored
29–30	ram	топ-1000	1376	495	Ātmanepada 95 % (APT-26)	ramante	vaktā śrotā ca yatrāsti ramante tatra sampadaḥ	Hitopadeśa	Hitop, 2, 135.3	где есть говорящий и слушающий, там обитают богатства	authored
29–30	han	топ-100	8257	55	Parasmaipada 90 % (APT-27)	hanti	ekaś candramās tamo hanti na ca tārāgaṇair api	Hitopadeśa	Hitop, 0, 18.3	одна луна разгоняет тьму — не [сделать этого] и сонмам звезд	authored
Прил.	punar	топ-100	10749	39	словарь частиц (APT-32..39)	punar	punar na tatra gamiṣyāmi	Hitopadeśa	Hitop, 3, 17.6	снова туда не пойду	authored
Прил.	prāyas	редкое	289	2205	словарь частиц (APT-32..39)	prāyaḥ	prāyaḥ samāpannavipattikāle dhiyo 'pi puṃsāṃ malinā bhavanti	Hitopadeśa	Hitop, 1, 28.3	обычно в час нагрянувшей беды даже разум людей мутнеет	authored
Прил.	muhur	топ-1000	1060	652	словарь частиц (APT-32..39)	muhur	suṣeṇaṃ tāḍayāmāsa nanāda ca muhur muhuḥ	Rāmāyaṇa	Rām, Yu, 33, 35.2	он ударил Сушену и взревел снова и снова	authored
Прил.	yatas	топ-1000	1806	366	словарь частиц (APT-32..39)	yato	yato rājadharmaś caiṣaḥ	Hitopadeśa	Hitop, 3, 64	ибо таков и долг царя	authored
Прил.	yāvat	топ-1000	3101	172	словарь частиц (APT-32..39)	yāvad	tāvad bhayasya bhetavyaṃ yāvad bhayam anāgatam	Hitopadeśa	Hitop, 1, 57.9	бояться беды следует [лишь] до тех пор, пока беда не пришла	authored
Прил.	hā	топ-1000	2938	190	междометие «увы» (APT-32..39)	hā	hā hā putraka nādhītaṃ gatāsv etāsu rātriṣu	Hitopadeśa	Hitop, 0, 24	увы, увы, сынок: ничего не выучено за эти ушедшие ночи	authored
Прил.	vara	топ-100	5055	82	varaṃ… na «лучше X, чем Y» (APT-39)	varam	varam eko guṇī putro na ca mūrkhaśatair api	Hitopadeśa	Hitop, 0, 18.2	лучше один достойный сын — и ни к чему даже сотни глупцов	authored
