mw_L	root_iast	k1_slp1	classes	dcs_freq	dcs_rank	dcs_periods	oracle_dicts	oracle_sources
101933	dhṛṣ	Dfz	5P,1P	133	1017	RV|AV|V|B|E|C	6	ap,apte,krm-body,mw,skd,vcp
102003	dhe	De	1P				1	mw
102185	dhyai	DyE	1P,2				6	ap,apte,krm-body,mw,skd,vcp
102398	dhvaṃs	DvaMs	1P,1Ā	130	1038	RV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
102497	dhvan	Dvan	1P	32	2271	RV|AV|V|B|S|E|C	7	ap,apte,krm-body,mw,pw,pwg,vcp
102614	dhvṛ	Dvf	1P,1Ā	12	3413	RV|AV|E|C	1	krm-body
102824	nakṣ	nakz	1P,1Ā	57	1716	RV|V	2	mw,pwg
103176	naṭ	naw	1P	6	4491	E|C	4	mw,pwg,skd,vcp
103308	nad	nad	1P	460	370	RV|AV|V|B|S|E|C	4	mw,pw,pwg,vcp
103420	nand	nand	1P	129	1051	RV|AV|V|B|E|C	5	krm-body,mw,pw,pwg,vcp
103699	nabh	naB	1Ā,1P,4,9P,9Ā	40	2065	RV|V|B|S	2	mw,pwg
103825	nam	nam	1P,1Ā	666	248	RV|AV|V|B|S|E|C	4	mw,pw,pwg,vcp
104307	nard	nard	1P	116	1125	B|S|E|C	6	ap,apte,mw,pw,pwg,vcp
104757	naś	naS	1P,1Ā	2836	106	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
104760	naś	naS	4P,1P	2836	106	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
104854	nah	nah	4P,4Ā	131	1031	AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
105448	nāth	nAT	1Ā	52	1801	RV|V|B|E|C	3	mw,pwg,skd
108251	nij	nij	2Ā,3P,3Ā	21	2732	AV|V|B|S|E|C	2	mw,pwg
108659	nind	nind	1P	649	251	RV|AV|V|S|E|C	3	mw,pw,pwg
111189	nī	nI	1P,1Ā	2350	55	RV|AV|V|B|S|E|C	4	mw,pw,pwg,vcp
111762	nu	nu	2,6P,6Ā	2	9029	RV|V|B|S|E|C	4	mw,pwg,skd,vcp
111772	nud	nud	6P,6Ā	332	503	RV|V|B|S|E|C	5	apte,mw,pwg,skd,vcp
112031	nṛt	nft	4P	353	475	RV|AV|V|B|S|E|C	3	mw,skd,vcp
113414	pac	pac	1P,1Ā,4Ā	2058	67	RV|AV|V|B|S|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
113507	paj	paj	0Ā	0		V|B|S	1	mw
114263	paṭ	paw	1P,10	0		B|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
114524	paṭh	paW	1P	582	276	S|E|C	5	mw,pw,pwg,skd,vcp
114550	paṇ	paR	1Ā	36	2166	AV|V|B|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
114698	pat	pat	1P,1Ā	6246	38	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
115170	pad	pad	4Ā	134	1015	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
115833	pan	pan	1Ā	8	4002	RV|V|B|S	2	mw,pwg
120516	paś	paS	0P,0Ā	9464	24	RV|AV|V|B|C	3	mw,pwg,vcp
120795	pā	pA	1P,1Ā,2Ā,2P	16179	21	RV|AV|V|B|S|E|C	7	krm,krm-body,mw,pw,pwg,skd,vcp
120935	pā	pA	2P,2Ā	16179	21	RV|AV|V|B|S|E|C	7	krm,krm-body,mw,pw,pwg,skd,vcp
122352	pāy	pAy	1Ā	0		B		
123508	pich	piC	10P,6P					
123559	piñj	piYj	2Ā,10P					
124422	piś	piS	6P,6Ā	36	2167	RV|AV|V|B	3	mw,pw,pwg
124541	piṣ	piz	7P,7Ā	1062	158	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
124606	pī	pI	1Ā,2Ā,3P,3Ā	14	4290		2	mw,pwg
124649	pīḍ	pIq	10P	2	7155	AV|B|S|E|C	5	ap,apte,mw,pwg,vcp
124968	pīy	pIy	1P	0		RV|AV|V|B	2	mw,pwg
125192	puṭ	puw	6P,1P,10P	418	409	B|C	4	mw,pw,pwg,vcp
125645	puth	puT	4P,4Ā	0		E	2	mw,pwg
126760	puṣ	puz	1P,4P,9P	438	390	RV|AV|V|B|S|E|C	3	mw,pwg,vcp
127307	pū	pU	9P,9Ā,1Ā,1P	2162	63	RV|AV|V|B|S|E|C	6	apte,mw,pw,pwg,skd,vcp
127377	pūj	pUj	10P,10Ā,1P	0		RV|S|E|C	6	apte,mw,pw,pwg,skd,vcp
127469	pūy	pUy	1P,1Ā	10	3700	AV|B|S	1	mw
128300	pṛ	pf	3P,9P	4536	99	RV|AV|V|B|S|E|C	2	krm-body,mw
128314	pṛc	pfc	7P,7Ā,2,1P,3P,3Ā	133	1019	RV|AV|V|B|S|E	3	mw,skd,vcp
128909	pṝ	pF	9P,6P,3P,3Ā				7	ap,apte,krm,krm-body,mw,skd,vcp
129743	pyai	pyE	1Ā				1	mw
130824	prach	praC	6P,6Ā	2851	40	RV|AV|V|B|E|C	2	mw,pwg
134465	prath	praT	1Ā,1P	365	463	RV|V|B|S|E|C	4	mw,pw,pwg,vcp
138761	prā	prA	2P,2Ā	40	2070	RV|AV|V|B|S	3	krm-body,mw,pwg
140436	prī	prI	9P,9Ā,4Ā,4P	1770	80	RV|V|B|S|E|C	6	ap,apte,mw,pwg,skd,vcp
140856	pru	pru	1Ā	0		RV|V|B	2	mw,pwg
140858	pruth	pruT	1P,1Ā	7	4285	RV|V|B	2	mw,pwg
140871	pruṣ	pruz	5P,5Ā,10P,10Ā,9P,4P	7	4286	RV|AV|V|B	2	mw,pwg
141468	plu	plu	1Ā,1P	297	555	AV|V|B|S|E|C	7	apte,krm-body,mw,pw,pwg,skd,vcp
141564	pluṣ	pluz	1,4P,9P	21	2735	V|B|E|C	1	pwg
141584	psā	psA	2P	6	4565	AV|B|C	4	mw,pwg,skd,vcp
141623	phaṇ	PaR	1P	0		RV|V|B	2	mw,pwg
142512	bandh	banD	9P,9Ā,1P,1Ā,4P,4Ā	2654	47	AV|V|B|S|E|C	4	mw,pwg,skd,vcp
144318	bādh	bAD	1Ā,1P	456	376	RV|AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
145569	budh	buD	1P,1Ā,4Ā,4P	1118	145	RV|AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
146034	bṛh	bfh	6P	0		RV|AV|V|B|S|E|C	2	mw,pwg
146037	bṛh	bfh	1P	0		RV|AV|V|B|S|E|C	2	mw,pwg
147490	brū	brU	2P,2Ā	9781	10	AV|V|E	2	mw,pwg
147534	bhakṣ	Bakz	10P,10Ā,1P,1Ā	162	886	V|B|S|E|C	5	apte,mw,pwg,skd,vcp
147598	bhaj	Baj	1P,1Ā	1164	134	RV|AV|V|B|S|E|C	6	krm,mw,pw,pwg,skd,vcp
147928	bhañj	BaYj	7P,7Ā	754	223	RV|AV|V|S|E|C	3	mw,pwg,skd
148185	bhaṇ	BaR	1P	73	1483	C	2	mw,pwg
148252	bhand	Band	1Ā	5	4786	V|B|S	1	pwg
148908	bharts	Barts	10Ā,10P,1	6	4467	AV|E	2	mw,pwg
149277	bhaṣ	Baz	1P,1Ā	11	3522	E|C	2	pwg,vcp
149289	bhas	Bas	3P	25	2545	RV|V|B|S|E|C	3	mw,pwg,skd
149418	bhā	BA	2P	741	227	V|B|S|E|C	9	ap,apte,krm,krm-body,mw,pw,pwg,skd,vcp
150479	bhāṣ	BAz	1Ā,1P	1532	96	B|S|E|C	6	apte,mw,pw,pwg,skd,vcp
150552	bhās	BAs	1Ā,1P	112	1146	RV|AV|B|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
150663	bhikṣ	Bikz	1Ā,1P	103	1194	V|B|S|E|C	1	pwg
150727	bhid	Bid	7P,7Ā,1P	2047	68	RV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
150969	bhī	BI	3P,3Ā,1Ā,10P,10Ā	1384	110	RV|AV|V|B|S|E|C	5	krm-body,mw,pw,pwg,vcp
151217	bhuj	Buj	6P	5450	46	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
151348	bhuj	Buj	7P,7Ā,6P,6Ā	5450	46	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
151434	bhur	Bur	0P,0Ā	3	5788	RV|V	2	mw,pwg
151456	bhū	BU	1P,1Ā	40393	2	RV|AV|V|B|S|E|C	9	ap,apte,krm,krm-body,mw,pw,pwg,skd,vcp
152466	bhūṣ	BUz	1P,1Ā	48	1875	RV|V|E|C	6	ap,apte,mw,pwg,skd,vcp
152494	bhṛ	Bf	1P,1Ā,3P,3Ā,2P,2Ā	1822	77	RV|AV|V|B|S|E|C	3	mw,skd,vcp
153448	bhraṃś	BraMS	1Ā,1P,4P,4Ā	340	493	RV|AV|V|B|S|E|C	6	ap,apte,mw,pw,pwg,skd
153489	bhrajj	Brajj	6P,6Ā				2	mw,pwg
153524	bhram	Bram	1P,4P	592	271	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
153678	bhrāj	BrAj	1Ā,1P	219	715	RV|AV|V|B|S|E|C	2	mw,pwg
153766	bhrī	BrI	9P	1	8533		1	krm-body
153856	bhreṣ	Brez	1P,1Ā	4	5214	B	1	pwg
153892	maṃh	maMh	1Ā,10	0		RV|AV|V|B|S|E|C	2	mw,pwg
153911	makamakāya	makamakAya	0Ā					
154347	majj	majj	6P	343	488	RV|AV|V|B|S|E|C	3	mw,pw,pwg
154854	maṇḍ	maRq	1P,1Ā	0		E|C	2	pwg,vcp
155187	math	maT	1,9P,9Ā	475	357	RV|AV|V|B|S|E|C	6	apte,mw,pw,pwg,skd,vcp
155288	mad	mad	4P,1P,1Ā,3P,3Ā	1085	155	RV|AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
156626	man	man	8,4Ā	4697	25	RV|AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
157643	mand	mand	1Ā,1P				2	mw,pwg
157684	mand	mand					2	mw,pwg
159151	mah	mah	1,10P,10Ā	60	1664		2	mw,pwg
161693	mā	mA	3P,3Ā	2040	242	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
161697	mā	mA	2P,3Ā,4Ā	2040	242	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
163363	mārg	mArg	1,10P,10Ā	94	1264	E	3	mw,pwg,skd
164084	mi	mi	5P,5Ā	99	1226		3	mw,pwg,vcp
164311	mith	miT	1P,1Ā	6	4488	RV|V|B|S	3	krm-body,mw,pwg
164438	mid	mid	1Ā,4P,10P	0			2	mw,pwg
164465	mil	mil	6P,6Ā	346	482	B|C	3	mw,pwg,skd
164547	miṣ	miz	6P	83	1370	RV|V|B|C	5	krm-body,mw,pwg,skd,vcp
164576	mih	mih	1P,1Ā	70	1524	RV|AV|V|B|S|E|C	3	mw,pwg,vcp
164607	mī	mI	9P,9Ā	103	1197	RV|AV|V|B|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
164715	mīl	mIl	1P,1Ā	6	4489	AV|V|B|S|E|C	4	mw,pwg,skd,vcp
164724	mīv	mIv	1P	0		AV|V|B|S	2	mw,pwg
165082	muc	muc	6P,6Ā	3850	32	RV|AV|V|B|E|C	5	mw,pw,pwg,skd,vcp
165450	mud	mud	1Ā,1P	612	264	AV|V|B|E|C	5	mw,pw,pwg,skd,vcp
165763	murch	murC	1P				1	mw
165859	muṣ	muz	9,1P,6P	162	888	RV|V|B|S|E|C	3	mw,pwg,vcp
166006	muh	muh	4P,4Ā	1103	150	RV|AV|V|B|S|E|C	4	mw,pwg,skd,vcp
166607	mṛ	mf	6Ā,6P,1P,1Ā	5230	48	RV|AV|V|B|S|E|C	5	ap,apte,mw,skd,vcp
166791	mṛg	mfg	4P,10Ā,10P				4	mw,pwg,skd,vcp
167121	mṛj	mfj	2P,2Ā,6P,6Ā,1P,1Ā,10	298	553	RV|AV|V|B|S|E|C	3	mw,skd,vcp
167161	mṛḍ	mfq	6P,6Ā,9P,10	131	1030	RV|AV|V|B|S|C	1	mw
167219	mṛd	mfd	9P,1P,1Ā	692	236	RV|AV|V|B|S|E|C	5	ap,mw,pwg,skd,vcp
167410	mṛdh	mfD	1P,1Ā,6P,6Ā	22	2677	RV|V|B|S		
167423	mṛś	mfS	6P,6Ā	33	2247	RV|AV|V|B|E|C	3	mw,skd,vcp
167430	mṛṣ	mfz	4P,4Ā,1P,1Ā,10	150	937	RV|V|S|E|C	2	mw,skd
168318	mokṣ	mokz	1Ā,10P,10Ā	3	5849		4	mw,pw,pwg,skd
168870	mnā	mnA	1P	2	6810	S|C	7	ap,apte,krm-body,mw,pwg,skd,vcp
168872	myakṣ	myakz	1P	13	3306	RV	3	mw,pw,pwg
168873	mrakṣ	mrakz	1P,10				6	ap,apte,mw,pwg,skd,vcp
168881	mrad	mrad	1Ā	1	8851		2	mw,pwg
168891	mruc	mruc	1P	3	5850	RV|AV|V|B|S|E|C	2	mw,pwg
168901	mluc	mluc	1P	0			2	mw,pwg
168905	mlech	mleC	1P,10P	2	6809	B	1	pwg
168938	mlai	mlE	1P				3	krm-body,mw,skd
169114	yaj	yaj	1P,1Ā	6755	16	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
169552	yat	yat	1Ā,1P,10Ā,10P	548	298	RV|AV|V|B|S|E|C	4	mw,pw,pwg,vcp
170253	yabh	yaB	1P,1Ā	1	10918	AV|B|C	2	mw,pwg
170258	yam	yam	1P,1Ā	1093	153	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
171002	yas	yas	4P	2	7603	AV|V|B|S|E|C	4	mw,pwg,skd,vcp
171018	yā	yA	2P	5649	20	RV|AV|V|B|S|E|C	7	apte,krm-body,mw,pw,pwg,skd,vcp
171236	yāc	yAc	1P,1Ā	755	222	RV|AV|V|B|S|E|C	3	mw,pwg,vcp
171682	yu	yu	3P,3Ā	398	771	RV|AV|V|B|S|E|C	7	krm,krm-body,mw,pw,pwg,skd,vcp
171694	yu	yu	2P,2Ā,6,9	398	771	RV|AV|V|B|S|E|C	7	krm,krm-body,mw,pw,pwg,skd,vcp
171731	yuj	yuj	7P,7Ā	5933	19	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
172012	yudh	yuD	4Ā,4P,1P	1267	118	RV|AV|V|B|E|C	5	apte,mw,pwg,skd,vcp
172139	yup	yup	4P	11	3622	AV|V|B	2	mw,pwg
173028	raṃh	raMh	1P,1Ā,10P	11	3577	RV|AV|V|B|E|C		
173050	rakṣ	rakz	1P,1Ā	1929	73	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
173266	rac	rac	10P	1	9715	E|C	2	mw,pwg
173342	rañj	raYj	1,4P,4Ā				5	ap,mw,pwg,skd,vcp
174063	raṭ	raw	1P	10	3702	E|C	4	mw,pw,pwg,skd
174075	raṇ	raR	1,4P				3	mw,pw,pwg
174197	raṇ	raR	1P				3	mw,pw,pwg
174789	rad	rad	1P,1Ā	34	2226	RV|AV|V|B|C	3	mw,pwg,vcp
174809	radh	raD	4P	45	1950	RV|AV|V|C	2	mw,pwg
174860	rap	rap	1P	11	3576	RV|AV|V	3	mw,pw,pwg
174863	rapś	rapS		5	4910	RV|V|B	2	mw,pwg
174867	raph	raP	1P	0				
174870	rabh	raB	1Ā	67	1566	RV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
174928	ram	ram	1Ā,1P	1553	93	RV|AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
175478	ras	ras	1P,1Ā	51	1822	B|E|C	4	mw,pwg,skd,vcp
175485	ras	ras	10P,10Ā	51	1822	B|E|C	4	mw,pwg,skd,vcp
175925	rah	rah	1P,10P	15	3140	RV|B|S|E|C	3	mw,pwg,skd
176008	rā	rA	2P,2Ā	428	728	RV|AV|V|B|S|C	7	krm,krm-body,mw,pw,pwg,skd,vcp
176246	rāj	rAj	1P,1Ā	405	428	RV|AV|V|B|S|E	5	mw,pw,pwg,skd,vcp
177153	rādh	rAD	5,4P	240	653	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
177844	rās	rAs	1Ā	0		B|E|C	1	pwg
177953	rikh	riK	1P,6P	0		E	2	mw,pwg
177954	riṅkh	riNK	1P				1	pwg
177968	riṅg	riNg	1P				1	pwg
177975	ric	ric	7P,7Ā,1P,4Ā,10	206	750	RV|V|B|E|C	4	mw,pwg,skd,vcp
178040	rip	rip		3	6039	V	2	mw,pwg
178088	riph	riP	6P	1	9726	AV|B|S	2	mw,pwg
178103	ribh	riB	1P,1Ā	26	2510	V|B|C	2	mw,pwg
178131	riś	riS	6P	2	7163	AV|V	2	mw,pwg
178139	riṣ	riz	1,4P	257	622	RV|AV|V|B|S|E|C	4	mw,pw,pwg,skd
178173	rih	rih	6,2P,2Ā	47	1902	RV|AV|V|B	2	mw,pwg
178179	rī	rI	9P,4P,4Ā	60	1665		3	krm-body,mw,pwg
178213	ru	ru	2P	172	1345	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
178231	ru	ru	1Ā	172	1345	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
178244	ruc	ruc	1Ā,1P	501	336	RV|AV|V|B|E|C	5	mw,pw,pwg,skd,vcp
178446	ruj	ruj	6P,10	129	1054	RV|AV|V|B|E|C	4	mw,pwg,skd,vcp
178489	ruṭh	ruW	1P,1Ā	0				
178506	rud	rud	2P	669	247	AV|V|B|S|E|C	5	ap,mw,pwg,skd,vcp
178751	rudh	ruD	1P	1784	184	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
178755	rudh	ruD	7P,7Ā	1784	184	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
178856	rup	rup	4P	6	4568	RV|AV	1	pwg
178902	ruś	ruS	6P					
178916	ruṣ	ruz	1,4P,4,10	102	1208	RV|AV|S|E|C	2	mw,pwg
178960	ruh	ruh	1P	487	344	RV|AV|V|B|S|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
179276	rūṣ	rUz	1P,10P	0		V|E|C	2	mw,pwg
179363	rej	rej	1P,1Ā	40	2071	V	2	mw,pwg
180331	lakṣ	lakz	1Ā,1P,10P,10Ā	39	2091	V|B|S|E|C	5	apte,mw,pwg,skd,vcp
180704	lag	lag	1P,10	236	663	E|C	3	mw,pwg,skd
181121	laṅgh	laNG	1P,1Ā,10P	32	2273	S|E|C	3	mw,pw,pwg
181156	lajj	lajj	6Ā	109	1155	E|C	2	mw,pwg
181338	lap	lap	1P	26	2499	AV|B|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
181359	labh	laB	1Ā	3345	35	RV|AV|V|B|S|E|C	6	ap,apte,mw,pw,pwg,vcp
181488	lamb	lamb	1Ā	130	1041	B|E|C	4	mw,pwg,skd,vcp
181587	lal	lal	1P,1Ā	101	1215	E|C	5	mw,pw,pwg,skd,vcp
181985	laṣ	laz	1,4P,4Ā,10P	0		E|C	5	mw,pw,pwg,skd,vcp
181992	las	las	1P,10	59	1680	B|E|C	4	mw,pwg,skd,vcp
182054	lā	lA	2P	0			2	pwg,skd
182184	lāñch	lAYC	1P	0		C	1	pwg
182337	likh	liK	6P,6Ā	509	328	AV|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
182615	lip	lip	6,1P,1Ā	778	214	AV|B|S|E|C	6	ap,mw,pw,pwg,skd,vcp
182704	liś	liS	4Ā,6P	7	4213	V|B|E	3	mw,pw,pwg
182726	lih	lih	2P,2Ā	405	426	B|S|E|C	6	krm,mw,pw,pwg,skd,vcp
182753	lī	lI	9P,1P,4Ā,4P	536	603	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
182888	luñc	luYc	1P	11	3535	E|C	2	mw,pwg
182902	luṭ	luw	1,4P,1Ā,10P				2	pw,pwg
182907	luṭh	luW	1P,1Ā,10P	52	2500	C	3	mw,pw,pwg
182908	luṭh	luW	6P	52	2500	C	3	mw,pw,pwg
182922	luḍ	luq	1P,6P	1	8818	S|E|C	3	mw,pw,pwg
182926	luṇṭ	luRw	1P,10P				2	mw,pwg
182956	lup	lup	6P,6Ā,4P,4Ā	117	1122	AV|B|S|E|C	3	mw,pw,pwg
183010	lubh	luB	6P,4P	325	508	AV|V|B|S|E|C	6	ap,apte,mw,pw,pwg,vcp
183058	lul	lul	1P,1Ā	42	2016	E|C	1	pwg
183125	lū	lU	9P,9Ā	81	1396	B|S|C	7	ap,apte,mw,pw,pwg,skd,vcp
183229	lok	lok	1Ā,10	0		S|E|C	5	mw,pw,pwg,skd,vcp
183561	loc	loc	1Ā,10P	0		E|C	4	apte,mw,pwg,vcp
184521	vakṣ	vakz	1P	45	1963	RV|V	1	pwg
184615	vac	vac	2P,3P,3Ā	33948	4	RV|AV|V|B|S|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
185127	vañc	vaYc	1P,1Ā	24	2601	RV|AV|V|B|S|E|C	4	mw,pw,pwg,skd
185343	vaṇṭ	vaRw	1,10P	1	10588		1	pwg
185521	vad	vad	1P,1Ā	3914	31	RV|AV|V|B|S|E|C	6	apte,mw,pw,pwg,skd,vcp
185579	vadh	vaD		1236	121	RV|AV|V|B|S|E	2	mw,pwg
185710	van	van	1P,8P,8Ā	220	714	RV|AV|V|B|S|E|C	5	krm-body,mw,pw,pwg,vcp
186179	vand	vand	1Ā	632	258	RV|V|B|E|C	4	mw,pwg,skd,vcp
186277	vap	vap	1P,1Ā	640	520	AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
186291	vap	vap	1P,1Ā	640	520	AV|V|B|S|E|C	8	ap,apte,krm-body,mw,pw,pwg,skd,vcp
186417	vam	vam	1P	223	703	V|B|E|C	5	krm,krm-body,mw,pwg,skd
187289	varṇ	varR	10P				5	mw,pw,pwg,skd,vcp
187679	vardh	varD	10P				3	mw,pw,pwg
188075	val	val	1Ā,1P	54	1770	E|C	6	ap,apte,mw,pwg,skd,vcp
188205	valg	valg	1P,1Ā	42	2030	AV|V|E|C	4	mw,pwg,skd,vcp
188394	vaś	vaS	2P,1,3	302	548	RV|AV|V|B|S|E|C	6	ap,apte,mw,pw,pwg,vcp
188560	vas	vas	6P	7614	49	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
188997	vas	vas	10P	7614	49	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
188998	vas	vas	2Ā	7614	49	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
189096	vas	vas	1P,10P	7614	49	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
189238	vah	vah	1P,1Ā	1845	75	RV|AV|V|B|S|E|C	7	krm,krm-body,mw,pw,pwg,skd,vcp
189436	vā	vA	2P	596	554	RV|AV|V|B|S|E|C	6	krm-body,mw,pw,pwg,skd,vcp
190461	vāñch	vAYC	1P	180	836	V|E|C	2	mw,pwg
192249	vāś	vAS	4Ā	73	1496	RV|AV|V|S|E|C	3	mw,pwg,vcp
192285	vās	vAs	10P				4	mw,pw,pwg,vcp
192697	vāh	vAh	1Ā	1845	75		2	mw,pwg
194682	vic	vic	7P,7Ā,3	16	4090	RV|AV|V|B|S|E|C	4	mw,pwg,skd,vcp
194956	vij	vij	6Ā,1P,3P,3Ā	27	2483	RV|V|B|E|C	4	mw,pw,pwg,vcp
195626	vid	vid	2P	22628	8	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
195939	vid	vid	6P,6Ā	22628	8	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
197416	vip	vip	1Ā	156	913	RV|AV|V|B|E|C	3	mw,pw,pwg
200376	viś	viS	6P,6Ā	1053	160	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
201614	viṣ	viz	3P,1P,3	29	2397	RV|AV|V|B|S|E|C	4	mw,pw,pwg,vcp
201878	viṣ	viz	9P	29	2397	RV|AV|V|B|S|E|C	4	mw,pw,pwg,vcp
203329	vī	vI	2P,2Ā	770	220	RV|AV|V|B|S|E	3	krm-body,mw,pwg
203453	vīj	vIj	1P,1Ā,10	5	5068	E|C	3	mw,pwg,vcp
203469	vīḍ	vIq	0P,0Ā	0		V|B|S		
203978	vṛ	vf	5,9,1P,1Ā	4166	65	RV|AV|V|B|S|E|C	3	mw,skd,vcp
204040	vṛ	vf	5,9P,9Ā	4166	65	RV|AV|V|B|S|E|C	3	mw,skd,vcp
204309	vṛj	vfj	1,7P,2Ā	283	574	RV|AV|V|B|S|E|C	2	mw,skd
204340	vṛt	vft	1Ā	2479	50	RV|AV|V|B|E|C	6	ap,apte,mw,pwg,skd,vcp
204573	vṛdh	vfD	1Ā,1P,10	1619	89	RV|AV|V|B|S|E|C	5	ap,mw,pwg,skd,vcp
204858	vṛṣ	vfz	1P,1Ā	580	280	RV|V|B|S|E|C	7	ap,apte,krm-body,mw,pw,pwg,vcp
205271	ve	ve	1P,1Ā				3	mw,skd,vcp
206222	ven	ven	1P	19	2880	RV|V|B	2	mw,pwg
206315	vell	vell	1P	11	3611	E|C	5	krm,mw,pwg,skd,vcp
206478	veṣṭ	vezw	1Ā	43	2000		4	mw,pwg,skd,vcp
206544	vai	vE	1P,1Ā				2	krm-body,mw
208354	vyac	vyac	6P,3	20	2821	RV|AV|V|B|S	2	mw,pwg
208633	vyath	vyaT	1Ā	397	436	RV|AV|V|B|S|E|C	4	mw,pwg,skd,vcp
208671	vyadh	vyaD	4P,4Ā	1636	88	RV|AV|V|B|E|C	4	mw,pw,pwg,vcp
210345	vye	vye	1P,1Ā				2	mw,vcp
210432	vraj	vraj	1P,10P	1202	128	V|B|S|E|C	5	krm-body,mw,pwg,skd,vcp
210711	vraśc	vraSc	6P	145	968	RV|AV|V|B|S|C	4	mw,pw,pwg,vcp
210765	vrīḍ	vrIq	1Ā,4P,10P	84	1365	E|C	2	pwg,skd
210822	vlī	vlI	9P	18	2952	RV|AV|B|S	3	krm-body,mw,pwg
210841	śaṃs	SaMs	1P,1Ā	1785	79	RV|V|B|S|E|C	4	ap,mw,pwg,vcp
210897	śak	Sak	5P	1952	71	RV|AV|V|B|S|E|C	3	mw,pw,pwg
211426	śaṅk	SaNk	1Ā,1P	273	595	B|S|E	3	mw,pwg,vcp
211740	śaṭh	SaW	1P,10P				2	pw,pwg
212483	śad	Sad	1,6Ā,6P	38	2890	RV|AV|V|B|S|C	5	mw,pw,pwg,skd,vcp
212543	śap	Sap	1,4P,4Ā	484	345	AV|V|B|S|E	4	mw,pw,pwg,skd
212651	śabd	Sabd	10P				4	mw,pwg,skd,vcp
212911	śam	Sam	4P,9	3477	138	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
214531	śas	Sas	1P	2	7662	RV|AV|V|B|S|E	3	mw,pwg,vcp
215926	śāl	SAl	1Ā,1,10Ā				2	pw,pwg
216290	śās	SAs	2P	1066	313	RV|AV|V|B|S|E|C	5	mw,pw,pwg,skd,vcp
216481	śi	Si	3P,5P,5Ā				1	mw
216517	śikṣ	Sikz	1P,1Ā	345	484		2	mw,pwg
216845	śiñj	SiYj	2Ā,1,10Ā	12	3490	RV|V|B|E|C	2	mw,pwg
218104	śiṣ	Siz	7P,10	194	787	RV|AV|V|B|S|E|C	4	mw,pw,pwg,vcp
218170	śī	SI	2Ā,1	2232	146	RV|AV|V|B|S|E|C	7	ap,apte,mw,pw,pwg,skd,vcp
