позиция,длина,кластер_iast,кластер_slp1,заголовков
any,2,kś,kS,42
any,2,ḍr,qr,41
any,2,rjh,rJ,38
any,2,kch,kC,34
any,2,ss,ss,33
any,2,rkh,rK,33
any,2,ṭc,wc,33
any,2,lph,lP,31
any,2,ḍbh,qB,31
any,2,kkh,kK,30
any,2,gb,gb,30
any,2,ṣph,zP,28
any,2,śch,SC,27
any,2,ṅn,Nn,27
any,2,ṭs,ws,27
any,2,ḍd,qd,25
any,2,vl,vl,24
any,2,ñjh,YJ,24
any,2,ghy,Gy,24
any,2,kc,kc,24
any,2,bhv,Bv,23
any,2,rph,rP,23
any,2,ṭṭh,wW,23
any,2,ggh,gG,21
any,2,ḍhr,Qr,21
any,2,ṭhy,Wy,20
any,2,nc,nc,20
any,2,mṇ,mR,20
any,2,ḍm,qm,20
any,2,bb,bb,19
any,2,ghv,Gv,19
any,2,yv,yv,19
any,2,pph,pP,19
any,2,nbh,nB,18
any,2,kṇ,kR,17
any,2,pm,pm,16
any,2,cm,cm,16
any,2,by,by,15
any,2,ṣkh,zK,15
any,2,ṣṣ,zz,15
any,2,kph,kP,15
any,2,gṇ,gR,14
any,2,rḍ,rq,13
any,2,śś,SS,13
any,2,ḍḍh,qQ,12
any,2,bhn,Bn,12
any,2,cñ,cY,11
any,2,nph,nP,10
any,2,nj,nj,10
any,2,sj,sj,10
any,2,rs,rs,10
any,2,ṭt,wt,10
any,2,bhl,Bl,9
any,2,pś,pS,9
any,2,ṭś,wS,9
any,2,pv,pv,8
any,2,lś,lS,8
any,2,vv,vv,8
any,2,ḍj,qj,8
any,2,bbh,bB,8
any,2,dn,dn,8
any,2,bl,bl,7
any,2,ns,ns,7
any,2,np,np,7
any,2,nr,nr,7
any,2,ḍb,qb,7
any,2,lt,lt,6
any,2,ghm,Gm,6
any,2,ṭkh,wK,6
any,2,ṭm,wm,6
any,2,ḍl,ql,6
any,2,pk,pk,6
any,2,nk,nk,5
any,2,ḍhv,Qv,5
any,2,nh,nh,5
any,2,thn,Tn,5
any,2,khkh,KK,5
any,2,śp,Sp,5
any,2,bm,bm,5
any,2,ṭṣ,wz,5
any,2,ñg,Yg,5
any,2,jhjh,JJ,4
any,2,nś,nS,4
any,2,khr,Kr,4
any,2,pṇ,pR,4
any,2,rḍh,rQ,4
any,2,ṭph,wP,4
any,2,ñv,Yv,4
any,2,tbh,tB,4
any,2,chy,Cy,3
any,2,dḍ,dq,3
any,2,rṭ,rw,3
any,2,ld,ld,3
any,2,ṇth,RT,3
any,2,cv,cv,3
any,2,ṭṇ,wR,3
any,2,pch,pC,3
any,2,pc,pc,3
any,2,ṅl,Nl,3
any,2,gh,gh,3
any,2,tś,tS,3
any,2,ṣt,zt,3
any,2,mk,mk,3
any,2,gḍ,gq,3
any,2,ṭch,wC,3
any,2,ms,ms,3
any,2,sb,sb,2
any,2,vd,vd,2
any,2,chr,Cr,2
any,2,ṅṅ,NN,2
any,2,bv,bv,2
any,2,sd,sd,2
any,2,hj,hj,2
any,2,ḍdh,qD,2
any,2,ñś,YS,2
any,2,ck,ck,2
any,2,khv,Kv,2
any,2,ṅh,Nh,2
any,2,ḍgh,qG,2
any,2,ṭhṭh,WW,2
any,2,ṇd,Rd,2
any,2,md,md,2
any,2,nḍ,nq,2
any,2,ñs,Ys,2
any,2,ṅś,NS,2
any,2,ṇn,Rn,2
any,2,bg,bg,2
any,2,tṣ,tz,2
any,2,jhy,Jy,1
any,2,lj,lj,1
any,2,djh,dJ,1
any,2,ym,ym,1
any,2,nb,nb,1
any,2,thr,Tr,1
any,2,bhj,Bj,1
any,2,ññ,YY,1
any,2,dṭ,dw,1
any,2,tṭ,tw,1
any,2,bhbh,BB,1
any,2,ñy,Yy,1
any,2,phs,Ps,1
any,2,śth,ST,1
any,2,rr,rr,1
any,2,ths,Ts,1
any,2,ḍhḍh,QQ,1
any,2,khn,Kn,1
any,2,pṭ,pw,1
any,2,gk,gk,1
any,2,pd,pd,1
any,2,ṭd,wd,1
any,2,ṇk,Rk,1
any,2,jn,jn,1
any,2,yt,yt,1
any,2,yn,yn,1
any,2,vch,vC,1
any,2,ct,ct,1
any,2,mt,mt,1
any,2,vh,vh,1
any,2,nṭh,nW,1
any,2,mh,mh,1
any,2,dl,dl,1
any,2,ṅy,Ny,1
any,2,lgh,lG,1
any,2,mc,mc,1
any,2,mg,mg,1
any,2,nl,nl,1
any,2,ñk,Yk,1
any,2,ghṇ,GR,1
any,2,sl,sl,1
any,2,ṭr,wr,1
any,2,jc,jc,1
any,2,kgh,kG,1
any,2,tj,tj,1
any,2,dj,dj,1
any,2,ṅs,Ns,1
any,2,hś,hS,1
any,2,ng,ng,1
any,2,tb,tb,1
any,2,bn,bn,1
any,2,tl,tl,1
any,2,cs,cs,1
any,2,ṇg,Rg,1
any,2,dh,dh,1
any,2,rṭh,rW,1
any,2,td,td,1
any,3,ndr,ndr,2587
any,3,ntr,ntr,1808
any,3,str,str,1551
any,3,ttr,ttr,1155
any,3,ttv,ttv,801
any,3,rtt,rtt,764
any,3,rmm,rmm,721
any,3,ryy,ryy,630
any,3,kṣm,kzm,581
any,3,mpr,mpr,560
any,3,tmy,tmy,521
any,3,rvv,rvv,477
any,3,ṣṭr,zwr,449
any,3,rddh,rdD,406
any,3,kṣy,kzy,364
any,3,rdhv,rDv,279
any,3,rdd,rdd,255
any,3,try,try,246
any,3,kṣṇ,kzR,243
any,3,ktr,ktr,234
any,3,ndhy,nDy,229
any,3,rṇṇ,rRR,225
any,3,ṅkṣ,Nkz,219
any,3,tsy,tsy,216
any,3,cchr,cCr,214
any,3,tpr,tpr,213
any,3,nty,nty,181
any,3,ṣpr,zpr,178
any,3,rjj,rjj,177
any,3,sty,sty,164
any,3,ndhr,nDr,151
any,3,rśv,rSv,144
any,3,rdr,rdr,138
any,3,rtm,rtm,127
any,3,dvy,dvy,126
any,3,tkr,tkr,114
any,3,rvy,rvy,107
any,3,ṅkt,Nkt,102
any,3,rty,rty,96
any,3,rmy,rmy,88
any,3,tsn,tsn,85
any,3,ṣkr,zkr,83
any,3,dgr,dgr,83
any,3,rcc,rcc,80
any,3,ṅghr,NGr,79
any,3,ṣṭy,zwy,78
any,3,rṣṇ,rzR,78
any,3,kṣv,kzv,77
any,3,rkṣ,rkz,75
any,3,ntv,ntv,70
any,3,gny,gny,70
any,3,rthy,rTy,69
any,3,ṇḍr,Rqr,69
any,3,ṣṭhy,zWy,68
any,3,ṇḍy,Rqy,67
any,3,stv,stv,66
any,3,rgy,rgy,62
any,3,kpr,kpr,62
any,3,ndy,ndy,61
any,3,tkṣ,tkz,61
any,3,ddy,ddy,59
any,3,rṣy,rzy,58
any,3,tty,tty,58
any,3,ṅgy,Ngy,56
any,3,rts,rts,53
any,3,gry,gry,53
any,3,ktv,ktv,52
any,3,rcch,rcC,51
any,3,cchv,cCv,48
any,3,rṅg,rNg,48
any,3,jjv,jjv,48
any,3,rgr,rgr,48
any,3,kty,kty,47
any,3,ndv,ndv,46
any,3,rṣṭ,rzw,45
any,3,ṅkr,Nkr,44
any,3,rbb,rbb,42
any,3,ṣṇy,zRy,40
any,3,ṅkhy,NKy,39
any,3,tsv,tsv,38
any,3,ddhy,dDy,38
any,3,dry,dry,38
any,3,rdv,rdv,37
any,3,ścy,Scy,35
any,3,rdhy,rDy,34
any,3,rghy,rGy,34
any,3,rṇy,rRy,34
any,3,sthy,sTy,33
any,3,rtr,rtr,32
any,3,rjy,rjy,29
any,3,rdhr,rDr,28
any,3,ṅgr,Ngr,26
any,3,dhry,Dry,25
any,3,rtv,rtv,25
any,3,mbhr,mBr,25
any,3,ṭtr,wtr,25
any,3,ṅky,Nky,24
any,3,ṣṭv,zwv,24
any,3,ddhv,dDv,22
any,3,ddr,ddr,22
any,3,ptr,ptr,21
any,3,rhr,rhr,21
any,3,mby,mby,20
any,3,tpl,tpl,20
any,3,rṣm,rzm,20
any,3,lbhy,lBy,19
any,3,tkl,tkl,19
any,3,lky,lky,19
any,3,rhy,rhy,18
any,3,ṇḍv,Rqv,18
any,3,ddv,ddv,18
any,3,rky,rky,17
any,3,tsth,tsT,17
any,3,rjñ,rjY,17
any,3,bbhr,bBr,16
any,3,dbhr,dBr,16
any,3,jjy,jjy,16
any,3,tst,tst,16
any,3,gvy,gvy,16
any,3,ksr,ksr,16
any,3,sphy,sPy,15
any,3,rpy,rpy,15
any,3,hmy,hmy,15
any,3,mpl,mpl,15
any,3,nny,nny,15
any,3,pty,pty,14
any,3,kthy,kTy,14
any,3,gjy,gjy,14
any,3,psy,psy,14
any,3,spr,spr,14
any,3,hny,hny,13
any,3,rśy,rSy,13
any,3,ñjy,Yjy,13
any,3,ṇṭhy,RWy,13
any,3,mbhy,mBy,13
any,3,gdhy,gDy,13
any,3,rdm,rdm,13
any,3,dvr,dvr,13
any,3,nddh,ndD,13
any,3,skr,skr,12
any,3,tsm,tsm,12
any,3,ṣṇv,zRv,12
any,3,dhny,Dny,12
any,3,kkṣ,kkz,12
any,3,lpy,lpy,12
any,3,ṅghy,NGy,12
any,3,rdy,rdy,12
any,3,ksth,ksT,11
any,3,mpy,mpy,11
any,3,nthy,nTy,11
any,3,ñjñ,YjY,11
any,3,tny,tny,11
any,3,rvr,rvr,11
any,3,gdv,gdv,11
any,3,ggr,ggr,11
any,3,ddhr,dDr,10
any,3,śny,Sny,10
any,3,rjm,rjm,10
any,3,ntt,ntt,10
any,3,kśr,kSr,10
any,3,bdy,bdy,10
any,3,ḍgr,qgr,10
any,3,rbhy,rBy,9
any,3,pny,pny,9
any,3,tsr,tsr,9
any,3,śvy,Svy,8
any,3,dbr,dbr,8
any,3,ñcy,Ycy,8
any,3,cchl,cCl,8
any,3,ghny,Gny,7
any,3,rcy,rcy,7
any,3,rḍhy,rQy,7
any,3,jjñ,jjY,7
any,3,rdhm,rDm,7
any,3,tsph,tsP,7
any,3,rbhr,rBr,7
any,3,jñy,jYy,7
any,3,ṭpr,wpr,7
any,3,rtn,rtn,6
any,3,ghry,Gry,6
any,3,rbr,rbr,6
any,3,lly,lly,6
any,3,kkr,kkr,6
any,3,gjñ,gjY,6
any,3,ttn,ttn,6
any,3,ddhm,dDm,5
any,3,kry,kry,5
any,3,gdhr,gDr,5
any,3,ṇḍhr,RQr,5
any,3,ñcch,YcC,5
any,3,rjv,rjv,5
any,3,rny,rny,5
any,3,ṭsth,wsT,5
any,3,śry,Sry,4
any,3,rñj,rYj,4
any,3,ccy,ccy,4
any,3,ṣmy,zmy,4
any,3,gmy,gmy,4
any,3,kly,kly,4
any,3,hvy,hvy,4
any,3,ṇvy,Rvy,4
any,3,cchy,cCy,4
any,3,kmy,kmy,4
any,3,tsp,tsp,4
any,3,ndhv,nDv,4
any,3,ñjm,Yjm,4
any,3,ñjv,Yjv,4
any,3,ṅny,Nny,4
any,3,bhry,Bry,3
any,3,ṣpy,zpy,3
any,3,dbhy,dBy,3
any,3,gdhv,gDv,3
any,3,rkhy,rKy,3
any,3,svy,svy,3
any,3,rvl,rvl,3
any,3,pry,pry,3
any,3,rgv,rgv,3
any,3,nts,nts,3
any,3,ssth,ssT,3
any,3,ṣkv,zkv,3
any,3,śśr,SSr,3
any,3,rhm,rhm,3
any,3,ndm,ndm,3
any,3,ssn,ssn,3
any,3,ṣpl,zpl,3
any,3,ṅkl,Nkl,3
any,3,tkhy,tKy,3
any,3,ṣṣṇ,zzR,3
any,3,kchr,kCr,3
any,3,ksv,ksv,3
any,3,gbr,gbr,3
any,3,rlv,rlv,3
any,3,mvy,mvy,3
any,3,ṭsv,wsv,3
any,3,kpl,kpl,3
any,3,mry,mry,2
any,3,dhvr,Dvr,2
any,3,tky,tky,2
any,3,jry,jry,2
any,3,mbl,mbl,2
any,3,tvy,tvy,2
any,3,lby,lby,2
any,3,rsv,rsv,2
any,3,ṇḍhy,RQy,2
any,3,bjy,bjy,2
any,3,rdhn,rDn,2
any,3,hṇy,hRy,2
any,3,ssv,ssv,2
any,3,mbr,mbr,2
any,3,mny,mny,2
any,3,tkv,tkv,2
any,3,rsm,rsm,2
any,3,cñy,cYy,2
any,3,ṭtv,wtv,2
any,3,rgb,rgb,2
any,3,rśm,rSm,2
any,3,tthy,tTy,2
any,3,bdhy,bDy,2
any,3,kcch,kcC,2
any,3,gbhr,gBr,2
any,3,ṅkv,Nkv,2
any,3,kkv,kkv,2
any,3,rkt,rkt,2
any,3,ṣkl,zkl,2
any,3,ssr,ssr,2
any,3,mbv,mbv,2
any,3,ṣkṣ,zkz,2
any,3,psn,psn,2
any,3,kst,kst,2
any,3,rmr,rmr,2
any,3,ṭkr,wkr,2
any,3,ttm,ttm,2
any,3,ñṅm,YNm,2
any,3,ñgd,Ygd,2
any,3,ñkc,Ykc,2
any,3,ṭśl,wSl,2
any,3,sthn,sTn,1
any,3,hrn,hrn,1
any,3,kṣr,kzr,1
any,3,tpy,tpy,1
any,3,lgv,lgv,1
any,3,kthr,kTr,1
any,3,śśv,SSv,1
any,3,lll,lll,1
any,3,mvl,mvl,1
any,3,nndh,nnD,1
any,3,ṇṭy,Rwy,1
any,3,smy,smy,1
any,3,ḍḍhv,qQv,1
any,3,rbbh,rbB,1
any,3,nvy,nvy,1
any,3,lvy,lvy,1
any,3,rhv,rhv,1
any,3,thny,Tny,1
any,3,rby,rby,1
any,3,mps,mps,1
any,3,rghn,rGn,1
any,3,ñchy,YCy,1
any,3,sny,sny,1
any,3,ṇṭṇ,RwR,1
any,3,ṅgdh,NgD,1
any,3,ṇṇḍ,RRq,1
any,3,drv,drv,1
any,3,spy,spy,1
any,3,ṇṇv,RRv,1
any,3,vvy,vvy,1
any,3,rghv,rGv,1
any,3,rṣv,rzv,1
any,3,jjhy,jJy,1
any,3,gghn,gGn,1
any,3,sky,sky,1
any,3,hvr,hvr,1
any,3,ndhm,nDm,1
any,3,ṣtv,ztv,1
any,3,mbhm,mBm,1
any,3,gvr,gvr,1
any,3,ścch,ScC,1
any,3,bdhr,bDr,1
any,3,hṣṭh,hzW,1
any,3,rhl,rhl,1
any,3,ṣṇṇ,zRR,1
any,3,rṣṭh,rzW,1
any,3,ḍhvy,Qvy,1
any,3,mmy,mmy,1
any,3,cchm,cCm,1
any,3,rśc,rSc,1
any,3,vry,vry,1
any,3,rrd,rrd,1
any,3,ṭṭy,wwy,1
any,3,ḍgy,qgy,1
any,3,ptv,ptv,1
any,3,jjm,jjm,1
any,3,rḍy,rqy,1
any,3,rml,rml,1
any,3,prp,prp,1
any,3,rmbh,rmB,1
any,3,ndhn,nDn,1
any,3,tskh,tsK,1
any,3,ttth,ttT,1
any,3,kṣn,kzn,1
any,3,pyy,pyy,1
any,3,lhy,lhy,1
any,3,rry,rry,1
any,3,ntk,ntk,1
any,3,mbb,mbb,1
any,3,kśl,kSl,1
any,3,dṣṭ,dzw,1
any,3,mdv,mdv,1
any,3,tyv,tyv,1
any,3,mmr,mmr,1
any,3,ksm,ksm,1
any,3,rll,rll,1
any,3,mml,mml,1
any,3,ṭkṣ,wkz,1
any,3,rṅkh,rNK,1
any,3,ddś,ddS,1
any,3,ppr,ppr,1
any,3,rrv,rrv,1
any,3,ṅgv,Ngv,1
any,3,ṭst,wst,1
any,3,rkv,rkv,1
any,3,nnn,nnn,1
any,3,ssm,ssm,1
any,3,ñgdh,YgD,1
any,3,ñgr,Ygr,1
any,3,ñkp,Ykp,1
any,3,mvr,mvr,1
any,3,nmr,nmr,1
any,3,rst,rst,1
any,3,kdr,kdr,1
any,3,ṣkṭ,zkw,1
any,3,rgg,rgg,1
any,3,dys,dys,1
any,3,grh,grh,1
any,3,klp,klp,1
any,3,ntb,ntb,1
any,3,ntbh,ntB,1
any,3,kkhy,kKy,1
any,3,ndg,ndg,1
any,3,jñn,jYn,1
any,3,ṣty,zty,1
any,3,ksn,ksn,1
any,3,lsth,lsT,1
any,3,sśy,sSy,1
any,4,rddhv,rdDv,74
any,4,rkṣy,rkzy,59
any,4,ntry,ntry,18
any,4,stry,stry,16
any,4,kṣmy,kzmy,14
any,4,rddhy,rdDy,13
any,4,rṣṭy,rzwy,9
any,4,ṅkṣy,Nkzy,9
any,4,ttry,ttry,8
any,4,rmmy,rmmy,8
any,4,rddhr,rdDr,7
any,4,rtty,rtty,6
any,4,rttr,rttr,6
any,4,rtsy,rtsy,6
any,4,rṣṇy,rzRy,5
any,4,ṅkty,Nkty,5
any,4,kṣṇy,kzRy,5
any,4,psny,psny,3
any,4,ṅghry,NGry,3
any,4,ṅkṣṇ,NkzR,3
any,4,rtsn,rtsn,3
any,5,rtsny,rtsny,3
any,4,ṅktv,Nktv,2
any,4,nddhr,ndDr,2
any,4,rtry,rtry,2
any,4,rśvy,rSvy,2
any,4,rvvy,rvvy,2
any,4,rjjy,rjjy,2
any,4,ntvy,ntvy,2
any,4,ṣṭry,zwry,2
any,4,ñkpr,Ykpr,2
any,4,rdry,rdry,1
any,4,rtvy,rtvy,1
any,4,rccy,rccy,1
any,4,ṅktr,Nktr,1
any,4,ndry,ndry,1
any,4,tsthy,tsTy,1
any,4,gryy,gryy,1
any,5,llṅghy,llNGy,1
any,4,tkṣv,tkzv,1
any,4,stvy,stvy,1
any,4,ṣkṣy,zkzy,1
any,5,tstsy,tstsy,1
any,5,ṇḍṇḍr,RqRqr,1
any,4,rṇṇy,rRRy,1
any,4,rddy,rddy,1
any,4,rkṣṇ,rkzR,1
any,4,pttr,pttr,1
any,4,rttv,rttv,1
any,4,nddy,nddy,1
any,4,ñksr,Yksr,1
any,4,ntpr,ntpr,1
initial,2,pr,pr,13139
initial,2,sv,sv,2536
initial,2,vy,vy,2324
initial,2,kṣ,kz,2127
initial,2,śr,Sr,1807
initial,2,tr,tr,1764
initial,2,dv,dv,1464
initial,2,br,br,1212
initial,2,kr,kr,1046
initial,2,sth,sT,982
initial,2,gr,gr,778
initial,2,śv,Sv,758
initial,2,dr,dr,747
initial,2,st,st,688
initial,2,vr,vr,620
initial,2,ny,ny,521
initial,2,bhr,Br,436
initial,2,sm,sm,427
initial,2,sph,sP,373
initial,2,jy,jy,347
initial,2,sn,sn,333
initial,2,jñ,jY,323
initial,2,tv,tv,320
initial,2,sr,sr,285
initial,2,dy,dy,284
initial,2,śy,Sy,271
initial,2,sp,sp,268
initial,2,dhv,Dv,240
initial,2,śl,Sl,239
initial,2,hr,hr,221
initial,2,sk,sk,207
initial,2,pl,pl,177
initial,2,kl,kl,162
initial,2,jv,jv,146
initial,2,dhr,Dr,134
initial,2,sy,sy,118
initial,2,dhy,Dy,114
initial,2,ml,ml,98
initial,2,śm,Sm,80
initial,2,gl,gl,71
initial,2,ty,ty,68
initial,2,cy,cy,62
initial,2,kv,kv,57
initial,2,mr,mr,49
initial,2,ghr,Gr,43
initial,2,dhm,Dm,39
initial,2,hl,hl,36
initial,2,hv,hv,35
initial,2,khy,Ky,34
initial,2,skh,sK,30
initial,2,ṣṭh,zW,23
initial,2,ṣṭ,zw,20
initial,2,py,py,18
initial,2,śn,Sn,15
initial,2,hy,hy,15
initial,2,kn,kn,14
initial,2,ps,ps,13
initial,2,śc,Sc,13
initial,2,ts,ts,13
initial,2,hn,hn,11
initial,2,ṣv,zv,10
initial,2,vl,vl,8
initial,2,ṣṇ,zR,8
initial,2,ghn,Gn,7
initial,2,gn,gn,7
initial,2,jr,jr,7
initial,2,bhl,Bl,7
initial,2,jm,jm,6
initial,2,gm,gm,5
initial,2,ky,ky,5
initial,2,tm,tm,5
initial,2,bhy,By,4
initial,2,by,by,4
initial,2,nr,nr,4
initial,2,ṇy,Ry,3
initial,2,bl,bl,3
initial,2,gdh,gD,3
initial,2,ly,ly,3
initial,2,mn,mn,3
initial,2,ṣm,zm,3
initial,2,hm,hm,3
initial,2,ṭv,wv,3
initial,2,yv,yv,3
initial,2,gv,gv,2
initial,2,lv,lv,2
initial,2,nv,nv,2
initial,2,sb,sb,2
initial,2,tt,tt,2
initial,2,km,km,2
initial,2,ḍv,qv,2
initial,2,bhn,Bn,2
initial,2,bhv,Bv,1
initial,2,chy,Cy,1
initial,2,jhy,Jy,1
initial,2,kś,kS,1
initial,2,kt,kt,1
initial,2,lp,lp,1
initial,2,pn,pn,1
initial,2,pt,pt,1
initial,2,ss,ss,1
initial,2,ṇv,Rv,1
initial,2,my,my,1
initial,2,bhj,Bj,1
initial,2,rv,rv,1
initial,2,ñy,Yy,1
initial,2,yt,yt,1
initial,2,gṇ,gR,1
initial,2,mm,mm,1
initial,3,str,str,301
initial,3,try,try,140
initial,3,dvy,dvy,97
initial,3,kṣm,kzm,45
initial,3,kṣv,kzv,33
initial,3,sty,sty,14
initial,3,sphy,sPy,10
initial,3,kṣṇ,kzR,7
initial,3,ṣṭy,zwy,6
initial,3,spr,spr,6
initial,3,ścy,Scy,5
initial,3,śry,Sry,4
initial,3,dhvr,Dvr,2
initial,3,ṣṭhy,zWy,2
initial,3,ghny,Gny,1
initial,3,hrn,hrn,1
initial,3,kṣr,kzr,1
initial,3,kry,kry,1
initial,3,drv,drv,1
initial,3,śny,Sny,1
initial,3,prp,prp,1
initial,4,stry,stry,14
initial,4,psny,psny,1
final,2,nt,nt,2665
final,2,kṣ,kz,230
final,2,ñc,Yc,128
final,2,nd,nd,118
final,2,ñj,Yj,98
final,2,mbh,mB,65
final,2,rj,rj,50
final,2,sy,sy,49
final,2,mb,mb,46
final,2,rd,rd,43
final,2,ndh,nD,40
final,2,ṇḍ,Rq,36
final,2,mp,mp,36
final,2,rv,rv,33
final,2,rṇ,rR,32
final,2,nv,nv,30
final,2,ṅg,Ng,27
final,2,ṣṭ,zw,27
final,2,nth,nT,27
final,2,rch,rC,26
final,2,ry,ry,26
final,2,ṅk,Nk,23
final,2,ṭṭ,ww,22
final,2,ty,ty,22
final,2,ṅgh,NG,20
final,2,jj,jj,20
final,2,ṅkh,NK,19
final,2,my,my,19
final,2,ṇy,Ry,19
final,2,ṇṭh,RW,18
final,2,rc,rc,18
final,2,rdh,rD,17
final,2,rṣ,rz,17
final,2,rt,rt,17
final,2,ṇṭ,Rw,17
final,2,ll,ll,17
final,2,rb,rb,16
final,2,rh,rh,15
final,2,cch,cC,15
final,2,kk,kk,14
final,2,śc,Sc,13
final,2,ñch,YC,12
final,2,rk,rk,12
final,2,ps,ps,10
final,2,mph,mP,10
final,2,lp,lp,10
final,2,tr,tr,10
final,2,bj,bj,9
final,2,rth,rT,9
final,2,rp,rp,9
final,2,ny,ny,9
final,2,lg,lg,9
final,2,ṣk,zk,8
final,2,dy,dy,8
final,2,ṣy,zy,8
final,2,rś,rS,7
final,2,ts,ts,7
final,2,st,st,7
final,2,dhy,Dy,7
final,2,vy,vy,7
final,2,ṭy,wy,7
final,2,cy,cy,6
final,2,sj,sj,6
final,2,bhr,Br,5
