mw_L	root_iast	k1_slp1	verb_type	genuine	classes	dcs_freq	dcs_rank	n_dicts	whitney_anchor	westergaard
157684	mand	mand	genuineroot	1		0		2		
157964	mabhr	maBr	root	0	1P	0		0		1
157977	mamb	mamb	root	0	1P	0		0		1
157984	may	may	root	0	1Ā	0		0		1
158406	mark	mark	root	0		0		0		
158461	marc	marc	root	0	10P	0		2		1
158462	marj	marj	root	0	1,6P	0		3		
158518	marb	marb	root	0	1P	0		0		1
158616	marv	marv	root	0	1P	0		0		1
158634	mal	mal	root	0	1Ā,10P	0		1		1
158858	mall	mall	root	0	1Ā	0		1		1
159000	mav	mav	root	0	1P	0		2		1
159003	mavy	mavy	root	0	1P	0		0		1
159004	maś	maS	root	0	1P	0		1		1
159030	maṣ	maz	root	0	1P	0		1		1
159058	maṣk	mazk	root	0		0		0		
159060	mas	mas	root	0	4P	0		2		1
159140	mask	mask	root	0	1Ā	0		0		1
159151	mah	mah	genuineroot	1	1,10P,10Ā	60	1664	2	maMh,116	1
161693	mā	mA	genuineroot	1	3P,3Ā	680	242	6	mA3,119	1
161697	mā	mA	genuineroot	1	2P,3Ā,4Ā	680	242	6	mA1,119;mA2,119	1
162008	māṅkṣ	mANkz	root	0	1P	0		0		1
162069	māḍ	mAq	root	0	1P,1Ā	0		0		1
162718	mān	mAn	root	0	1,10P	0		3		1
163014	mānth	mAnT	root	0	1P	0		0		1
163056	māpaya	mApaya	root	0	0	0		0		
163363	mārg	mArg	genuineroot	1	1,10P,10Ā	94	1264	3	mArg,120	1
163473	mārj	mArj	root	0	10P	0		0		1
163970	māh	mAh	root	0	1P,1Ā	0		0		1
164084	mi	mi	genuineroot	1	5P,5Ā	99	1226	3		1
164093	mi	mi	root	0	0	99	1226	3		
164094	mikṣ	mikz	root	0	0,0Ā	25	2551	2	mikz,120	
164101	mich	miC	root	0	6P	0		0		1
164102	miñj	miYj	root	0	10P	0		0		1
164311	mith	miT	genuineroot	1	1P,1Ā	6	4488	3	miT,120	1
164437	mid	mid	root	0	1P,1Ā	0		2		1
164438	mid	mid	genuineroot	1	1Ā,4P,10P	0		2	med,127	1
164441	midh	miD	root	0	1P,1Ā	0		0		1
164446	minv	minv	root	0	0	0		0		1
164465	mil	mil	genuineroot	1	6P,6Ā	346	482	3	mil,121	1
164482	miś	miS	root	0	1P	0		2		1
164487	miśr	miSr	root	0	10P	0		2		1
164547	miṣ	miz	genuineroot	1	6P	83	1370	5	miz,121	1
164551	miṣ	miz	root	0	1P	83	1370	5		1
164568	mis	mis	root	0	4P	0		0		
164575	misr	misr	root	0	0	0		0		
164576	mih	mih	genuineroot	1	1P,1Ā	70	1524	3	mih,121	1
164607	mī	mI	genuineroot	1	9P,9Ā	103	1197	8	mI,121	1
164610	mī	mI	root	0	1,10P	103	1197	8		1
164661	mīm	mIm	root	0	1P	0		0		1
164715	mīl	mIl	genuineroot	1	1P,1Ā	6	4489	4	mIl,122	1
164724	mīv	mIv	genuineroot	1	1P	0		2	mIv,122	
164726	mīv	mIv	root	0	1P	0		2		1
165081	muc	muc	root	0	1Ā	3850	32	5		1
165082	muc	muc	genuineroot	1	6P,6Ā	3850	32	5	muc,122	1
165300	much	muC	root	0	1P	0		0		1
165301	muj	muj	root	0	1P,10P	0		0		1
