L_id	k1	hom	k2
278	akzRayAdruh		akzRayAdru/h

279	akzRayAvan		akzRa/yAvan

280	aKawwa		aKawwa

281	aKawwi		aKawwi

282	aKaRqa		aKaRqa

283	aKaRqana		aKaRqana

284	aKaRqitartu		aKaRqitartu

285	aKanant		a/Kanant

286	aKarva		a/Karva

287	aKAta		a/KAta

288	aKidra		a/Kidra

289	aKidrayAman		a/KidrayAman

290	aKila		aKila

291	aKilena		aKilena

292	aKuva		aKuva

293	aKewika		aKewika

294	aKeditva		aKeditva/

295	aKedin		aKedin

296	aKKala		aKKala

297	aKKalIkar		aKKalIkar

298	ag		ag

299	aga	1	aga
300	aga	2	aga
301	agacCa		agacCa

302	agaja		agaja

303	agata		a/gata

304	agatika		agatika

305	agada	1	a/gada
306	agada	2	agada/
307	agadaMkAra		agadaMkAra

308	agady		agady

309	agama		agama

310	agamya		agamya

311	agamyAgamana		agamyAgamana

312	agamyAgamanIya		agamyAgamanIya

313	agarI		agarI

314	agaru		agaru

315	agarhita		agarhita

316	agavyUti		agavyUti/

317	agasti		aga/sti

318	agastidru		agastidru

319	agastI		agastI

320	agastIya		agastI/ya

321	agastya		aga/stya

322	agastyagItA		agastyagItA

323	agastyacAra		agastyacAra

324	agastyasaMhitA		agastyasaMhitA

325	agastyodaya		agastyodaya

326	agA		agA

327	agADa		agADa

328	agADajala		agADajala

329	agAra		agAra

330	agAvaha		agAvaha

331	agira		agira

332	agirOkas		a/girOkas

333	agu		a/gu

334	aguRa		aguRa

335	aguru		aguru

336	aguruSiMSapA		aguruSiMSapA

337	agUQaganDa		agUQaganDa

338	agfBIta		a/gfBIta

339	agfBItaSocis		a/gfBItaSocis

340	ago		ago

341	agotA		ago/tA

342	agopA		a/gopA

343	agoruDa		a/goruDa

344	agohya		a/gohya

345	agOkas		agOkas

346	agnAmarut		agnAmarut

347	agnAyI		agnA/yI

348	agnAvizRu		agnAvizRu

349	agni		agni/

350	agnika		agnika

351	agnikaRa		agnikaRa

352	agnikarman		agnikarman

353	agnikaSyapIya		agnikaSyapI/ya

354	agnikArikA		agnikArikA

355	agnikArya		agnikArya

356	agnikAzWa		agnikAzWa

357	agnikukkuwa		agnikukkuwa

358	agnikuRqa		agnikuRqa

359	agnikumAra		agnikumAra

360	agniketu		agniketu

361	agnikoRa		agnikoRa

362	agnikriyA		agnikriyA

363	agnigarBa		agnigarBa

364	agnigfha		agnigfha

365	agnigranTa		agnigranTa

366	agnicaya		agnicaya

367	agnicayana		agnicayana

368	agnicit		agnici/t

369	agnicityA		agnicityA

370	agnicitvant		agnici/tvant

371	agnija		agnija

372	agnijanman		agnijanman

373	agnijA		agnijA/

374	agnijAra		agnijAra

375	agnijAla		agnijAla

376	agnijihva		agnijihva/

377	agnijihvA		agnijihvA/

378	agnijvalitatejana		agnijvalitatejana

379	agnijvAlA		agnijvAlA

380	agnitap		agnita/p

381	agnitapas		agnita/pas

382	agnitapta		agnitapta/

383	agnitA		agni/tA

384	agnitejas		agni/tejas

385	agnitraya		agnitraya

386	agnitrA		agnitrA

387	agnitretA		agnitretA

388	agnida		agnida

389	agnidagDa		agnidagDa/

390	agnidagDa		agni/dagDa

391	agnidatta		agnidatta

392	agnidamanI		agnidamanI

393	agnidAyaka		agnidAyaka

394	agnidAha		agnidAha

395	agnidIpana		agnidIpana

396	agnidIpta		agnidIpta

397	agnidIpti		agnidIpti

398	agnidUta		agni/dUta

399	agnidevA		agnidevA

400	agniD		agni/D

401	agniDAna		agniDA/na

402	agninakzatra		agninakzatra/

403	agninayana		agninayana

404	agniniryAsa		agniniryAsa

405	agninunna		agni/nunna

406	agninetra		agni/netra

407	agnipada		agnipada

408	agniparikriyA		agniparikriyA

409	agniparicCada		agniparicCada

410	agniparvata		agniparvata

411	agnipucCa		agnipucCa

412	agnipurARa		agnipurARa

413	agnipraRayana		agnipraRayana

414	agnipraRayanIya		agnipraRayanIya

415	agnipraveSana		agnipraveSana

416	agniprastara		agniprastara

417	agnibAhu		agnibAhu

418	agniBa		agniBa

419	agniBu		agniBu

420	agniBU		agniBU

421	agniBUti		agniBUti

422	agniBrAjas		agni/BrAjas

423	agnimaRi		agnimaRi

424	agnimant		agnima/nt

425	agnimanTa		agnimanTa

426	agnimanTana		agnimanTana

427	agnimanTanIya		agnimanTanIya

428	agnimaya		agnimaya

429	agnimAWara		agnimAWara

430	agnimAndya		agnimAndya

431	agnimAruti		agnimAruti

432	agnimitra		agnimitra

433	agniminDa		agniminDa/

434	agnimuKa		agnimuKa

435	agnimUQa		agni/mUQa

436	agniyuta		agniyuta

437	agniyojana		agniyojana

438	agnirakzaRa		agnirakzaRa

439	agniraja		agniraja

440	agnirahasya		agnirahasya

441	agnirASi		agnirASi

442	agniruhA		agniruhA

443	agnirUpa		agni/rUpa

444	agniretasa		agniretasa/

445	agniloka		agniloka

446	agnivant		agniva/nt

447	agnivarcas		agnivarcas

448	agnivarRa		agnivarRa

449	agnivarDaka		agnivarDaka

450	agnivallaBa		agnivallaBa

451	agnivAyu		agnivAyu

452	agnivAsas		agni/vAsas

453	agnivAha		agnivAha

454	agnivindu		agnivindu

455	agnivimocana		agnivimocana

456	agniviharaRa		agniviharaRa

457	agnivIja		agnivIja

458	agnivIrya		agnivIrya

459	agniveSa		agniveSa

460	agnivESya		agnivESya

461	agnivESyAyana		agnivESyAyana

462	agniSaraRa		agniSaraRa

463	agniSarman		agniSarman

464	agniSAla		agniSA/la

465	agniSAlA		agniSAlA

466	agniSiKa		agniSiKa

467	agniSiKA		agniSiKA/

468	agniSuSrUzA		agniSuSrUzA

469	agniSeKara		agniSeKara

470	agniSeza		agniSeza

471	agniSrI		agniSrI/

472	agnizwut		agnizwut

473	agnizwuB		agnizwuB

474	agnizwoma		agnizwoma/

475	agnizWa		agnizWa

476	agnizvAtta		agnizvAtta/

477	agnisaMskAra		agnisaMskAra

478	agnisaMkASa		agni/saMkASa

479	agnisaMBava		agnisaMBava

480	agnisahAya		agnisahAya

481	agnisAkzika		agnisAkzika

482	agnisAra		agnisAra

483	agnisiMha		agnisiMha

484	agnisiMhanandana		agnisiMhanandana

485	agnistamBa		agnistamBa

486	agnisvAtta		agnisvAtta

487	agnisvAmin		agnisvAmin

488	agnihut		agnihu/t

489	agnihotar		agni/hotar

490	agnihotra	1	agnihotra/
491	agnihotra	2	agni/hotra
492	agnihotrahavaRI		agnihotraha/vaRI

493	agnihotrahut		agnihotrahu/t

494	agnihotrAhuti		agnihotrAhuti/

495	agnihotrin		agnihotrin

496	agnihotrocCizwa		agnihotrocCizwa/

497	agnID		agnI/D

498	agnIDra		agnIDra

499	agnIDrI		agnIDrI

500	agnIndra		agnIndra/

501	agnInDana		agnInDana

502	agnIparjanya		agnIparjanya

503	agnIya		agnI/ya

504	agnIvaruRa		agnIvaruRa

505	agnIzoma		agnI/zo/ma

506	agnIzomapraRayana		agnIzomapraRayana

507	agnIzomIya		agnIzomI/ya

508	agnIzomIyatva		agnIzomIyatva

509	agnyagAra		agnyagAra

510	agnyAgAra		agnyAgAra

511	agnyAtmaka		agnyAtmaka

512	agnyADAna		agnyADAna

513	agnyADeya		agnyADe/ya

514	agnyAlaya		agnyAlaya

515	agnyAhita		agnyAhita

516	agnyutpAta		agnyutpAta

517	agnyupasTAna		agnyupasTAna/

518	agnyeDa		agnyeDa/

519	agman		agman

520	agra	1	a/gra
521	agra	2	agra
522	agrakAya		agrakAya

523	agraga		agraga

524	agragaRya		agragaRya

525	agragAmin		agragAmin

526	agraja		agraja

527	agrajaNGA		agrajaNGA

528	agrajanman		agrajanman

529	agrajA		agrajA/

530	agrajAtaka		agrajAtaka

531	agrajAti		agrajAti

532	agrajihva		agrajihva/

533	agraRI		agraRI

534	agraRIti		a/graRIti

535	agratas		agrata/s

536	agrataHsara		agrataHsara

537	agradAnin		agradAnin

538	agranaKa		agranaKa

539	agranAsikA		agranAsikA

