headword_slp1	headword_iast	L_id	arity	members_slp1	members_iast	dcs_status	dcs_compound_raw	dcs_prefix_hits	dcs_split	dcs_arity	dcs_freq_sum	seam_no_sandhi	key_form
BArodvaha	bhārodvaha	54634	2	BAra + udvaha	bhāra + udvaha	prefix-evidence		1					folded-miss
BAryADikArika	bhāryādhikārika	54659	2	BAryA + aDikAra	bhāryā + adhikāra	unattested		0					folded-miss
BAryAwa	bhāryāṭa	54656	2	BAryA + Awa	bhāryā + āṭa	unattested		0					folded-miss
BAryAwika	bhāryāṭika	54657	2	BAryA + Awa	bhāryā + āṭa	unattested		0					folded-miss
BAsakarRa	bhāsakarṇa	54783	2	BAsa + karRa	bhāsa + karṇa	unattested		0					folded-miss
BAskara	bhāskara	54798	2	BAs + kara	bhās + kara	prefix-evidence		17					folded-miss
BAvAtmaka	bhāvātmaka	54739	2	BAva + Atman	bhāva + ātman	prefix-evidence		1					folded-miss
BAvadIpa	bhāvadīpa	54700	2	BAva + dIpa	bhāva + dīpa	unattested		0					folded-miss
BAvamiSra	bhāvamiśra	54720	2	BAva + miSra	bhāva + miśra	unattested		0					folded-miss
BAvanATa	bhāvanātha	54705	2	BAva + nATa	bhāva + nātha	unattested		0					folded-miss
BAvana	bhāvana	54704	2	BA + vana	bhā + vana	prefix-evidence		3					folded-miss
BAvapAda	bhāvapāda	54713	2	BAva + pAda	bhāva + pāda	unattested		0					folded-miss
BAvarUpa	bhāvarūpa	54726	2	BAva + rUpa	bhāva + rūpa	prefix-evidence		1					folded-miss
BAvavftta	bhāvavṛtta	54731	2	BAva + vftta	bhāva + vṛtta	unattested		0					folded-miss
BAzyakAra	bhāṣyakāra	54774	2	BAzya + kAra	bhāṣya + kāra	unattested		0					folded-miss
BAzyakft	bhāṣyakṛt	54775	2	BAzya + kft	bhāṣya + kṛt	unattested		0					folded-miss
BAzyawIkA	bhāṣyaṭīkā	54776	2	BAzya + wIkA	bhāṣya + ṭīkā	unattested		0					folded-miss
BEkzAnna	bhaikṣānna	55765	2	BEkza + anna	bhaikṣa + anna	unattested		0					folded-miss
BEkzaBuj	bhaikṣabhuj	55762	2	BEkza + Buj	bhaikṣa + bhuj	unattested		0					folded-miss
BEraveSa	bhairaveśa	55789	2	BErava + ISa	bhairava + īśa	unattested		0					folded-miss
BEravendra	bhairavendra	55788	2	BErava + indra	bhairava + indra	unattested		0					folded-miss
BIkara	bhīkara	54940	2	BI + kara	bhī + kara	unattested		0					folded-miss
BImAdeva	bhīmādeva	54989	2	BImA + deva	bhīmā + deva	unattested		0					folded-miss
BImaBawwa	bhīmabhaṭṭa	54967	2	BIma + Bawwa	bhīma + bhaṭṭa	unattested		0					folded-miss
BImaSAha	bhīmaśāha	54981	2	BIma + SAha	bhīma + śāha	unattested		0					folded-miss
BImaSara	bhīmaśara	54979	2	BIma + Sara	bhīma + śara	prefix-evidence		1					folded-miss
BImabala	bhīmabala	54966	2	BIma + bala	bhīma + bala	attested	bhīmabalaḥ	0	bhīma bala	2	6	1	folded
BImagava	bhīmagava	54950	2	BIma + gava	bhīma + gava	unattested		0					folded-miss
BImagupta	bhīmagupta	54951	2	BIma + gupta	bhīma + gupta	unattested		0					folded-miss
BImajAnu	bhīmajānu	54953	2	BIma + jAnu	bhīma + jānu	unattested		0					folded-miss
BImamuKa	bhīmamukha	54968	2	BIma + muKa	bhīma + mukha	prefix-evidence		1					folded-miss
BImanAda	bhīmanāda	54959	2	BIma + nAda	bhīma + nāda	prefix-evidence		1					folded-miss
BImapAla	bhīmapāla	54964	2	BIma + pAla	bhīma + pāla	unattested		0					folded-miss
BImaraTa	bhīmaratha	54971	2	BIma + raTa	bhīma + ratha	prefix-evidence		1					folded-miss
BImasena	bhīmasena	54984	2	BIma + senA	bhīma + senā	prefix-evidence		25					folded-miss
BImavega	bhīmavega	54976	2	BIma + vega	bhīma + vega	attested	bhīmavega	0	bhīma vega	2	2	1	exact
BImavikrama	bhīmavikrama	54974	2	BIma + vi	bhīma + vi	prefix-evidence		1					folded-miss
BImeSa	bhīmeśa	54990	2	BIma + ISa	bhīma + īśa	unattested		0					folded-miss
BImodarI	bhīmodarī	54994	2	BIma + udara	bhīma + udara	unattested		0					folded-miss
BIrupattrI	bhīrupattrī	55004	2	BIru + pattra	bhīru + pattra	unattested		0					folded-miss
BIrusattva	bhīrusattva	55008	2	BIru + sattva	bhīru + sattva	unattested		0					folded-miss
BIruzWAna	bhīruṣṭhāna	55007	2	BIru + sTAna	bhīru + sthāna	unattested		0					folded-miss
BIzidAsa	bhīṣidāsa	55019	2	Bizi + dAsa	bhiṣi + dāsa	unattested		0					folded-miss
BIzmaratna	bhīṣmaratna	55025	2	BIzma + ratna	bhīṣma + ratna	unattested		0					folded-miss
BIzmasU	bhīṣmasū	55026	2	BIzma + sU	bhīṣma + sū	unattested		0					folded-miss
BOmaratna	bhaumaratna	55921	2	BOma + ratna	bhauma + ratna	unattested		0					folded-miss
BOmavAra	bhaumavāra	55922	2	BOma + vAra	bhauma + vāra	unattested		0					folded-miss
BOvAdika	bhauvādika	55936	2	BU + Adi	bhū + ādi	unattested		0					folded-miss
BUBAga	bhūbhāga	55391	2	BU + BAga	bhū + bhāga	unattested		0					folded-miss
BUBawa	bhūbhaṭa	55389	2	BU + Bawa	bhū + bhaṭa	unattested		0					folded-miss
BUBft	bhūbhṛt	55393	2	BU + Bft	bhū + bhṛt	unattested		0					folded-miss
BUBuj	bhūbhuj	55392	2	BU + Buj	bhū + bhuj	prefix-evidence		4					folded-miss
BUDana	bhūdhana	55356	2	BU + Dana	bhū + dhana	unattested		0					folded-miss
BUDara	bhūdhara	55357	2	BU + Dara	bhū + dhara	prefix-evidence		8					folded-miss
BUDaraja	bhūdharaja	55358	2	BUDara + ja	bhūdhara + ja	unattested		0					folded-miss
BUGana	bhūghana	55194	2	BU + Gana	bhū + ghana	unattested		0					folded-miss
BUKaRqa	bhūkhaṇḍa	55186	2	BU + KaRqa	bhū + khaṇḍa	unattested		0					folded-miss
BUSakra	bhūśakra	55581	2	BU + Sakra	bhū + śakra	unattested		0					folded-miss
BUSaya	bhūśaya	55583	2	BU + Saya	bhū + śaya	unattested		0					folded-miss
BUSelu	bhūśelu	55587	2	BU + Selu	bhū + śelu	unattested		0					folded-miss
BUcakra	bhūcakra	55195	2	BU + cakra	bhū + cakra	unattested		0					folded-miss
BUcara	bhūcara	55196	2	BU + cara	bhū + cara	unattested		0					folded-miss
BUdAra	bhūdāra	55353	2	BU + dAra	bhū + dāra	unattested		0					folded-miss
BUdeva	bhūdeva	55354	2	BU + deva	bhū + deva	unattested		0					folded-miss
BUgarBa	bhūgarbha	55190	2	BU + garBa	bhū + garbha	unattested		0					folded-miss
BUgara	bhūgara	55189	2	BU + gara	bhū + gara	unattested		0					folded-miss
BUgata	bhūgata	55188	2	BU + gata	bhū + gata	unattested		0					folded-miss
BUgeha	bhūgeha	55192	2	BU + geha	bhū + geha	unattested		0					folded-miss
BUgfha	bhūgṛha	55191	2	BU + gfha	bhū + gṛha	unattested		0					folded-miss
BUgola	bhūgola	55193	2	BU + gola	bhū + gola	unattested		0					folded-miss
BUjantu	bhūjantu	55198	2	BU + jantu	bhū + jantu	unattested		0					folded-miss
BUkAka	bhūkāka	55180	2	BU + kAka	bhū + kāka	unattested		0					folded-miss
BUkanda	bhūkanda	55172	2	BU + kanda	bhū + kanda	unattested		0					folded-miss
BUkarRa	bhūkarṇa	55175	2	BU + karRa	bhū + karṇa	unattested		0					folded-miss
BUkeSa	bhūkeśa	55183	2	BU + keSa	bhū + keśa	unattested		0					folded-miss
BUkzit	bhūkṣit	55184	2	BU + kzit	bhū + kṣit	unattested		0					folded-miss
BUliNgA	bhūliṅgā	55574	2	BU + liNga	bhū + liṅga	unattested		0					folded-miss
BUloka	bhūloka	55577	2	BU + loka	bhū + loka	unattested		0					folded-miss
BUmiMjaya	bhūmiṃjaya	55425	2	BUmim + jaya	bhūmim + jaya	unattested		0					folded-miss
BUmituRqika	bhūmituṇḍika	55427	2	BUmi + tuRqi	bhūmi + tuṇḍi	unattested		0					folded-miss
BUnAga	bhūnāga	55364	2	BU + nAga	bhū + nāga	prefix-evidence		17					folded-miss
BUnIpa	bhūnīpa	55366	2	BU + nIpa	bhū + nīpa	unattested		0					folded-miss
BUpAla	bhūpāla	55378	2	BU + pAla	bhū + pāla	prefix-evidence		5					folded-miss
BUpa	bhūpa	55368	2	BU + pa	bhū + pa	prefix-evidence		5					folded-miss
BUpada	bhūpada	55371	2	BU + pada	bhū + pada	unattested		0					folded-miss
BUpaputra	bhūpaputra	55372	2	BUpa + putra	bhūpa + putra	unattested		0					folded-miss
BUpasuta	bhūpasuta	55376	2	BUpa + suta	bhūpa + suta	unattested		0					folded-miss
BUpezwa	bhūpeṣṭa	55385	2	BUpa + izwa	bhūpa + iṣṭa	unattested		0					folded-miss
BUpura	bhūpura	55384	2	BU + pura	bhū + pura	unattested		0					folded-miss
BUputra	bhūputra	55382	2	BU + putra	bhū + putra	unattested		0					folded-miss
BUrBuva	bhūrbhuva	55564	2	BUr + Buva	bhūr + bhuva	prefix-evidence		1					folded-miss
BUrloka	bhūrloka	55571	2	BUr + loka	bhūr + loka	unattested		0					folded-miss
BUruh	bhūruh	55558	2	BU + ruh	bhū + ruh	prefix-evidence		1					folded-miss
BUryakza	bhūryakṣa	55568	2	BUri + akza	bhūri + akṣa	unattested		0					folded-miss
BUsTa	bhūstha	55603	2	BU + sTa	bhū + stha	unattested		0					folded-miss
BUspfS	bhūspṛś	55604	2	BU + spfS	bhū + spṛś	unattested		0					folded-miss
BUstfRa	bhūstṛṇa	55602	2	BU + stfRa	bhū + stṛṇa	unattested		0					folded-miss
BUsura	bhūsura	55601	2	BU + sura	bhū + sura	prefix-evidence		3					folded-miss
BUsuta	bhūsuta	55600	2	BU + suta	bhū + suta	unattested		0					folded-miss
BUsvarga	bhūsvarga	55605	2	BU + svarga	bhū + svarga	unattested		0					folded-miss
BUtAMSa	bhūtāṃśa	55297	2	BUta + aMSa	bhūta + aṃśa	unattested		0					folded-miss
BUtArTa	bhūtārtha	55309	2	BUta + arTa	bhūta + artha	prefix-evidence		5					folded-miss
BUtAri	bhūtāri	55307	2	BUta + ari	bhūta + ari	unattested		0					folded-miss
BUtArma	bhūtārma	55310	2	BUta + arma	bhūta + arma	unattested		0					folded-miss
BUtArta	bhūtārta	55308	2	BUta + Arta	bhūta + ārta	unattested		0					folded-miss
BUtAtmaka	bhūtātmaka	55299	2	BUta + Atman	bhūta + ātman	unattested		0					folded-miss
BUtAvizwa	bhūtāviṣṭa	55313	2	BUta + A	bhūta + ā	unattested		0					folded-miss
BUtaBft	bhūtabhṛt	55247	2	BUta + Bft	bhūta + bhṛt	unattested		0					folded-miss
BUtaGna	bhūtaghna	55215	2	BUta + Gna	bhūta + ghna	prefix-evidence		1					folded-miss
BUtadruh	bhūtadruh	55225	2	BUta + druh	bhūta + druh	unattested		0					folded-miss
BUtagaRa	bhūtagaṇa	55212	2	BUta + gaRa	bhūta + gaṇa	prefix-evidence		4					folded-miss
BUtaganDA	bhūtagandhā	55213	2	BUta + ganDa	bhūta + gandha	unattested		0					folded-miss
