headword_slp1	headword_iast	L_id	arity	members_slp1	members_iast
aditi	aditi	1715	2	a + diti	a + diti
aditi	aditi	1716	2	a + diti	a + diti
aditija	aditija	1717	2	aditi + ja	aditi + ja
aditinandana	aditinandana	1719	2	aditi + nandana	aditi + nandana
aditsant	aditsant	1720	2	a + ditsant	a + ditsant
aditsu	aditsu	1721	2	a + ditsu	a + ditsu
admasad	admasad	1784	2	adman + sad	adman + sad
admasadvan	admasadvan	1786	2	adman + sadvan	adman + sadvan
adoBU	adobhū	1757	2	adas + BU	adas + bhū
adoha	adoha	1762	2	a + doha	a + doha
adomUla	adomūla	1761	2	adas + mUla	adas + mūla
adomaDa	adomadha	1759	2	a + domaDa	a + domadha
adomada	adomada	1758	2	a + domada	a + domada
adrISa	adrīśa	1828	2	adri + ISa	adri + īśa
adrava	adrava	1800	2	a + drava	a + drava
adravya	adravya	1801	2	a + dravya	a + dravya
adriBU	adribhū	1817	2	adri + BU	adri + bhū
adriBid	adribhid	1816	2	adri + Bid	adri + bhid
adriSayya	adriśayya	1822	2	adri + SayyA	adri + śayyā
adribarhas	adribarhas	1814	2	adri + barhas	adri + barhas
adribuDna	adribudhna	1815	2	adri + buDna	adri + budhna
adridugDa	adridugdha	1811	2	adri + dugDa	adri + dugdha
adridviz	adridviṣ	1812	2	adri + dviz	adri + dviṣ
adrijA	adrijā	1808	2	adri + jA	adri + jā
adrijUta	adrijūta	1809	2	adri + jUta	adri + jūta
adrija	adrija	1807	2	adri + ja	adri + ja
adrikIlA	adrikīlā	1805	2	adri + kIla	adri + kīla
adrikarRI	adrikarṇī	1803	2	adri + karRa	adri + karṇa
adrikftasTalI	adrikṛtasthalī	1806	2	adri + kftasTalI	adri + kṛtasthalī
adrimAtar	adrimātar	1818	2	adri + mAtar	adri + mātar
adrinandinI	adrinandinī	1813	2	adri + nandinI	adri + nandinī
adrirAj	adrirāj	1819	2	adri + rAj	adri + rāj
adrirAja	adrirāja	1820	2	adri + rAja	adri + rāja
adrisAnu	adrisānu	1825	2	adri + sAnu	adri + sānu
adrisAra	adrisāra	1826	2	adri + sAra	adri + sāra
adrisaMhata	adrisaṃhata	1824	2	adri + saMhata	adri + saṃhata
adritanayA	adritanayā	1810	2	adri + tanayA	adri + tanayā
adrizuta	adriṣuta	1823	2	adri + suta	adri + suta
adroGAvita	adroghāvita	1833	2	adroGa + avita	adrogha + avita
adroGa	adrogha	1831	2	a + droGa	a + drogha
adroGavAc	adroghavāc	1832	2	adroGa + vAc	adrogha + vāc
adroha	adroha	1834	2	a + droha	a + droha
adruh	adruh	1829	2	a + druh	a + druh
adruhvan	adruhvan	1830	2	a + druhvan	a + druhvan
aduHKa	aduḥkha	1724	2	a + duHKa	a + duḥkha
aducCuna	aducchuna	1726	2	a + ducCunA	a + ducchunā
adugDa	adugdha	1725	2	a + dugDa	a + dugdha
adurmaKa	adurmakha	1727	2	a + durmaKa	a + durmakha
adurmaNgala	adurmaṅgala	1728	2	a + durmaNgala	a + durmaṅgala
aduzwa	aduṣṭa	1729	2	a + duzwa	a + duṣṭa
advAra	advāra	1843	2	a + dvAra	a + dvāra
advEtAnanda	advaitānanda	1852	2	advEta + Ananda	advaita + ānanda
advEta	advaita	1850	2	a + dvEta	a + dvaita
advEtopanizad	advaitopaniṣad	1853	2	advEta + upanizad	advaita + upaniṣad
advayAnanda	advayānanda	1840	2	advaya + Ananda	advaya + ānanda
advayAvin	advayāvin	1841	2	a + dvayAvin	a + dvayāvin
advaya	advaya	1836	2	a + dvaya	a + dvaya
advayant	advayant	1837	2	a + dvayant	a + dvayant
advayas	advayas	1839	2	a + dvayas	a + dvayas
advayavAdin	advayavādin	1838	2	a + dvayavAdin	a + dvayavādin
advayu	advayu	1842	2	a + dvayu	a + dvayu
adveza	adveṣa	1847	2	a + dveza	a + dveṣa
advezarAgin	adveṣarāgin	1848	2	a + dvezarAga	a + dveṣarāga
advija	advija	1844	2	a + dvija	a + dvija
advitIya	advitīya	1845	2	a + dvitIya	a + dvitīya
advizeRya	adviṣeṇya	1846	2	a + dvizeRya	a + dviṣeṇya
adyAhfta	adyāhṛta	1796	2	adya + Ahfta	adya + āhṛta
adyUtya	adyūtya	1799	2	a + dyUtya	a + dyūtya
adyaSva	adyaśva	63138	2	adya + Svas	adya + śvas
adyadina	adyadina	1791	2	adya + dina	adya + dina
adyadivasa	adyadivasa	1792	2	adya + divasa	adya + divasa
adyapraBfti	adyaprabhṛti	1793	2	adya + praBfti	adya + prabhṛti
adyasutyA	adyasutyā	1795	2	adya + sutyA	adya + sutyā
adyu	adyu	1797	2	a + dyu	a + dyu
adyut	adyut	1798	2	a + dyut	a + dyut
afRin	aṛṇin	6	2	a + fRin	a + ṛṇin
agA	agā	326	2	a + gA	a + gā
agADa	agādha	327	2	a + gADa	a + gādha
agADajala	agādhajala	328	2	agADa + jala	agādha + jala
agAvaha	agāvaha	330	2	aga + Avaha	aga + āvaha
agUQaganDa	agūḍhagandha	337	2	a + gUQa	a + gūḍha
aga	aga	300	2	a + ga	a + ga
agacCa	agaccha	301	2	a + gacCa	a + gaccha
agada	agada	305	2	a + gada	a + gada
agada	agada	306	2	a + gada	a + gada
agadaMkAra	agadaṃkāra	307	2	agada + kAra	agada + kāra
agaja	agaja	302	2	aga + ja	aga + ja
agama	agama	309	2	a + gama	a + gama
agamyAgamana	agamyāgamana	311	2	agamya + gamana	agamya + gamana
agamya	agamya	310	2	a + gamya	a + gamya
agarhita	agarhita	315	2	a + garhita	a + garhita
agaru	agaru	314	2	a + garu	a + garu
agastidru	agastidru	318	2	agasti + dru	agasti + dru
agastyacAra	agastyacāra	323	2	agastya + cAra	agastya + cāra
agastyagItA	agastyagītā	322	2	agastya + gItA	agastya + gītā
agastyasaMhitA	agastyasaṃhitā	324	2	agastya + saMhitA	agastya + saṃhitā
agastyodaya	agastyodaya	325	2	agastya + udaya	agastya + udaya
agatIka	agatīka	62568	2	a + gati	a + gati
agata	agata	303	2	a + gata	a + gata
agatika	agatika	304	2	a + gati	a + gati
agavyUti	agavyūti	316	2	a + gavyUti	a + gavyūti
agfBIta	agṛbhīta	338	2	a + gfBIta	a + gṛbhīta
agfBItaSocis	agṛbhītaśocis	339	2	agfBIta + Socis	agṛbhīta + śocis
agirOkas	agiraukas	332	2	a + girOkas	a + giraukas
agnAmarut	agnāmarut	346	2	agni + marut	agni + marut
agnAvizRu	agnāviṣṇu	348	2	agni + vizRu	agni + viṣṇu
agnID	agnīdh	497	2	agni + iD	agni + idh
agnInDana	agnīndhana	501	2	agni + inDana	agni + indhana
agnIndra	agnīndra	500	2	agni + indra	agni + indra
agnIparjanya	agnīparjanya	502	2	agni + parjanya	agni + parjanya
agnIvaruRa	agnīvaruṇa	504	2	agni + varuRa	agni + varuṇa
agnIzoma	agnīṣoma	505	2	agni + soma	agni + soma
agnIzomapraRayana	agnīṣomapraṇayana	506	2	agnIzoma + praRayana	agnīṣoma + praṇayana
agniBU	agnibhū	420	2	agni + BU	agni + bhū
agniBUti	agnibhūti	421	2	agni + BUti	agni + bhūti
agniBa	agnibha	418	2	agni + BA	agni + bhā
agniBrAjas	agnibhrājas	422	2	agni + BrAjas	agni + bhrājas
agniBu	agnibhu	419	2	agni + BU	agni + bhū
agniDAna	agnidhāna	401	2	agni + DAna	agni + dhāna
agniSAlA	agniśālā	465	2	agni + SAlA	agni + śālā
agniSAla	agniśāla	464	2	agni + SAlA	agni + śālā
agniSaraRa	agniśaraṇa	462	2	agni + SaraRa	agni + śaraṇa
agniSarman	agniśarman	463	2	agni + Sarman	agni + śarman
agniSeKara	agniśekhara	469	2	agni + SeKara	agni + śekhara
agniSeza	agniśeṣa	470	2	agni + Seza	agni + śeṣa
agniSiKa	agniśikha	466	2	agni + SiKA	agni + śikhā
agniSrI	agniśrī	471	2	agni + SrI	agni + śrī
agniSuSrUzA	agniśuśrūṣā	468	2	agni + SuSrUzA	agni + śuśrūṣā
agnibAhu	agnibāhu	417	2	agni + bAhu	agni + bāhu
agnicaya	agnicaya	366	2	agni + caya	agni + caya
agnicayana	agnicayana	367	2	agni + cayana	agni + cayana
agnicit	agnicit	368	2	agni + cit	agni + cit
agnicityA	agnicityā	369	2	agni + cityA	agni + cityā
agnidAha	agnidāha	394	2	agni + dAha	agni + dāha
agnidAyaka	agnidāyaka	393	2	agni + dAyaka	agni + dāyaka
agnidIpta	agnidīpta	396	2	agni + dIpta	agni + dīpta
agnidIpti	agnidīpti	397	2	agni + dIpti	agni + dīpti
agnidUta	agnidūta	398	2	agni + dUta	agni + dūta
agnida	agnida	388	2	agni + da	agni + da
agnidagDa	agnidagdha	389	2	agni + dagDa	agni + dagdha
agnidamanI	agnidamanī	392	2	agni + damanI	agni + damanī
agnidatta	agnidatta	391	2	agni + datta	agni + datta
agnidevA	agnidevā	399	2	agni + deva	agni + deva
agnigarBa	agnigarbha	363	2	agni + garBa	agni + garbha
agnigfha	agnigṛha	364	2	agni + gfha	agni + gṛha
agnigranTa	agnigrantha	365	2	agni + granTa	agni + grantha
agnihotar	agnihotar	489	2	agni + hotar	agni + hotar
agnihotrAhuti	agnihotrāhuti	494	2	agnihotra + Ahuti	agnihotra + āhuti
agnihotra	agnihotra	490	2	agni + hotra	agni + hotra
agnihotra	agnihotra	491	2	agni + hotra	agni + hotra
agnihotrahavaRI	agnihotrahavaṇī	492	2	agnihotra + havanI	agnihotra + havanī
agnihotrahut	agnihotrahut	493	2	agnihotra + hut	agnihotra + hut
agnihotrocCizwa	agnihotrocchiṣṭa	496	2	agnihotra + ucCizwa	agnihotra + ucchiṣṭa
agnihut	agnihut	488	2	agni + hut	agni + hut
agnijA	agnijā	373	2	agni + jA	agni + jā
agnijAra	agnijāra	374	2	agni + jAra	agni + jāra
agnija	agnija	371	2	agni + ja	agni + ja
agnijanman	agnijanman	372	2	agni + janman	agni + janman
agnijihvA	agnijihvā	377	2	agni + jihvA	agni + jihvā
agnijihva	agnijihva	376	2	agni + jihvA	agni + jihvā
agnijvAlA	agnijvālā	379	2	agni + jvAlA	agni + jvālā
agnijvalitatejana	agnijvalitatejana	378	2	agni + jvalita	agni + jvalita
agnikArikA	agnikārikā	354	2	agni + kArikA	agni + kārikā
agnikArya	agnikārya	355	2	agni + kArya	agni + kārya
agnikAzWa	agnikāṣṭha	356	2	agni + kAzWa	agni + kāṣṭha
agnikaRa	agnikaṇa	351	2	agni + kaRa	agni + kaṇa
agnikaSyapIya	agnikaśyapīya	353	2	agni + kaSyapa	agni + kaśyapa
agnikarman	agnikarman	352	2	agni + karman	agni + karman
agniketu	agniketu	360	2	agni + ketu	agni + ketu
agnikoRa	agnikoṇa	361	2	agni + koRa	agni + koṇa
agnikriyA	agnikriyā	362	2	agni + kriyA	agni + kriyā
agnikuRqa	agnikuṇḍa	358	2	agni + kuRqa	agni + kuṇḍa
agnikukkuwa	agnikukkuṭa	357	2	agni + kukkuwa	agni + kukkuṭa
agnikumAra	agnikumāra	359	2	agni + kumAra	agni + kumāra
agniloka	agniloka	445	2	agni + loka	agni + loka
agnimAWara	agnimāṭhara	429	2	agni + mAWara	agni + māṭhara
agnimAndya	agnimāndya	430	2	agni + mAndya	agni + māndya
agnimAruti	agnimāruti	431	2	agni + maruta	agni + maruta
agnimUQa	agnimūḍha	435	2	agni + mUQa	agni + mūḍha
agnimaRi	agnimaṇi	423	2	agni + maRi	agni + maṇi
agnimanTa	agnimantha	425	2	agni + manTa	agni + mantha
agnimanTana	agnimanthana	426	2	agni + manTana	agni + manthana
agniminDa	agnimindha	433	2	agni + inDa	agni + indha
agnimitra	agnimitra	432	2	agni + mitra	agni + mitra
agnimuKa	agnimukha	434	2	agni + muKa	agni + mukha
agninakzatra	agninakṣatra	402	2	agni + nakzatra	agni + nakṣatra
agninayana	agninayana	403	2	agni + nayana	agni + nayana
agninetra	agninetra	406	2	agni + netra	agni + netra
agniniryAsa	agniniryāsa	404	2	agni + niryAsa	agni + niryāsa
agninunna	agninunna	405	2	agni + nunna	agni + nunna
agnipada	agnipada	407	2	agni + pada	agni + pada
agniparicCada	agniparicchada	409	2	agni + paricCada	agni + paricchada
agniparikriyA	agniparikriyā	408	2	agni + parikriyA	agni + parikriyā
agniparvata	agniparvata	410	2	agni + parvata	agni + parvata
agnipraRayana	agnipraṇayana	413	2	agni + praRayana	agni + praṇayana
agniprastara	agniprastara	416	2	agni + prastara	agni + prastara
agnipraveSana	agnipraveśana	415	2	agni + praveSana	agni + praveśana
agnipucCa	agnipuccha	411	2	agni + pucCa	agni + puccha
agnipurARa	agnipurāṇa	412	2	agni + purARa	agni + purāṇa
agnirASi	agnirāśi	441	2	agni + rASi	agni + rāśi
agnirUpa	agnirūpa	443	2	agni + rUpa	agni + rūpa
agnirahasya	agnirahasya	440	2	agni + rahasya	agni + rahasya
agniraja	agniraja	439	2	agni + raja	agni + raja
agnirakzaRa	agnirakṣaṇa	438	2	agni + rakzaRa	agni + rakṣaṇa
agniretasa	agniretasa	444	2	agni + retas	agni + retas
agniruhA	agniruhā	442	2	agni + ruhA	agni + ruhā
agnisAkzika	agnisākṣika	481	2	agni + sAkzin	agni + sākṣin
agnisAra	agnisāra	482	2	agni + sAra	agni + sāra
agnisaMBava	agnisaṃbhava	479	2	agni + saMBava	agni + saṃbhava
agnisaMkASa	agnisaṃkāśa	478	2	agni + saMkASa	agni + saṃkāśa
agnisaMskAra	agnisaṃskāra	477	2	agni + saMskAra	agni + saṃskāra
agnisahAya	agnisahāya	480	2	agni + sahAya	agni + sahāya
agnisiMha	agnisiṃha	483	2	agni + siMha	agni + siṃha
agnisiMhanandana	agnisiṃhanandana	484	2	agnisiMha + nandana	agnisiṃha + nandana
agnistamBa	agnistambha	485	2	agni + stamBa	agni + stambha
agnisvAmin	agnisvāmin	487	2	agni + svAmin	agni + svāmin
agnitap	agnitap	380	2	agni + tap	agni + tap
agnitapas	agnitapas	381	2	agni + tapas	agni + tapas
agnitapta	agnitapta	382	2	agni + tapta	agni + tapta
agnitejas	agnitejas	384	2	agni + tejas	agni + tejas
agnitrA	agnitrā	386	2	agni + trA	agni + trā
agnitraya	agnitraya	385	2	agni + traya	agni + traya
agnitretA	agnitretā	387	2	agni + tretA	agni + tretā
agnivAha	agnivāha	453	2	agni + vAha	agni + vāha
agnivAsas	agnivāsas	452	2	agni + vAsas	agni + vāsas
agnivAyu	agnivāyu	451	2	agni + vAyu	agni + vāyu
agnivIja	agnivīja	457	2	agni + vIja	agni + vīja
agnivIrya	agnivīrya	458	2	agni + vIrya	agni + vīrya
agnivallaBa	agnivallabha	450	2	agni + vallaBa	agni + vallabha
agnivarDaka	agnivardhaka	449	2	agni + varDaka	agni + vardhaka
agnivarRa	agnivarṇa	448	2	agni + varRa	agni + varṇa
agnivarcas	agnivarcas	447	2	agni + varcas	agni + varcas
agniveSa	agniveśa	459	2	agni + veSa	agni + veśa
agniviharaRa	agniviharaṇa	456	2	agni + viharaRa	agni + viharaṇa
agnivimocana	agnivimocana	455	2	agni + vimocana	agni + vimocana
agnivindu	agnivindu	454	2	agni + vindu	agni + vindu
agniyojana	agniyojana	437	2	agni + yojana	agni + yojana
agniyuta	agniyuta	436	2	agni + yuta	agni + yuta
agnizWa	agniṣṭha	475	2	agni + sTa	agni + stha
agnizvAtta	agniṣvātta	476	2	agni + svAtta	agni + svātta
agnizwoma	agniṣṭoma	474	2	agni + stoma	agni + stoma
agnizwuB	agniṣṭubh	473	2	agni + stuB	agni + stubh
agnizwut	agniṣṭut	472	2	agni + stut	agni + stut
agnyADAna	agnyādhāna	512	2	agni + ADAna	agni + ādhāna
agnyADeya	agnyādheya	513	2	agni + ADeya	agni + ādheya
agnyAgAra	agnyāgāra	510	2	agni + agAra	agni + agāra
agnyAhita	agnyāhita	515	2	agni + Ahita	agni + āhita
agnyAlaya	agnyālaya	514	2	agni + Alaya	agni + ālaya
agnyAtmaka	agnyātmaka	511	2	agni + Atman	agni + ātman
agnyagAra	agnyagāra	509	2	agni + agAra	agni + agāra
agnyeDa	agnyedha	518	2	agni + eDa	agni + edha
agnyupasTAna	agnyupasthāna	517	2	agni + upasTAna	agni + upasthāna
agnyutpAta	agnyutpāta	516	2	agni + utpAta	agni + utpāta
ago	ago	340	2	a + go	a + go
agohya	agohya	344	2	a + gohya	a + gohya
agopA	agopā	342	2	a + gopA	a + gopā
agoruDa	agorudha	343	2	a + goruDa	a + gorudha
agrASana	agrāśana	118010	2	agra + aSana	agra + aśana
agrAdvan	agrādvan	564	2	agra + advan	agra + advan
agrAhin	agrāhin	567	2	a + grAhin	a + grāhin
agrAhya	agrāhya	568	2	a + grAhya	a + grāhya
agrAnIka	agrānīka	565	2	agra + anIka	agra + anīka
agrAyaRIya	agrāyaṇīya	566	2	agra + ayana	agra + ayana
agraBAga	agrabhāga	544	2	agra + BAga	agra + bhāga
agraBU	agrabhū	62658	2	agra + BU	agra + bhū
agraBaRa	agrabhaṇa	543	2	a + graBaRa	a + grabhaṇa
agraBuj	agrabhuj	545	2	agra + Buj	agra + bhuj
agraRI	agraṇī	533	2	agra + nI	agra + nī
agraRIti	agraṇīti	534	2	agra + nIti	agra + nīti
agradAnin	agradānin	537	2	agra + dAna	agra + dāna
agradvIpa	agradvīpa	62654	2	agra + dvIpa	agra + dvīpa
agragAmin	agragāmin	525	2	agra + gAmin	agra + gāmin
agraga	agraga	523	2	agra + ga	agra + ga
agragaRya	agragaṇya	524	2	agra + gaRya	agra + gaṇya
agrahAra	agrahāra	562	2	agra + hAra	agra + hāra
agrahAyaRa	agrahāyaṇa	561	2	agra + hAyana	agra + hāyana
agraha	agraha	559	2	a + graha	a + graha
agrahasta	agrahasta	560	2	agra + hasta	agra + hasta
agrajA	agrajā	529	2	agra + jA	agra + jā
agrajAtaka	agrajātaka	530	2	agra + jAtaka	agra + jātaka
agrajAti	agrajāti	531	2	agra + jAti	agra + jāti
agraja	agraja	526	2	agra + ja	agra + ja
agrajaNGA	agrajaṅghā	527	2	agra + jaNGA	agra + jaṅghā
agrajanman	agrajanman	528	2	agra + janman	agra + janman
agrajihva	agrajihva	532	2	agra + jihvA	agra + jihvā
agrakAya	agrakāya	522	2	agra + kAya	agra + kāya
agralohitA	agralohitā	552	2	agra + lohitA	agra + lohitā
agramAMsa	agramāṃsa	547	2	agra + mAMsa	agra + māṃsa
agramahizI	agramahiṣī	546	2	agra + mahizI	agra + mahiṣī
agranAsikA	agranāsikā	539	2	agra + nAsikA	agra + nāsikā
agranaKa	agranakha	538	2	agra + naKa	agra + nakha
agrapA	agrapā	62655	2	agra + pA	agra + pā
agrapUjA	agrapūjā	541	2	agra + pUjA	agra + pūjā
agraparRI	agraparṇī	540	2	agra + parRa	agra + parṇa
agrapeya	agrapeya	542	2	agra + peya	agra + peya
agrapura	agrapura	62656	2	agra + pura	agra + pura
agrasArA	agrasārā	558	2	agra + sAra	agra + sāra
agrasaMDAnI	agrasaṃdhānī	555	2	agra + saMDAnI	agra + saṃdhānī
agrasaMDyA	agrasaṃdhyā	556	2	agra + saMDyA	agra + saṃdhyā
agrasara	agrasara	557	2	agra + sara	agra + sara
agratIrTa	agratīrtha	62652	2	agra + tIrTa	agra + tīrtha
agrataHsara	agrataḥsara	536	2	agratas + sara	agratas + sara
agravIja	agravīja	553	2	agra + vIja	agra + vīja
agravIra	agravīra	554	2	agra + vIra	agra + vīra
agrayAna	agrayāna	548	2	agra + yAna	agra + yāna
agrayAvan	agrayāvan	550	2	agra + yAvan	agra + yāvan
agrayAyin	agrayāyin	549	2	agra + yAyin	agra + yāyin
agrayoDin	agrayodhin	551	2	agra + yoDin	agra + yodhin
agreBrU	agrebhrū	583	2	agre + BrU	agre + bhrū
agreRI	agreṇī	578	2	agre + nI	agre + nī
agrediDizu	agredidhiṣu	580	2	agre + diDizu	agre + didhiṣu
agregA	agregā	576	2	agre + gA	agre + gā
agregU	agregū	577	2	agre + gU	agre + gū
agrepA	agrepā	581	2	agre + pA	agre + pā
agrepU	agrepū	582	2	agre + pU	agre + pū
agresarIkar	agresarīkar	118011	2	agresara + kar	agresara + kar
agresara	agresara	586	2	agre + sara	agre + sara
agresarika	agresarika	587	2	agre + sarika	agre + sarika
agretvan	agretvan	579	2	agra + itvan	agra + itvan
agrevaDa	agrevadha	585	2	agre + vaDa	agre + vadha
agrevaRa	agrevaṇa	584	2	agre + vana	agre + vana
agropaharaRa	agropaharaṇa	588	2	agra + upaharaRa	agra + upaharaṇa
agu	agu	333	2	a + go	a + go
aguru	aguru	335	2	a + guru	a + guru
aguruSiMSapA	aguruśiṃśapā	336	2	aguru + SiMSapA	aguru + śiṃśapā
ahArin	ahārin	7668	2	a + hArin	a + hārin
ahArya	ahārya	7669	2	a + hArya	a + hārya
ahIna	ahīna	7724	2	a + hIna	a + hīna
ahIndra	ahīndra	66026	2	ahi + indra	ahi + indra
ahUta	ahūta	7734	2	a + hUta	a + hūta
ahaHsaMDimant	ahaḥsaṃdhimant	66007	2	ahas + saMDi	ahas + saṃdhi
ahaMBAva	ahaṃbhāva	65997	2	aham + BAva	aham + bhāva
ahaMBadra	ahaṃbhadra	7639	2	aham + Badra	aham + bhadra
ahaMDI	ahaṃdhī	65990	2	aham + DI	aham + dhī
ahaMSreyas	ahaṃśreyas	7614	2	aham + SreyaMs	aham + śreyaṃs
ahaMkAra	ahaṃkāra	7619	2	aham + kAra	aham + kāra
ahaMkArya	ahaṃkārya	7621	2	aham + kArya	aham + kārya
ahaMkartavya	ahaṃkartavya	7618	2	aham + kartavya	aham + kartavya
ahaMkfta	ahaṃkṛta	7622	2	aham + kfta	aham + kṛta
ahaMkfti	ahaṃkṛti	7623	2	aham + kfti	aham + kṛti
ahaMmAna	ahaṃmāna	66000	2	aham + mAna	aham + māna
ahaMmamatA	ahaṃmamatā	65999	2	aham + mama	aham + mama
ahaMmati	ahaṃmati	7640	2	aham + mati	aham + mati
ahaMnAman	ahaṃnāman	65991	2	aham + nAman	aham + nāman
ahaMpUrva	ahaṃpūrva	7636	2	aham + pUrva	aham + pūrva
ahaMpraTamikA	ahaṃprathamikā	7638	2	aham + praTama	aham + prathama
ahaMsana	ahaṃsana	7616	2	aham + sana	aham + sana
ahaMvAdin	ahaṃvādin	7613	2	aham + vAdin	aham + vādin
ahala	ahala	7658	2	a + hali	a + hali
ahamagrikA	ahamagrikā	7633	2	aham + agra	aham + agra
ahamahamikA	ahamahamikā	7634	2	aham + aham	aham + aham
ahanya	ahanya	7631	2	a + hanya	a + hanya
aharBAj	aharbhāj	7653	2	ahar + BAj	ahar + bhāj
ahara	ahara	7642	2	a + hara	a + hara
ahardfS	ahardṛś	7649	2	ahar + dfS	ahar + dṛś
ahardiva	ahardiva	7647	2	ahar + diva	ahar + diva
ahardivi	ahardivi	7648	2	ahar + divi	ahar + divi
ahargaRa	ahargaṇa	7644	2	ahar + gaRa	ahar + gaṇa
aharjAta	aharjāta	7646	2	ahar + jAta	ahar + jāta
aharjara	aharjara	7645	2	ahar + jara	ahar + jara
aharloka	aharloka	7656	2	ahar + loka	ahar + loka
aharmaRi	aharmaṇi	7654	2	ahar + maRi	ahar + maṇi
aharmuKa	aharmukha	7655	2	ahar + muKa	ahar + mukha
aharniSa	aharniśa	7650	2	ahar + niS	ahar + niś
aharpati	aharpati	7651	2	ahar + pati	ahar + pati
aharvid	aharvid	7657	2	ahar + vid	ahar + vid
aharvyAsa	aharvyāsa	66004	2	ahar + vyAsa	ahar + vyāsa
ahaskara	ahaskara	7664	2	ahas + kara	ahas + kara
ahasta	ahasta	7665	2	a + hasta	a + hasta
ahata	ahata	7624	2	a + hata	a + hata
ahati	ahati	7625	2	a + hati	a + hati
ahetu	ahetu	66028	2	a + hetu	a + hetu
ahiGnI	ahighnī	7686	2	ahi + GnI	ahi + ghnī
ahiMsA	ahiṃsā	7674	2	a + hiMsA	a + hiṃsā
ahideva	ahideva	66016	2	ahi + deva	ahi + deva
ahimAya	ahimāya	7710	2	ahi + mAyA	ahi + māyā
ahita	ahita	7690	2	a + hita	a + hita
ahitanAman	ahitanāman	7691	2	ahita + nAman	ahita + nāman
ahopuruzikA	ahopuruṣikā	7745	2	aho + puruza	aho + puruṣa
ahorAtra	ahorātra	7747	2	ahas + rAtri	ahas + rātri
ahorUpa	ahorūpa	7748	2	ahas + rUpa	ahas + rūpa
ahrI	ahrī	7760	2	a + hrI	a + hrī
ahruta	ahruta	7762	2	a + hruta	a + hruta
ahuta	ahuta	7732	2	a + huta	a + huta
ahvalA	ahvalā	7764	2	a + hvalA	a + hvalā
ahyarzu	ahyarṣu	7756	2	ahi + arzu	ahi + arṣu
ajASva	ajāśva	971	2	aja + aSva	aja + aśva
ajAdanI	ajādanī	960	2	aja + adana	aja + adana
ajAgara	ajāgara	949	2	a + jAgara	a + jāgara
ajAjIva	ajājīva	952	2	aja + AjIva	aja + ājīva
ajAkfpaRIya	ajākṛpaṇīya	947	2	ajA + kfpaRa	ajā + kṛpaṇa
ajAkzIra	ajākṣīra	948	2	ajA + kzIra	ajā + kṣīra
ajAmi	ajāmi	967	2	a + jAmi	a + jāmi
ajAni	ajāni	961	2	a + jAni	a + jāni
ajAntrI	ajāntrī	964	2	aja + antrI	aja + antrī
ajApAlaka	ajāpālaka	966	2	ajA + pAlaka	ajā + pālaka
ajApayas	ajāpayas	965	2	ajA + payas	ajā + payas
ajAtAri	ajātāri	956	2	ajAta + ari	ajāta + ari
ajAtOlvali	ajātaulvali	957	2	ajA + tOlvali	ajā + taulvali
ajAta	ajāta	953	2	a + jAta	a + jāta
ajAtaSatru	ajātaśatru	955	2	ajAta + Satru	ajāta + śatru
ajAtakakud	ajātakakud	954	2	ajAta + kakud	ajāta + kakud
ajAvika	ajāvika	970	2	aja + avi	aja + avi
ajAyamAna	ajāyamāna	969	2	a + jAyamAna	a + jāyamāna
ajEkapAda	ajaikapāda	1017	2	aja + ekapAda	aja + ekapāda
ajEkapAdarkza	ajaikapādarkṣa	62847	2	ajEkapAda + fkza	ajaikapāda + ṛkṣa
ajEqaka	ajaiḍaka	1018	2	aja + eqaka	aja + eḍaka
ajIgarta	ajīgarta	999	2	a + jIgarta	a + jīgarta
ajIrRa	ajīrṇa	1003	2	a + jIrRa	a + jīrṇa
ajIta	ajīta	1000	2	a + jIta	a + jīta
ajItapunarvaRya	ajītapunarvaṇya	1001	2	ajIta + punarvaRya	ajīta + punarvaṇya
ajIti	ajīti	1002	2	a + jIti	a + jīti
ajIva	ajīva	1005	2	a + jIva	a + jīva
ajIvana	ajīvana	1006	2	a + jIvana	a + jīvana
ajIvana	ajīvana	1007	2	a + jIvana	a + jīvana
ajIvani	ajīvani	1008	2	a + jIvani	a + jīvani
ajIvant	ajīvant	1009	2	a + jIvant	a + jīvant
ajIvita	ajīvita	1010	2	a + jIvita	a + jīvita
ajYAna	ajñāna	1031	2	a + jYAna	a + jñāna
ajYAna	ajñāna	1032	2	a + jYAna	a + jñāna
ajYAs	ajñās	1033	2	a + jYAs	a + jñās
ajYAta	ajñāta	1026	2	a + jYAta	a + jñāta
ajYAtaketa	ajñātaketa	1028	2	ajYAta + keta	ajñāta + keta
ajYAtayakzma	ajñātayakṣma	1029	2	ajYAta + yakzma	ajñāta + yakṣma
ajYAti	ajñāti	1030	2	a + jYAti	a + jñāti
ajYa	ajña	1024	2	a + jYa	a + jña
aja	aja	873	2	a + ja	a + ja
ajaBakza	ajabhakṣa	914	2	aja + Bakza	aja + bhakṣa
ajaGanya	ajaghanya	890	2	a + jaGanya	a + jaghanya
ajaGnivaMs	ajaghnivaṃs	891	2	a + jaGnivaMs	a + jaghnivaṃs
ajaSfNgI	ajaśṛṅgī	941	2	aja + SfNga	aja + śṛṅga
ajabaBru	ajababhru	913	2	aja + baBru	aja + babhru
